Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5c4acb92d9eab2651c85c18a1de2a891bff51735260ca5087c9e3ec8297452ea,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
7cb08bc923f7e188264de9d42bbeecdc933e6a83caf92066c9f046f903864d59,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a5d2e241458edfb68b245e5b54057689ff25ff7b892beea1d6cf0ede1de612dc,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
64de7d26467806004b8caa965e117367a6004fa1a92ab5d5d2e589aa567b3863,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c4cb76579ef551dd271e0c61d7cbfb984997dba2ae23087516c82eea969b487a,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9cfa8226db016ab42a05a1eb0aac23a48560830e31f11d343263e1251e5bec00,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.583610,51.489117,On or near MULLER ROAD,E01014637,Bristol 010C,Unable to prosecute suspect
aeb128440fdfe8d4f22dbf3aec30790abecc59a8f45f27c524d0c626901f4e88,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
97d9e1f30f5f1a062139f078d230174f1147d2d92cf8c1ead83300d14f7b9b77,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
b68a1cb75c7aa2df7cb772c34d7f7110ec9aaa4c0ab0d35c75904c0f6acb4577,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
b68a1cb75c7aa2df7cb772c34d7f7110ec9aaa4c0ab0d35c75904c0f6acb4577,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
44d8066b3850ef0995e6f2932edcf2a512a91889d68d96d4e3a7182b167a332d,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
44d8066b3850ef0995e6f2932edcf2a512a91889d68d96d4e3a7182b167a332d,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
768721a68e68471aafc91b52da23083f8a2b5f02edd44186f19d540f4cf9ab6b,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
b2cb49159b5bde58b1a397a1a7465bbcd4dea54598dfbfe2c2914bea4472a798,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
9fb4d35b569428c1d95ca5b6e951cafbe1f4926a4b94ffa724872c049105fcb8,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
1b12d95d45ef2bff4d9222fcb6f238999673b7ffbbc94e6a3184bbf347dae034,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.570907,51.464938,On or near SEYMOUR ROAD,E01014655,Bristol 055C,Suspect charged
5f0253f13e060b5590ef20cbb662af2ce7a44c303366abb2413db2bed91ebc93,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
675647d3c415d00f31b1273c4be1b9d20c26e69ff052d5c5b5da075307a2c1ef,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
63fceb5de7601ccbb8ce3e0e68f885cd3a4126d33a41f38177d97f52257bae3c,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d5dd0e01d3a2db69f285af5c9ac7f3c5b77941cfa44165d02f0bd333b40c6905,2016-11,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
