Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2016-11-01T01:50:00+00:00,False,,54.129927,-3.231463,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person and Vehicle search,2016-11-01T01:55:00+00:00,False,,54.129927,-3.231463,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2016-11-01T05:52:00+00:00,False,,54.439329,-3.482459,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Vehicle search,2016-11-01T09:55:00+00:00,True,,54.196359,-3.187498,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-11-02T00:20:00+00:00,False,,54.265241,-2.995052,,,,,Poaching Prevention Act 1862 (section 2),Game or poaching equipment,Nothing found - no further action,,
Person search,2016-11-02T00:49:00+00:00,False,,54.635049,-3.542049,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Vehicle search,2016-11-02T13:59:00+00:00,False,,54.965246,-2.997976,Male,25-34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2016-11-03T00:39:00+00:00,False,,54.365635,-2.912889,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Article found - Detailed outcome unavailable,True,False
Person and Vehicle search,2016-11-03T01:10:00+00:00,False,,54.132517,-3.216342,,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-11-05T02:23:00+00:00,False,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-11-05T02:26:00+00:00,False,,54.124343,-3.203356,,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2016-11-05T09:21:00+00:00,False,,54.852474,-2.880302,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
