Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2db899e1dd0bb48873a55a7de78c1f62661a70a2bee902805ec3b9a39b1dd705,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.419191,50.974441,On or near CASTLE LANE,E01023193,Test Valley 012D,Investigation complete; no suspect identified
b49db7142c2060c6daf123c60f68f3e49ddcbc9969f51d0281e72296dde846eb,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.089418,50.792790,On or near BROUGHAM ROAD,E01017130,Portsmouth 018D,Investigation complete; no suspect identified
fe02fef190eaf4e5c7757b0f423d1a70d9ee02c1872294aa681dccf3684b26da,2016-11,Hampshire Constabulary,Hampshire Constabulary,-0.996425,50.873178,On or near LOCKSHEATH CLOSE,E01022967,Havant 006D,Investigation complete; no suspect identified
49320ead0d5446aebb3b026449d1e6919dc307d863fd5b2eebec26aa568b7280,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.396738,50.911075,On or near CLOVELLY ROAD,E01017156,Southampton 022D,Investigation complete; no suspect identified
99cb85f3146ac5086d46084538511eeb76853c27f19de970b12376abda50f3cc,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.476911,50.995387,On or near HAREFIELD COURT,E01023208,Test Valley 010E,Investigation complete; no suspect identified
e601662812170f07cd4e6d930777b52efcb304ad209e7c36264211aee2589af0,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.434191,50.913259,On or near MARCHWOOD ROAD,E01017216,Southampton 019E,Investigation complete; no suspect identified
e3d9b4015bd13f68e84050f4b5abafaac5241777d3c1d88b7cf521ba7a9beb24,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.049408,50.843154,On or near LOWER DRAYTON LANE,E01017064,Portsmouth 003D,Investigation complete; no suspect identified
acf96b29eccff06b3013ec5abfadb1b90c9c8afa4c26bb9dd5cc6a4c068f192a,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.254251,50.858985,On or near THE CHASE,E01022789,Fareham 007E,Investigation complete; no suspect identified
414958e08b0ba3ba86cfdfa3c98fcaa9cb79828080547680fd15acdf7d9f5342,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.223693,50.945151,On or near BOTLEY ROAD,E01023221,Winchester 012B,Investigation complete; no suspect identified
c2ff9f81c8032f88e0e9c58ea8027d5a4d3240c0cd95e659acf36908ce2b1d8d,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.408329,50.921269,On or near WOODLANDS WAY,E01017196,Southampton 020D,Investigation complete; no suspect identified
a253b0003d16d3a25679065467892efa0a14eb78bfd733d58c8df5c0ec4296a0,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.093114,50.853312,On or near LEOMINSTER ROAD,E01017115,Portsmouth 001B,Investigation complete; no suspect identified
8ff93e9a036303d7d20106418afc3c98981424a2de8d2893dc2d6dd9f20c805f,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.057909,50.798313,On or near VELDER AVENUE,E01017099,Portsmouth 017D,Investigation complete; no suspect identified
d698c1617be8e69c3cccf48a0f584af2f5989bf83af534f76f8c8c405a6c814d,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.389427,50.909940,On or near NORTHAM ROAD,E01017154,Southampton 022B,Investigation complete; no suspect identified
ab6d77b3dbbc9e42e5e80f9ec50441ad86d9ae76a51983811b36aba7bbe04197,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.359138,50.886658,On or near CANDOVER COURT,E01017274,Southampton 032A,Investigation complete; no suspect identified
8220a938ca2a0fd18c3bf86173b96abba54d3e499c567b7c49ddf2d8d84be33f,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.312662,50.926464,On or near WELLINGTON PARK,E01022713,Eastleigh 009A,Investigation complete; no suspect identified
34bf6a523b6281051df9ef008c68410453e6e288ddec52d9fe97227d50596211,2016-11,Hampshire Constabulary,Hampshire Constabulary,-0.769147,51.251676,On or near GREVILLE CLOSE,E01023143,Rushmoor 008C,Offender given a caution
5b32fa3ccc92d7347e56fad542adb849213614116041f71a62df5128bab16b28,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.459644,50.927551,On or near EVENLODE ROAD,E01017245,Southampton 012E,Investigation complete; no suspect identified
57a8c5f76cf7b18d983b6bd7837fa35ee451d9f7383134ef06f86eb09247605b,2016-11,Hampshire Constabulary,Hampshire Constabulary,-1.395559,50.917561,On or near BEVOIS VALLEY ROAD,E01017160,Southampton 017D,Investigation complete; no suspect identified
