Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4df4128fd0ef69b167dbbb481eb4b5aee77a8dd38234861456ebfb592eada9a0,2016-11,Humberside Police,Humberside Police,-0.056004,53.559691,On or near EVELYN GROVE NORTH,E01013158,North East Lincolnshire 012A,Investigation complete; no suspect identified
992950f665b501c73408361020aeda7390522f0692886cca4ae05a3a753b28b9,2016-11,Humberside Police,Humberside Police,-0.071868,53.564434,On or near THOMAS STREET,E01013159,North East Lincolnshire 011A,Investigation complete; no suspect identified
2fb5ce37e51122a10402dca2654372c34aa4384438eb1083d534f71c7e9e67da,2016-11,Humberside Police,Humberside Police,-0.319583,53.785936,On or near Supermarket,E01012787,Kingston upon Hull 002D,Investigation complete; no suspect identified
3512403c1c15fb64ab9185c61caa6f74a283a23364ea82bf9de1977af2fc5941,2016-11,Humberside Police,Humberside Police,-0.343705,53.749245,On or near RUSSELL STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
7b839d7783c6cf0038a60463c6394eb8f8e9ffddfaa97ba4193f7e2ea24fe613,2016-11,Humberside Police,Humberside Police,-0.339880,53.745111,On or near JAMESON STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
f6644c698a9b401f1b28869eda604c165ae1a5131295f908d7aee96ba3f63776,2016-11,Humberside Police,Humberside Police,-0.125107,53.553638,On or near NEWBURY GROVE,E01013229,North East Lincolnshire 013E,Investigation complete; no suspect identified
3b7bd1ee7891854846b6fd530e95184a78681b123f55ff97b040bfab5b11ca78,2016-11,Humberside Police,Humberside Police,-0.121239,53.571422,On or near SERVICE ROAD 25,E01013144,North East Lincolnshire 004A,Investigation complete; no suspect identified
73d0dd14db7207d750bc8234d47a9522599a11dec61dc8d4c6957fe38ce6e103,2016-11,Humberside Police,Humberside Police,-0.363466,53.792188,On or near MEADOW GARTH,E01012768,Kingston upon Hull 005C,Investigation complete; no suspect identified
43e8f212b8cdd34757e845a816645d23c1d8efd0f77e6c7e21606711829fc166,2016-11,Humberside Police,Humberside Police,-0.392465,53.777425,On or near HOYLAKE CLOSE,E01012959,East Riding of Yorkshire 023C,Investigation complete; no suspect identified
c26e5c4d871380c18ee9caf7bed94171e885e102284807612684bc34b49391f4,2016-11,Humberside Police,Humberside Police,-0.650299,53.590004,On or near Parking Area,E01013330,North Lincolnshire 008D,Investigation complete; no suspect identified
4f774b55cf813d42dd289332268af4afb2d9b3365fd8f68d1f5d3de02295dbe4,2016-11,Humberside Police,Humberside Police,-0.432081,53.841546,On or near LAIRGATE,E01013062,East Riding of Yorkshire 019E,Investigation complete; no suspect identified
744f84b0d40e102a68005a28a925c051ffabc673e83b3d0a73f9523b359ab922,2016-11,Humberside Police,Humberside Police,-0.372462,53.743320,On or near CARNEGIE STREET,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
d164093f66fd196e3ffa3fbe63c39946a7dbe674fba65633ed5b484f54df36f3,2016-11,Humberside Police,Humberside Police,-0.365652,53.735137,On or near ROSAMOND STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
73c76f95e74fee29342d9b94a920e4b206a9fd09e066f0057397b72ea49dfe49,2016-11,Humberside Police,Humberside Police,-0.365652,53.735137,On or near ROSAMOND STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
57872fda6a760fad23cf0fe0ecb4a5501ca37b52607ec757bdcc56ea32ae5983,2016-11,Humberside Police,Humberside Police,-0.345812,53.743494,On or near Theatre/Concert Hall,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
ce0cca44644225bc1ac44a4a4447addf49e4c96f4775a871a3cd252b5ee9c584,2016-11,Humberside Police,Humberside Police,-0.402479,53.753899,On or near COUNTY ROAD SOUTH,E01012801,Kingston upon Hull 019E,Investigation complete; no suspect identified
fd4c7f0e52a2f973881d72e1f0b4c7b64845d05e1678dd0c12130ff3efe729ec,2016-11,Humberside Police,Humberside Police,-0.367662,53.746266,On or near Sports/Recreation Area,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
090d385c20ada128888f2bcd09705646646911b7b8aa2bdd908ff9c37e813165,2016-11,Humberside Police,Humberside Police,-0.268422,53.784228,On or near BECKINGTON CLOSE,E01012838,Kingston upon Hull 010E,Investigation complete; no suspect identified
5b01020a67d6e42b98f83f51731c772fc3d0b4f6291233debb4f88f5995832ef,2016-11,Humberside Police,Humberside Police,-0.296738,53.779923,On or near SUTTON COURT,E01012822,Kingston upon Hull 007A,Investigation complete; no suspect identified
5238813914e19250e5149f57c560622d5bca66c99d7b3bcd54a04e93f90193c0,2016-11,Humberside Police,Humberside Police,-0.118275,53.828207,On or near CARLTON DRIVE,E01013029,East Riding of Yorkshire 021A,Investigation complete; no suspect identified
03a39d808dac58f6d153018774099ef7010fa6225987eed223a18f2c30837913,2016-11,Humberside Police,Humberside Police,-0.647131,53.588908,On or near THOMPSON STREET,E01013331,North Lincolnshire 007D,Investigation complete; no suspect identified
a2e52ec22bfcc218c0c02fa3fe1e0e89f608356ffa7ca79b12ded442571c21f8,2016-11,Humberside Police,Humberside Police,-0.195225,54.097030,On or near MARTON AVENUE,E01012930,East Riding of Yorkshire 002B,Investigation complete; no suspect identified
f3ac298e6ae5d24a2a3a397f40f118b6b9215e15246cbfae9a7e66371afac4ad,2016-11,Humberside Police,Humberside Police,-0.488613,53.560223,On or near SUNNINGDALE AVENUE,E01013271,North Lincolnshire 011D,Investigation complete; no suspect identified
9ebcf34e47540671d0e723df40e19078e9c75efaadb71119dd1d1563c46d4e19,2016-11,Humberside Police,Humberside Police,-0.074052,53.572865,On or near Parking Area,E01013137,North East Lincolnshire 002B,Investigation complete; no suspect identified
471663b0462024b693c1f10ee0d37eb1e0f648da97c894e3712115f3af1c15fd,2016-11,Humberside Police,Humberside Police,-0.357251,53.739858,On or near MIDGLEY CLOSE,E01012855,Kingston upon Hull 029D,Investigation complete; no suspect identified
