Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2cb6a72a4380dc7d0315e08bbd0f6a7efe7bb5035d7dec82ef609ec735ecd356,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
78d5a7ced17f895a7c5f4a8478f64f1a41fb317502e2029a8d04c17d1f2b61b6,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f135c7e2de8e4a5a1c591892b7ade665f8f3c291d0702db9e4142538bd1752a2,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
b20833848dd17f9a3e1541bc47028e6fcd6d6963b46ca9d6291bfa0f14ef1dd9,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
3acdbc856793d967e3429f0a5b613f20dc371c241c3868afb39a169ab13dfac0,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
715a28fd8b87a65d0a5faa13db66069d0694c30dc9551dc215c4a775724c902c,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.759490,53.768066,On or near CHARLES WAY,E01025271,Preston 013G,Offender given a caution
a2e4900b4993a2b0d3d8030d1ef16a459a074cfe3bef7642ded91edbf96de7d6,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
974d1596dca8decd55f47d40fc93efb8f4fb1404c8d0e6d38613508b0edf36ae,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
9938577b7063743c2b8c9ac1d12569010271eca6a5dc4c68598058be703bb7f5,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
2eaf5c95b4e56ca7d9d0efe0101287b9cc77757db9a060f9ccc2bd8b1a750835,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.887341,53.791178,On or near WEST VIEW,E01025012,Fylde 002E,Unable to prosecute suspect
1b1431a844f898df1aafadeb595f16ef84aea7643f27e57a9456fcef99f25b4f,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8d1455e9479e78cb69857ccc12c38687fda060204be9b1edf6b2d92d603a1954,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
0f35e28bdd81ac8bfdc9c8b42acd9c096e06c107813ebbaf33c9c8d3b442b248,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
7e8844ab26892f5850f2b91823e73eb0339253f7a9d101fffe03dcb88a24933e,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
07055c35c42f351e123a7a20e3fb3bf4381e4d91aac0939a5de9f70e9c2cb65d,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
586028e8a92a440ec4f6de76f25af4442e6ad8647c0a3d8381c299cca6f31e09,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
2edcf9cfc7bc1257df2e661e8a0206844ffb08e80c50483206b33b1e21d34c83,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6690fbbd788ac9fce3696894cbffa42de23996700a95f803de630b25264a6bdc,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
78ebdedca6183852d45a2879eac793c91bc21dfd01cdfa3848d55c38383d6fc1,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f091d59081a8a4d692db23a5ed3153ea2d3315881d56bc5d9065dbdc58c5cdf8,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8ee9f5d43fe4c007ee70d81ab60ab80b45e75ce90674162bcf04a8c0e002f985,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
755a644fbaf0eda4b017f2b582c745c739439eed536688be2d38c96814aaeca2,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f3f8653ce4c1848987731870102dc401fb48c4a07087fefe9240247b5fb06f9d,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
40da5bdf61da864e82c6d7d6d0c305f2fef0984d2a41be597fb3badf1ff5df43,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
ea66692acc9eecc3d99efcf0f0f2334983aefa435928f1b343ccd64c3b03a967,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f62cf63074bdd8b257ab3fa0847f6f3251867a8be5ce88f7bcb65a1566fcd1be,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.826711,54.056857,On or near Petrol Station,E01025172,Lancaster 010C,Suspect charged
3dbfe3ca091115e72824badcd8be12d0f66584cc7e81a38a9851728a32bb5952,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.800593,54.046806,On or near SPRING GARDEN STREET,E01033071,Lancaster 014E,Offender given a caution
70816c5ea1aca4088d154da02dfcbacb175aab37af1f3931ab0ea2183e81a0f4,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
4c287be4bdeda5c2201e122c370903e9b9ef4d550be13ccacd10aa9f4ca5bb42,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
fe471494c7b10cdc280e2257dd7bd49524b8eb3675e9128ac268de64cada3914,2016-11,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
c29584fed03ae1153436a7f93cdde76510d2c99ddb9cb892b29522ea35bb946d,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.725798,53.695281,On or near FOSSDALE MOSS,E01025416,South Ribble 014A,Suspect charged as part of another case
14f13a1aae662cf88273bc7b0216b310b4fb67e1ff66315b6cf8be0f861c7fab,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.553610,53.610740,On or near Parking Area,E01024973,Chorley 014E,Local resolution
a5129ba6b79c0e37f6380004e0ef7d3efd911c29e801e3c54d04aba728858408,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.952305,53.906735,On or near THE CRESCENT,E01025565,Wyre 004C,Suspect charged
bf3e748b6a95e0a908b79f49f66ffbcfeb46f42b05c58f7605a2c5a7cccd495c,2016-11,Lancashire Constabulary,Lancashire Constabulary,-3.029455,53.827703,On or near GRENFELL AVENUE,E01012709,Blackpool 009D,Suspect charged
ecaec542c6b8df0cd0acd5fd198b0cbb81f453868217bb95dd8f90fb3b81decf,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.765034,53.539537,On or near Pedestrian Subway,E01025493,West Lancashire 014A,Suspect charged
e86e1a8a10d9e39ccdf23854389a92aee403c9650acfdcaafc8b724d6a2dfdb2,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.618329,53.647833,On or near CANTERBURY STREET,E01024927,Chorley 009C,Suspect charged
5bfdfd60ae490808164fe1c3c747db4890a0beaa06bdf8dda8072ad26b187bcb,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.765050,53.541280,On or near BANKSBARN,E01025493,West Lancashire 014A,Suspect charged
2998c22e552f7d096223997667fa73a4345a293978f11697664913110d1acc0a,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.840662,53.602659,On or near STANLEY COURT,E01025483,West Lancashire 004A,Suspect charged
0fa6a8230882e2701231310d8e0845f5689551e6fa95ce1bdc7e40eb8d15c1cc,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.629818,53.652339,On or near CHURCH STREET,E01024940,Chorley 010D,Suspect charged
83ef01aeab2efb45bde00fcdbb2f95e9f667e0c904a24ef52e797ee77a904065,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.956301,53.739683,On or near BADGERS WALK WEST,E01025021,Fylde 009E,Suspect charged
ceb84f0ebc8807e45e1c6856bd338e5e2f502df8140e85b5a80083a2a383778c,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
cb1bbbfc3343c553fa05e8d72a209cdd6daf2f69770f59a187e5c4308859fed1,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
0297a96dd53150b25a6618b43a24411d39ffd5f6ae77b265f0aa82bbd81524fc,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.729519,53.735301,On or near BLACKBERRY WAY,E01025409,South Ribble 003B,Suspect charged
6e2f80026ba0dcd78f4a05c999b7854efc742d0de4778efe0905228077f8aad4,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
a493bfd58697b40e8752f47f9a13eb5c1de9fd9d8fd5a887e097ae17ad69f22b,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.635345,53.643573,On or near GLOUCESTER ROAD,E01024941,Chorley 010E,Suspect charged
38d6e44d808e6fccf8b4f01c647706b4f55ea932fcd8b4be3d29073b53a5d43a,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.780750,53.544864,On or near GLEBE ROAD,E01025521,West Lancashire 010F,Suspect charged
6884e996d65f725464f2f13ba946e93a48e43b8b3e00458d3722ee762214f410,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.642039,53.641093,On or near Supermarket,E01024942,Chorley 012A,Suspect charged
ead35412cd52497e56da43bc77c8bf48592e48b4a4fa1e3e7db8ade79fa5cc7f,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.636867,53.642172,On or near HOWARD ROAD,E01024942,Chorley 012A,Suspect charged
a9612e3de51cfbe5893f25be0fceef3217c659e73f24e312f47317e075589595,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.880080,53.578205,On or near TYRER ROAD,E01025517,West Lancashire 006E,Suspect charged
f15c02cc2496b255856fe1b01e829ae00101f8a1f1b85d42526eca8f99e70480,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.880080,53.578205,On or near TYRER ROAD,E01025517,West Lancashire 006E,Suspect charged
9ed005f60cbce2796837b23be1af7e3517c74bfc762230eed4aceb2dc8d817eb,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.632422,53.667579,On or near PRESTON ROAD,E01024937,Chorley 006F,Suspect charged
dc1f1f0879b7e308c94a8c4a1b82dff34f2c6f2ef6cdb9c5473df028a03c08d1,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.624447,53.658470,On or near DORIS STREET,E01024931,Chorley 006C,Suspect charged
431a28fdc632de4e034916b56ea90dda25bfcb6a0494844116343ea1d7f1556a,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.761346,53.547578,On or near ELMRIDGE,E01025528,West Lancashire 013C,Suspect charged
55d7faec3975744fe6966bc832e0fb6a828218c37d901906010c917a00c7cbac,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.632465,53.644209,On or near HARRISON ROAD,E01024938,Chorley 010B,Offender given a caution
ac03a14e78c3ccbdb7eb35f7c24c29cd83d36818f502d1e5983f9f5a9489631a,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.764737,53.537309,On or near Pedestrian Subway,E01025494,West Lancashire 014B,Suspect charged
91b285aa37a97fbf254d1afe1bad71900f1d39aff2994d33202bca8df3091499,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.918936,53.682342,On or near BOND'S LANE,E01025508,West Lancashire 002B,Suspect charged
cfa2cc76aa168e75c9b4de1aa313f37402c31187fc3edb7ffab2a798d5a1f292,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.652939,53.680861,On or near AYRESHIRE CLOSE,E01024949,Chorley 004B,Suspect charged
311b87956495b1724b7921aeda9c2735597525695f9338791e85985869f32701,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
0c61c113b62d1009fdc612333804e7167bb56f7d5a7df86e0b593222c8aead35,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
0b2cc0a7e1f992fc6c50fb1c118d3159347f7aacef6339cafe9c3f77e4a43df6,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.837831,53.697786,On or near Supermarket,E01025498,West Lancashire 001C,Suspect charged
bdf10c9ed490d63f807f6fea9a4a17876bcb492e9e596a7a507ac2133dd3c057,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.862276,53.589508,On or near ADMIRALTY CLOSE,E01025486,West Lancashire 004D,Suspect charged
e8e9df29865254e8f740732aa6c49802b783597552a190bda35feaf539b8e54e,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.638078,53.632206,On or near CAPESTHORNE DRIVE,E01024944,Chorley 012C,Offender given a caution
d7717bfb827bd7d1b18b7da67458cd8718f222c0b24114b69281f96189b5fafd,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.638078,53.632206,On or near CAPESTHORNE DRIVE,E01024944,Chorley 012C,Offender given a caution
d50cba99f7a517f118084c42706c4e63cf1eaa64cda6739af5894c72ac8102f3,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.615782,53.666083,On or near BLACKBURN BROW,E01024932,Chorley 006D,Local resolution
ef2c45b4dbc3dfe56f6f18992172b83320c23a3a3965f440e61b13e54e2e9e1b,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.804834,53.548731,On or near Supermarket,E01025526,West Lancashire 011D,Suspect charged
30ac8699462081337649a9213323335f3bd6ab71f88e19c3738a64c45874bcd7,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.746323,53.539547,On or near Sports/Recreation Area,E01025535,West Lancashire 015B,Offender given a caution
77c080ec905a2bd4620203868b0c3c907adc2c98656305631a8fe9a5e9d2750b,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.629818,53.652339,On or near CHURCH STREET,E01024940,Chorley 010D,Suspect charged
857c052b0ad7cda91bb502c132c8dfaa0743c351ba9cda9ad26435baec305636,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
88c47364bc4110936e9e2dc018f306956b23106d6b30702693e5b68d11894d75,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
5dcac073da71b8f580513e1d78bc50b40a825f9b4490d456c8e7440433869b87,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.629818,53.652339,On or near CHURCH STREET,E01024940,Chorley 010D,Suspect charged
f847fed696c761af9bba75dbba30aee128e2eb77af7e54a5fc557b32c0bf3302,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
f490d78169db98bc134679e719ea8bca025e71d01b5c3940df224e377e7409c8,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
4a65207f7730a915c3887d0f9633f4962e63ad8f9adbf94fe243ee3051b2df93,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.629818,53.652339,On or near CHURCH STREET,E01024940,Chorley 010D,Suspect charged
b031e264053fdabe8ee0d7b64546823728c7f5fa577392f07324598173d37335,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
26f1eb6be6722a66d68961a8d020315e315509b754287e39c2953c7894171191,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.628448,53.655852,On or near ARLEY STREET,E01024940,Chorley 010D,Suspect charged
b893155f78275b9f921226d5aa11c1e4dbbd30fbc68238d20cd5f7494756c21c,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.872880,53.570375,On or near GREETBY HILL,E01025491,West Lancashire 008B,Suspect charged
0704ce59a42ae29e3c563168b2bc739e7922e9b96a2041af7ca8f02af5e28844,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.624766,53.653444,On or near EAST WAY,E01024925,Chorley 009A,Suspect charged
0704ce59a42ae29e3c563168b2bc739e7922e9b96a2041af7ca8f02af5e28844,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.624766,53.653444,On or near EAST WAY,E01024925,Chorley 009A,Suspect charged
c6c1bcec5fc7f605afde5e70cb81e1af1513e1aba683fc230141f723c5b9add0,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.624619,53.654775,On or near SHERWOOD PLACE,E01024925,Chorley 009A,Suspect charged
f4d8df4508e0241660435313f23bcbfcfc2751b1acf3abbec02e447c1dfdc273,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.751485,53.537942,On or near CLAY BROW ROAD,E01025503,West Lancashire 014C,Suspect charged
3cd0c4fd1be6a89b9fa383573e4e14a8d1226cf921f2b8df7a743c0b6e26441b,2016-11,Lancashire Constabulary,Lancashire Constabulary,-2.215454,53.836485,On or near ELLEN STREET,E01025230,Pendle 011D,Suspect charged
