Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5a22c2f087c551fb5436e7f891c10951a8eb1f3eecf5452ed919495fd0f34657,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
fdc60dc854c5bb287046b60135164e71d045333f9e2f1db8531a8098f107c475,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
4b93d70c38254f0167651875557b7c2188b0aef01b018fa494828f2265557048,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
4cc89447ee82cb2b6f104a61f23b7d6bff73f042f1aa8bac43be2186b8fcf7ef,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
23360b0152b54669c93ebc32253ce4d4fe683db2bb0626ea61f4e6f467fd01e5,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6af32f5fdee1da64ed37ef9e7321ba64e6ab3110ff353c6961ab25c17889d38e,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
ca3e60f5a2d8a98dbb95c5736a7bb68c6bbfdc2c8e390885c3a9a50e7a9eb8ff,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5c86db0a6efaaebc1f6f4ceedc72a3772770f1e98ff2dd665c6e2264d8c2d8d1,2016-11,West Yorkshire Police,West Yorkshire Police,-1.781923,53.812447,On or near MILFORD PLACE,E01010673,Bradford 029C,Investigation complete; no suspect identified
8ace7247c1bb05814eeba23dc466b0d8968241b01dc011a5ef5d9b687cf56703,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e0b0dea799ed5de189d19c1c451a961c2b377a8abdf40addea3eb32c6284b1f5,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
3708e2bf037674bfe705e1cc5205b195ff778046ca91284927e35bccedc02cb3,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5acf99a32761c0e90528ed6e41b964d6d7c13f1eee6babe413482c0b48d33b72,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8dfbbd4402ef69fa9fd0d294167716b01f8e7fe88fff0cea0c05e9dfc48c757a,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
1d721cbdc2aad84a96e776b504458928e5fa072a2f10ed5bd6f7701ab166a8f0,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
fd54e267b1cf34db35e3135e44d5f60928361dc48a46801d683d718738e0a8ac,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e361bdde599e8e619d8c10c4760cc1016c4d17994b8620b7f197a1a383210fca,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9121458854da8236ae685c86bd87e54924e28a21213510135380fb733abc74f7,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
4dc1946d0a2aa17cbb7680fccb291e69353d679f2f1fbfbe401c613e8b2d66d6,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
46efc217c1628d8d2e0709ce3261b23f7d7ee220c9c9f7582bfdea66faf7e7cc,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a022cd8fe10d4b6cb8a7d2014b0e402022d096253a5e2aa0e8e7a28f7f5f34fe,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a203bbaec4825f57d6757808af4c08fdba0abbe9f713bb04cb9c049295033862,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
975f668ac9128fc75e7dd1460a0b760efddabaa3586348186ba27f183bf3aef9,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
d1ab518646c3ff9b777efa440fb8ef4591dc733391d826411c007ff0397251c2,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7ef2435a4cd4cccf48802bcc3f420c24a5424d73ed206263ca981ad9daed3741,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c794111bfaffdc7da3c4c4a84d2e206b57b852f35ad7eabbfec8076900e314bc,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
2433970a2a3687926ca3d22a66a7392f83346a0e36a3c23eda165b14e2bc4d32,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
cf7a6af6d2e053ab39ee75a1564ac048be297fe19774332191e92719912be31f,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
90c81ecb41640b1502028eea933114ea88ad3575cc7a4a04a10834588585569a,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
efd3d837b039edd7543c64d23e3afbf7467739bd82562614b4645360a68d6055,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2d4f2eac3e8398235f75b40d4a600b928223991073e0d9e417d92f92883a1e12,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
e0cda6e326befee6885da03846324c2cc8b23b7e52285f341f939935b69a6d7b,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
718ad85fef4091f76cb5ae706c095d033760976e8264672aeac4de05744e6786,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5b5cb018f3eb21d97417c18590ab26ca3b29cbc946fac1c5a6c87a7efe05ad83,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f95f1e7d6f921fdf7512899a9ece47d5bacbe5adb3151f9c01a59dbfc756b3d0,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a7a18f2c6a6af5345e5a1a72866de1bf4477de1cec22c90bcac1e42f36ba43e7,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
eb6d3bd64f30a5e47d0ff74c03abe7e2d6102cda6f1a57a763f28ee8ee7ccef9,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
878bb54468d7b03f61720be5fc20f1248643892ae92718ab9b9ccf4fb612f3d6,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
8e2246e92ca795107c0354636f38b788cfb355e8ac14c7e9155e42a59c83150a,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7db88d9c2d390424023362d20b50057fd5a627c79a3acf8438a10003b799de28,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
35ff900c3387acf091dd1b64999b98482aaf179d17113b5637c04d37968e3c7e,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
963da8ba1cb62c079faf5aa4c4d8ca435ddfe71e0c0ec1a946b47eb7ce741ea6,2016-11,West Yorkshire Police,West Yorkshire Police,-1.725179,53.792306,On or near WALNUT STREET,E01010611,Bradford 046C,Unable to prosecute suspect
9573bbfa300f6cf46d32cf91a8b67dfe218012476db212c4e3d89cc0f3e2c0a7,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
68d3f0a5fb24b5c724aba2c33774edb4a16bfd33c31453bbe291e01bf4ff95c5,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
8197ea031943f3bede5ff00e59bd81dd757eb4c504252a9305a0362355cfc727,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
89b04c5e8f36241b0cd7d61b201c8271190bfbae307ce13c661ebc5bda12dd91,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Further investigation is not in the public interest
25528a93f9f54dd8c1d72d1d2a33e229f1d13ad4594d3b5854ee3a89fd198a68,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Formal action is not in the public interest
b69d22cf78ab301e1200cf940393133e74f4cd4080fee5eee66ff55fc48c827d,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7c900bf19579711b98634637f64f47e89f59c55bfdc5384ca5bc279dc16da42e,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9000714b7993e994692964c04f95f6ba4044975279a94de06a0f43ea8e010f6b,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9bd301c4769cd731e49e41738c20a3589e0648b05782666cb30f23f3fd544e21,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
1915cc13def0dcd41a1746753266350b100b569bedec5a0f6f4c5866a5076f93,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
0794e18324b29e7fadfe04d11f742105e0b0e0fbe125514ce4b17f3c0240fed4,2016-11,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
