Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
83014dc1552d14708059b33a5a86d7766ac5e2c2df2397f60202f62edfeb46e7,2016-12,Cleveland Police,Cleveland Police,-1.140277,54.571209,On or near SLATER ROAD,E01033471,Redcar and Cleveland 009F,Investigation complete; no suspect identified
27733c3686dbf6010be2cecfc3cef300f3f61b73489653539f8e6f17a932910a,2016-12,Cleveland Police,Cleveland Police,-1.098250,54.607616,On or near Parking Area,E01012107,Redcar and Cleveland 003D,Investigation complete; no suspect identified
98139c3b456ffe01f1b67e4d7262ea104d8d41930387dcaa5e8d20572f2f10d8,2016-12,Cleveland Police,Cleveland Police,-1.341966,54.587571,On or near REDHILL ROAD,E01012249,Stockton-on-Tees 008B,Investigation complete; no suspect identified
58614943af079480f597acc136e9c24882e4bac2416aedb7b6dd3525e7f70a09,2016-12,Cleveland Police,Cleveland Police,-1.101445,54.605249,On or near BRITANNIA PLACE,E01032561,Redcar and Cleveland 003F,Investigation complete; no suspect identified
914f281d3b613d3d32718960222e4f8c9d010c0dcfa02dd0744ca3b9851f422f,2016-12,Cleveland Police,Cleveland Police,-1.228317,54.575559,On or near BEECH STREET,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
2ff4315c023de6888320a1c9545543cb56c2bee021f74dce20cc3d50218ee192,2016-12,Cleveland Police,Cleveland Police,-1.249955,54.520999,On or near HORCUM COURT,E01032552,Middlesbrough 018G,Investigation complete; no suspect identified
ddd158e7a39548630e061fa6f97a370ed78757d1da69c0a5af15323802d83b3d,2016-12,Cleveland Police,Cleveland Police,-1.300325,54.554131,On or near HARTINGTON CLOSE,E01012288,Stockton-on-Tees 017C,Investigation complete; no suspect identified
42c90d6fb5bfb111a0ddb6d3e9c1bda4000e80470ea5dd360723a77bb5baaac5,2016-12,Cleveland Police,Cleveland Police,-1.317516,54.566272,On or near WELLINGTON STREET,E01012267,Stockton-on-Tees 014F,Investigation complete; no suspect identified
253356b5c91ce5dfb130d1eee7bfe274adb37ddca2d95018a17fdd104668f4d3,2016-12,Cleveland Police,Cleveland Police,-1.212729,54.690815,On or near MILNER GROVE,E01011974,Hartlepool 005B,Investigation complete; no suspect identified
38a0b6f73c4b146e41350ffcb92e60efcb294b371f0c30e64553cb71f07b1c57,2016-12,Cleveland Police,Cleveland Police,-1.228317,54.575559,On or near BEECH STREET,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
fd86808b1743f8ad5377e7380f1bc9557c414dd02883d69f39d46273477c102f,2016-12,Cleveland Police,Cleveland Police,-1.239303,54.657644,On or near PHOENIX CLOSE,E01011961,Hartlepool 012A,Investigation complete; no suspect identified
