Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
28cf58b7aabc5da0b5563d5d857324d5f29f14e535a5300aba0c0524e09bbe2e,2016-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
52a6713f93082641673d51f191fbece2516dac80f8fa525648b0cd27cd2ab6b8,2016-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
59a477032991d3c2288509a5b4b211b872091ab9eb95bfb144a4773af8054f50,2016-12,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a caution
29be98e5a0fa9be91f6b5f444c989662656c2d2838df3bfde1a21e19c1dfcd31,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.143995,52.083915,On or near LINGFIELD ROAD,E01030034,Ipswich 001C,Investigation complete; no suspect identified
7ed9627f586ba171a033a5bc92aef5f9a6608978b3a6a6227fca1087bdff361a,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.507651,52.339360,On or near MILL STREET,E01029945,Forest Heath 003E,Investigation complete; no suspect identified
dc45c549ecd067fa45fd815b036369e87a6b6ef468d8832a21e85f2a02454d12,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.221817,52.142765,On or near B1079,E01030200,Suffolk Coastal 006B,Investigation complete; no suspect identified
baf47d1d688f7518eaf6a44d247af0016b508e54e8056337752794178383a620,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.630548,52.448421,On or near PINEWOOD GARDENS,E01030293,Waveney 011D,Investigation complete; no suspect identified
a944a5decf4eede723425a384e1680ef82af325ee9c2e033aa407e5ad3c9964e,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.142282,52.324355,On or near HIGHFIELD,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
93f82b169320d2565b3cc28318c2b0d803cd3503dfb778b9b76e2168b5ed2422,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.658596,52.435683,On or near WELCH CLOSE,E01030286,Waveney 011B,Investigation complete; no suspect identified
3ed6c0a67cc681ba46091be05cf14b38407624c9d873d9d2ad74b0dd45a2f8ef,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.671397,52.385050,On or near THE LARCHES,E01030295,Waveney 014D,Investigation complete; no suspect identified
3a21c5f068b85cb44ac70584e346124d52ef99641b393db21362542212bcdfa4,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.701510,52.258088,On or near BEETONS WAY,E01030130,St Edmundsbury 003A,Investigation complete; no suspect identified
eedd10695cd7f6908bbe79743d0e73a7b983ba2b7b826b8a3113e50c12afe88c,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.100796,52.039894,On or near A1214,E01029908,Babergh 005D,Suspect charged
b6db03f5c20e187f0b0e693bff2efc9aa94802715015d6c72a195e98626c6f24,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.753719,52.487279,On or near DAWN POINTON PLACE,E01030247,Waveney 007A,Investigation complete; no suspect identified
99ab0401f04d240d1a97c6570db391cba3010fc1fede4ec5417835f34d2eff0a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.568944,52.461551,On or near GEORGE WESTWOOD WAY,E01030225,Waveney 010C,Investigation complete; no suspect identified
