Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-12-01T03:45:00+00:00,False,,51.248371,-0.638705,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T14:23:00+00:00,False,,51.236076,-0.335901,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T18:45:00+00:00,False,,51.338365,-0.479255,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T19:00:00+00:00,False,,51.388557,-0.384287,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T19:00:00+00:00,False,,51.387471,-0.383089,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T19:00:00+00:00,False,,51.387471,-0.383089,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T19:00:00+00:00,False,,51.387471,-0.383089,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-12-01T19:08:00+00:00,False,,51.338365,-0.479255,Male,10-17,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-12-01T19:45:00+00:00,False,,51.242598,-0.562043,Male,18-24,White - White British (W1),White,,,Suspect arrested,False,
Person search,2016-12-01T20:55:00+00:00,False,,51.172559,-0.165009,Male,10-17,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-12-01T20:55:00+00:00,False,,51.172559,-0.165009,Male,10-17,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-12-01T20:55:00+00:00,False,,51.172559,-0.165009,Male,10-17,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-12-01T20:55:00+00:00,False,,51.172559,-0.165009,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,,Offensive weapons,Nothing found - no further action,,
