Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d6fac3445fc9fd8952075cad90af5497664afea69b71b2e3636c2c621c9ccb55,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.168060,52.055560,On or near KINGS AVENUE,E01029962,Ipswich 007E,Investigation complete; no suspect identified
291e378b4596a9ee08ee46b2782ebd6b72ca665dad5354f91d7f491e6601295f,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.623089,52.444205,On or near ELIZABETH ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
e6d11a3b3d12efc44897810666f7817a76a72991e52a8045c6d1eb9532f74dfb,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.198542,52.047865,On or near PRINCETHORPE ROAD,E01029966,Ipswich 009D,Investigation complete; no suspect identified
7c152d33524fbe1cba1b48e3d87923d6db344cb5505ea0a27966bd3bb79b2dac,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.520349,52.226216,On or near BROOKSIDE,E01029957,Forest Heath 005C,Investigation complete; no suspect identified
090f8ceaf4db05ea27eb17769b4ff8d715ec6e4cb40febb39ca4272b874eab36,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.751176,52.490814,On or near SATURN CLOSE,E01030240,Waveney 001A,Investigation complete; no suspect identified
346fc9cdf39875b13a395592f0d82e00817dc6a31f324c32ba4b84e0499647e1,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.337938,51.950966,On or near Parking Area,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
c4e481f3ac1d77c690d9d0be1663ffcc359cbfedd2fe2ffc4c91413a49bbc892,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.528224,52.405545,On or near AVENUE ROAD,E01033453,Forest Heath 002F,Investigation complete; no suspect identified
fd941d0af7eeddd039b89fdcfd53dbd2912723d3a661b421a1f5a182ea68aab0,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.001749,52.338966,On or near RYDERS WAY,E01030067,Mid Suffolk 002E,Investigation complete; no suspect identified
9506cdebe7de20b8828f90b4575920f8066c98bea48fa585bb09191c4e470ff0,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.697745,52.255207,On or near TREVETHAN CLOSE,E01030140,St Edmundsbury 003D,Investigation complete; no suspect identified
992a1b66e616f3e2b0fabe36b23fd0741257b6eef57d0a0e7963b9ebaa947a28,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.625900,52.444942,On or near WARREN CLOSE,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
75696845ac7c955f7cd4d9b63d5beabf82291b2c0475f16d38534c2e2129a690,2017-01,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7265364ff49018fb48b8b5a8c95ca03f949502658d33a81d4d442164f056df59,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.198542,52.047865,On or near PRINCETHORPE ROAD,E01029966,Ipswich 009D,Investigation complete; no suspect identified
9f6c638cf94f3ec21448117584e69777bc1ecf8c7fbeaae48e2d04b80f58a4ba,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.143325,52.061503,On or near B1067,E01030024,Ipswich 006C,Investigation complete; no suspect identified
165435013d8ed34ac9c74b4709e53fa3a1aaa0f9bdbac63b883c6c13b677c57e,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.685156,52.330724,On or near Theme/Adventure Park,E01030282,Waveney 014A,Investigation complete; no suspect identified
4ee7e267789c2237a7eed5cf22e76abe2d1353f11a4ddbd07957521e23557829,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.730613,52.038592,On or near MARKET HILL,E01029920,Babergh 007H,Investigation complete; no suspect identified
11a34bba90c54e11672050d5418eb21202695d1d3dc7f93131518f15462d8318,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.730613,52.038592,On or near MARKET HILL,E01029920,Babergh 007H,Investigation complete; no suspect identified
db1be7f123d1d82f9e3f50c9ae718fd369024f1b736f99f5aabe9567aab1e43b,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.730613,52.038592,On or near MARKET HILL,E01029920,Babergh 007H,Investigation complete; no suspect identified
bd45eb10273366f21e3fa85693a8f2624ed39290d5c0877ae68c7d48b9a2abd8,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.437188,52.084930,On or near STATION ROAD,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
c6510e96f2567d00f8f29beb53515db69fb30ed5e6dfdc639b8238a92df658f8,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.556542,52.169018,On or near COLTSFOOT CLOSE,E01030150,St Edmundsbury 010C,Investigation complete; no suspect identified
7d3240775830bd457ac3142edfb809d3892b0e8b80b8f6bdedc9e2b59f4d8834,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.696326,52.422275,On or near SANDY LANE,E01030252,Waveney 012C,Investigation complete; no suspect identified
da7bb8d315a7b747f6f0c5b49a90a107abf88b63f06c6914a3b909111b655f01,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.146865,52.053952,On or near PRINCES STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
de45dff82608bb49b7ad7ed21fc3321acbe669d06151ef0172ef9a9f4c48a51a,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.427229,52.077590,On or near BUCKINGHAM ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
62da12b625a5aacc38a4c83d8bbe9472d2e6d72922a74836059ede10141b2904,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.135734,52.083515,On or near PARNELL ROAD,E01030036,Ipswich 001E,Investigation complete; no suspect identified
ac5fb924dfd36c40226e5901e15b75149cbfa33702fefb3c9128ac2ab92bb10d,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.299608,52.092637,On or near DOWNING CLOSE,E01030185,Suffolk Coastal 008B,Investigation complete; no suspect identified
4a82ca872c82f84cff155af93f926ef154b11da6472d35f26ae3c4a06ba9b265,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.705865,52.250434,On or near SPRINGFIELD AVENUE,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
f0d2ec208e01be4f656c0b92693063b49fea0f96eccbb93fdce2825617957f9a,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.141712,52.085290,On or near MITFORD CLOSE,E01030034,Ipswich 001C,Investigation complete; no suspect identified
6dffe58186038066c24f8deb8340ee7a61de47fc0f104b3ea98325417df850db,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.751822,52.474702,On or near BON MARCHE,E01030250,Waveney 004D,Investigation complete; no suspect identified
65169e0a9bbccd1eff21b099092e24873b7b73461ba1446182c395f3143ef9a7,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.145143,52.083624,On or near WETHERBY CLOSE,E01030033,Ipswich 001B,Investigation complete; no suspect identified
ebb5d3cf7a21b8b4cfd4138ca6ad0d7c594c496c12604464d3dd56a6805d5f35,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.430135,52.077620,On or near CLARENDON ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
71d0d3c3272f6f7d7ebde7c41da6bf1b722e0c69068304c082072c86e22b773f,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.756113,52.380603,On or near ELLINGTON ROAD,E01030094,St Edmundsbury 002A,Investigation complete; no suspect identified
fc2213fd11338c596e58034bde36db8ea63d95a444a106715d66f75e30ec780b,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.711218,52.246903,On or near ST ANDREW'S STREET NORTH,E01033046,St Edmundsbury 006F,Investigation complete; no suspect identified
