Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6e28a6ef7a22f2db97be0add621f8b72569adc31e702a09bebda8c1ae45386a7,2017-02,Cleveland Police,Cleveland Police,-1.256579,54.557789,On or near STUDLEY ROAD,E01012054,Middlesbrough 009B,Unable to prosecute suspect
a997c1012e0ca465860b5f4c3724eb96a410577c1c0f8ef7e5a8404bb2cc24fd,2017-02,Cleveland Police,Cleveland Police,-1.240175,54.529377,On or near WOODBURN CLOSE,E01012043,Middlesbrough 018B,Investigation complete; no suspect identified
5431fbb95a73d0081a19112a30153a4388f402dbf4a8a2ad45e842383cd1e187,2017-02,Cleveland Police,Cleveland Police,-1.212799,54.571630,On or near CALVERT CLOSE,E01012059,Middlesbrough 002B,Unable to prosecute suspect
9024b277e12b22f6b7faeccbc5b7825ce42e689ec5d9857824ef4205c6114fe3,2017-02,Cleveland Police,Cleveland Police,-1.337412,54.589757,On or near ROTHBURY AVENUE,E01012273,Stockton-on-Tees 008E,Investigation complete; no suspect identified
0a2e4391709f8a04399f444f949c99dea79ae3f560ea92c4deb849bbc071c942,2017-02,Cleveland Police,Cleveland Police,-1.228889,54.575607,On or near ELLIOT STREET,E01033468,Middlesbrough 001G,Investigation complete; no suspect identified
a9798b84e2a699e8860289b98f31aae13983c7a3b3e332bd85eab154209de2ac,2017-02,Cleveland Police,Cleveland Police,-1.314748,54.592992,On or near MARMADUKE PLACE,E01012260,Stockton-on-Tees 007C,Investigation complete; no suspect identified
24d968bab657c9ed59357691ca84fc5acc52e9ae31980e8456cdc1a20d063a27,2017-02,Cleveland Police,Cleveland Police,-1.360801,54.568584,On or near SEATON CLOSE,E01012191,Stockton-on-Tees 015B,Investigation complete; no suspect identified
20110d97db86737b8607628fa7b55612481ba3addae7a88e7caeecd10f056c00,2017-02,Cleveland Police,Cleveland Police,-0.966861,54.559590,On or near TINTERN ROAD,E01012162,Redcar and Cleveland 012A,Investigation complete; no suspect identified
0b98bb2c744825b0273d8758d5e697ca023f9e95db81727bde5cd644006de7fa,2017-02,Cleveland Police,Cleveland Police,-1.243445,54.519638,On or near FOLKSTONE CLOSE,E01012044,Middlesbrough 018C,Investigation complete; no suspect identified
7e24e57bfe99d2dcb808f9f5bff863d012200ab24a518cd7032296811eb2193d,2017-02,Cleveland Police,Cleveland Police,-1.182688,54.555119,On or near BURWELL ROAD,E01012015,Middlesbrough 007A,Investigation complete; no suspect identified
d2a6fc5a6381dc007e2d187f21649c60fa1f4cfeec4a24628a6aa1bb44e9edfd,2017-02,Cleveland Police,Cleveland Police,-1.137106,54.560204,On or near BELMONT STREET,E01012110,Redcar and Cleveland 011C,Investigation complete; no suspect identified
72c0940585546420757ba3dcc6b61f06b3cdbc2aecad2c71a63dfb54c0931d15,2017-02,Cleveland Police,Cleveland Police,-1.352932,54.495028,On or near DENTDALE CLOSE,E01012302,Stockton-on-Tees 024F,Investigation complete; no suspect identified
27c76c825ddf2fdd872b66d43164587e851b00cf9617e4498b725a20a060b717,2017-02,Cleveland Police,Cleveland Police,-1.242895,54.518511,On or near FAVERSHAM CLOSE,E01012044,Middlesbrough 018C,Investigation complete; no suspect identified
