Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3ff3397de4d1d4083f1f6baa1691f0c69d1fff3cb825670a99da6da836c69018,2017-02,Essex Police,Essex Police,0.480491,51.727343,On or near A1114,E01021577,Chelmsford 012B,Unable to prosecute suspect
0e1b5e90f5a2641a83646ada17c88aab1365acb67c167d87424f8b65cb786b64,2017-02,Essex Police,Essex Police,,,No location,,,Offender given penalty notice
a0cd4e5094b0e88ce5aafb8df434e64867fc7fc66b2a480b4caf85af1def94d2,2017-02,Essex Police,Essex Police,0.589752,51.982178,On or near CHARLTON CLOSE,E01021397,Braintree 003B,Investigation complete; no suspect identified
2a75c931aad39a6df29b26830d81392a69b313a66eb5d2b15fa3bad8a6aa53c6,2017-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
601ef35377c503deb79c56b4ee4159cf4bee52cd930c208113870da4ac7c0503,2017-02,Essex Police,Essex Police,0.297341,51.524482,On or near Tesco Express,E01015971,Thurrock 006B,Investigation complete; no suspect identified
c06540c585976037984cfa5d4a70b3e14c20d496c9d93a18a2f2568073da9e0c,2017-02,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
cb8a5abb97198f23c4ade5e8805b54c7fd26b6cbbe18c41c59d4e6f7a59a581c,2017-02,Essex Police,Essex Police,0.551464,51.557711,On or near OAKFIELD ROAD,E01021523,Castle Point 007D,Investigation complete; no suspect identified
e66fe42f60508ade3ba3e64b22d799c6c4c18455703f41017d3d0bc10b859c0c,2017-02,Essex Police,Essex Police,0.565508,51.544742,On or near KAREN CLOSE,E01021480,Castle Point 007A,Investigation complete; no suspect identified
007ef2478925504f59236bd5888a67737353ef7eedb4565a404fc62c18e07623,2017-02,Essex Police,Essex Police,0.563105,51.877364,On or near MANOR STREET,E01033459,Braintree 009F,Investigation complete; no suspect identified
1f5ad5be0938e0d8b468c01c0a03d58156afa36618a9a2af09745641215fb42c,2017-02,Essex Police,Essex Police,0.640773,51.807270,On or near Parking Area,E01021416,Braintree 017B,Investigation complete; no suspect identified
2f92f34e1ba889e2940e55538ebadea8fa82c5e3ce939ddae0e9f91647e7ea33,2017-02,Essex Police,Essex Police,0.418518,51.572704,On or near SOMERSET ROAD,E01021275,Basildon 014B,Investigation complete; no suspect identified
5d46576dfb6a3dbc283e77590001867a4b3864628f6c1d474d65dd8ff11a6dda,2017-02,Essex Police,Essex Police,0.102611,51.752645,On or near AYLETS FIELD,E01021858,Harlow 010B,Investigation complete; no suspect identified
57f1536ba045a786b1735e0648f670e77364a452e9ba99c4f8e7151c63a0b81d,2017-02,Essex Police,Essex Police,0.303317,51.476908,On or near EAST STREET,E01016015,Thurrock 015F,Investigation complete; no suspect identified
18bf22ebbff181cb4615c4dac0b5dab4325a1dcfd5509f687a78e0f361c2463d,2017-02,Essex Police,Essex Police,0.268519,51.497722,On or near M25,E01015926,Thurrock 008E,Investigation complete; no suspect identified
f80be844677c2167b3c133c92059816c9a38471322887a36f462b7bf881dad82,2017-02,Essex Police,Essex Police,0.717994,51.540353,On or near SOUTHCHURCH ROAD,E01015895,Southend-on-Sea 010A,Investigation complete; no suspect identified
9aa9e77e2d9252ac982990cd46d3ed94e59828c6471672949b95879abf57c6c8,2017-02,Essex Police,Essex Police,1.149822,51.802040,On or near KNOX ROAD,E01022042,Tendring 014A,Investigation complete; no suspect identified
6089e2cc9b9e5566758937e5e47f1cf463fa0133c20b5828bf0091e5399aa9d8,2017-02,Essex Police,Essex Police,0.096835,51.753081,On or near Pedestrian Subway,E01021871,Harlow 007D,Investigation complete; no suspect identified
4c275b66293b480fc9c548f475e0e5363d3b01be8650344f0101886a079e1ed7,2017-02,Essex Police,Essex Police,0.897717,51.941813,On or near QUEEN'S HEAD ROAD,E01021659,Colchester 001C,Investigation complete; no suspect identified
79d8ab8e32b3129da4250a2e0a32331546d7751d5194946d8c01b669f344ef8d,2017-02,Essex Police,Essex Police,0.298796,51.475216,On or near Pedestrian Subway,E01016015,Thurrock 015F,Investigation complete; no suspect identified
1094731f9ff0dfa4a8bfffe19622669efa57bec9b49a7ea4c1e95841e93a57d9,2017-02,Essex Police,Essex Police,0.699866,51.928092,On or near Supermarket,E01021410,Braintree 006E,Investigation complete; no suspect identified
a53e391363478a9e9de4ccfce48a76f96431259c8fae67386b42ec7e1b7d4690,2017-02,Essex Police,Essex Police,0.503878,51.719994,On or near RIFFHAMS DRIVE,E01021560,Chelmsford 013B,Investigation complete; no suspect identified
655fe1c4b13fa6001407aef731d01d09834b8ca06275d6c04179a95fa13929ce,2017-02,Essex Police,Essex Police,0.101619,51.749380,On or near LOWER MEADOW,E01021858,Harlow 010B,Investigation complete; no suspect identified
7797453e3f2124ba8ed30793af0215f508ad2eafa94aa18a53aac1a9ce0c92a4,2017-02,Essex Police,Essex Police,1.117336,51.933832,On or near STATION ROAD,E01021978,Tendring 003A,Investigation complete; no suspect identified
a2e120c75764c516452afaad4b00fabd89ced1ebc0e2c9b169dc81f74a908158,2017-02,Essex Police,Essex Police,0.236110,51.494676,On or near Sports/Recreation Area,E01015925,Thurrock 008D,Investigation complete; no suspect identified
ada4fe2f414918a09a213dffe7c0997756acba5cf8385ee68123dda4ffa623bb,2017-02,Essex Police,Essex Police,0.461625,51.576151,On or near BUTNEYS,E01021319,Basildon 017E,Investigation complete; no suspect identified
f483579cc6eb422d564808b4d2949641074aaac445aaf734142ef3e0fd8bb5ef,2017-02,Essex Police,Essex Police,1.117336,51.933832,On or near STATION ROAD,E01021978,Tendring 003A,Investigation complete; no suspect identified
2049cda32c5e2c8006e15aceaa1bfd516efbd5c60be5c17153caba9c3948b790,2017-02,Essex Police,Essex Police,-0.003077,51.685750,On or near FOUNTAIN PLACE,E01021818,Epping Forest 009C,Investigation complete; no suspect identified
d63670e6e60c9a8ab2455c45f94eaff537abb5a027be4be110a436e11ec8e689,2017-02,Essex Police,Essex Police,0.474458,51.761113,On or near RIDLEY ROAD,E01021542,Chelmsford 002A,Investigation complete; no suspect identified
b3f46bd4893184bb1319a102542aaefb4b669596876d907bb5a9343a79ff6592,2017-02,Essex Police,Essex Police,0.895335,51.889691,On or near BALKERNE GARDENS,E01021646,Colchester 007A,Investigation complete; no suspect identified
c0bcfc731f798f47845574b85f1d5cdd48b0cb10eb60f8b804b7341f73ad387c,2017-02,Essex Police,Essex Police,0.326939,51.490561,On or near LODGE LANE,E01015960,Thurrock 014A,Investigation complete; no suspect identified
fb8adf79f1d71f64065b9b758c26bdeafca083b25ebf3279544552bdeb20a4c5,2017-02,Essex Police,Essex Police,0.300442,51.621680,On or near CHESTNUT GROVE,E01021434,Brentwood 004C,Investigation complete; no suspect identified
b3ccc0a493486e40f1d11e4292396e910e38d70dbfdf07566d78d3f67e9ef41b,2017-02,Essex Police,Essex Police,0.715846,51.543749,On or near MALDON ROAD,E01015898,Southend-on-Sea 010D,Investigation complete; no suspect identified
af4e9b9ebe0c84b922be4549d2776c3328ae8962d52876fcd8b82d489fb090bc,2017-02,Essex Police,Essex Police,0.298764,51.618773,On or near CHATHAM WAY,E01021436,Brentwood 007B,Investigation complete; no suspect identified
95937032eb53c2705fdbf98e632e59736263d0b5751147616a899eb8677d4b0e,2017-02,Essex Police,Essex Police,0.711402,51.535488,On or near Parking Area,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
03906aba59294ffcde70d14a2006316787358f12bd100d3cfb0c6879ad1a0e0f,2017-02,Essex Police,Essex Police,0.132511,51.766089,On or near Supermarket,E01021827,Harlow 005D,Investigation complete; no suspect identified
2bcf722ac922f9433d900a3d3bb0ef7b9e879374fbe01c49195a0ae6145c5c47,2017-02,Essex Police,Essex Police,0.116132,51.762941,On or near TUMBLER ROAD,E01021819,Harlow 006A,Investigation complete; no suspect identified
60d486e943d8dcad5339f3e0386b5c94e15c3bb3cfb724c311640eb3268475d9,2017-02,Essex Police,Essex Police,0.241925,51.487226,On or near LONDON ROAD,E01015921,Thurrock 015A,Investigation complete; no suspect identified
79929b79cbd03de719cd7e8103f8a42dd6d7fd06ffe54e706743c521945c799b,2017-02,Essex Police,Essex Police,0.593450,51.599050,On or near EDINBURGH CLOSE,E01021959,Rochford 006E,Investigation complete; no suspect identified
207daf045f91fb77020ecb1429f7a5c8a8a1ec070672674417c507bee0f86589,2017-02,Essex Police,Essex Police,0.292841,51.901063,On or near BROWN'S END ROAD,E01022095,Uttlesford 006D,Investigation complete; no suspect identified
5fdd06168979afd78c6e9bffbbb97d59ad08dc5a9a032debfe21e58da54c9aeb,2017-02,Essex Police,Essex Police,0.475214,51.731744,On or near Shopping Area,E01033140,Chelmsford 010F,Investigation complete; no suspect identified
b9a4c97db912a15cc17833446e06bfe25bbf9fdd11d55f54596dba1336098f47,2017-02,Essex Police,Essex Police,0.094104,51.777661,On or near GLADWIN WAY,E01021843,Harlow 004E,Investigation complete; no suspect identified
402cf96ec1e968255ceaf5fb001e3a736f21de157188d1919736de3a63166bbb,2017-02,Essex Police,Essex Police,0.283224,51.475413,On or near FLINT STREET,E01016012,Thurrock 015C,Investigation complete; no suspect identified
44b78abb423515a6d653a2fc86301891781b9eed983cc22c67ff69f50ac1763a,2017-02,Essex Police,Essex Police,0.884830,51.903358,On or near PROPELAIR WAY,E01021681,Colchester 004C,Investigation complete; no suspect identified
45ff718e04521fa1ab16b88ccad1aa1a32050bf8447135c2ff6d1568294f87d5,2017-02,Essex Police,Essex Police,0.066970,51.754266,On or near RED WILLOW,E01021829,Harlow 009A,Investigation complete; no suspect identified
4a721d3b3f08ac427d8549d09d5de1cad7f6364a7f531d1be9b0b61e0d8afa6e,2017-02,Essex Police,Essex Police,0.464292,51.738098,On or near CEDAR AVENUE,E01021574,Chelmsford 010A,Investigation complete; no suspect identified
27836f0cd9bd3caa59750c8381beeb2688c3b15221b9b86eba1a49ab262aaf1e,2017-02,Essex Police,Essex Police,1.219816,51.844286,On or near Sports/Recreation Area,E01022010,Tendring 008F,Investigation complete; no suspect identified
1e49fc1df7aaef0d69df7e62fcd64d766a5a90fdcab6d3c4340ed95ad4503d4d,2017-02,Essex Police,Essex Police,0.324019,51.478460,On or near Theatre/Concert Hall,E01015956,Thurrock 016B,Investigation complete; no suspect identified
54515690d7af3f2c914f45ff7cd1635ce1b73f59ad8b9d7dc01fe8c781f843d9,2017-02,Essex Police,Essex Police,0.464292,51.738098,On or near CEDAR AVENUE,E01021574,Chelmsford 010A,Investigation complete; no suspect identified
9b7f3477a2783687f147e90796d479491599bdbb271166b456c01623c1f27cca,2017-02,Essex Police,Essex Police,0.639574,51.800651,On or near Parking Area,E01021416,Braintree 017B,Investigation complete; no suspect identified
f947c40d81eb00fa87402cb7921d9a47ab4cce174cb51c7214bf8ec31289906b,2017-02,Essex Police,Essex Police,0.292499,51.475142,On or near PORTER CLOSE,E01016011,Thurrock 015B,Investigation complete; no suspect identified
99419d14ea3ca5d4dcdd37818cba4cf7714cbaa10d807ca961e79d624aed75fd,2017-02,Essex Police,Essex Police,0.221558,51.730969,On or near GAINSTHORPE ROAD,E01021796,Epping Forest 003B,Investigation complete; no suspect identified
666ebf333c3bc14d146f0258c32c9fc70d0bda6fcd5b237f416df6e2b249464f,2017-02,Essex Police,Essex Police,1.177925,51.805573,On or near DOVEDALE GARDENS,E01022033,Tendring 012B,Investigation complete; no suspect identified
74a88d2a3409f175e86a8b3cb59f7097c257899fd1ef53eccd793b09a9c96494,2017-02,Essex Police,Essex Police,0.067105,51.766745,On or near CAWLEY HATCH,E01021840,Harlow 004B,Investigation complete; no suspect identified
804123dfc58da2eef58239f26d4ec7364b2f92784bd203b999c7bea364bb95b0,2017-02,Essex Police,Essex Police,0.326075,51.476980,On or near DARNLEY ROAD,E01015956,Thurrock 016B,Investigation complete; no suspect identified
455178fd1e0c1edaede6dd65708004f7ed62547ff3b44f11e71b4cfa2ff9975b,2017-02,Essex Police,Essex Police,0.544416,51.879622,On or near PEEL CRESCENT,E01021365,Braintree 009D,Investigation complete; no suspect identified
57769d15b5a965970044846df8831e305b94587394f9cefad10ecf281be4f786,2017-02,Essex Police,Essex Police,0.722334,51.542501,On or near WIMBORNE ROAD,E01015844,Southend-on-Sea 014F,Investigation complete; no suspect identified
a1fb87cac926646b0ecbe9076be9d4045a4fd901b3de91a499224da194c54bcf,2017-02,Essex Police,Essex Police,0.056248,51.647021,On or near PRIORY ROAD,E01021791,Epping Forest 012F,Investigation complete; no suspect identified
1138c9a799f3c60d92b226c6614b5cb3ce2d2ef2c8427430cb7531474c8dd024,2017-02,Essex Police,Essex Police,0.415477,51.480182,On or near BATA AVENUE,E01015948,Thurrock 013B,Investigation complete; no suspect identified
d98f380d9cb454f1cd256db69ae0961f07b97463cf0052726f47073382239ed3,2017-02,Essex Police,Essex Police,0.657706,51.541555,On or near BROADWAY,E01015847,Southend-on-Sea 011C,Investigation complete; no suspect identified
cb2f5f752fcc95fa81a4fe0946278bc03e0658fb539c8bd17dc8ad067e7d831b,2017-02,Essex Police,Essex Police,0.504064,51.710007,On or near SYDNER CLOSE,E01021562,Chelmsford 014A,Investigation complete; no suspect identified
3c283e1ac85c9a04b5e274e1f7e3c496a6532177eabcf37c008e20017242f803,2017-02,Essex Police,Essex Police,1.152226,51.789923,On or near ROSEMARY ROAD,E01022025,Tendring 016B,Investigation complete; no suspect identified
b67f72592a979aacfdddef3c159dbaab19477b0a4ee9275f019e5c6eef82b243,2017-02,Essex Police,Essex Police,0.356849,51.878036,On or near THE POPLARS,E01033055,Uttlesford 007E,Investigation complete; no suspect identified
6fc540280703d53e08b692ac1fd61e4ce9bcf683a52b39c4d5edeb91510fb6bc,2017-02,Essex Police,Essex Police,0.355653,51.873500,On or near JUBILEE COURT,E01033056,Uttlesford 007F,Investigation complete; no suspect identified
1779c559348df206eed0f429e48a6959c045ab9982318af27e9611cfe60534ad,2017-02,Essex Police,Essex Police,0.595833,51.574481,On or near STARLING CLOSE,E01021509,Castle Point 002A,Investigation complete; no suspect identified
37f6b580066f1a526acb65cff1fbc9f96bf9b793ec731832ac3c63fd451e5dff,2017-02,Essex Police,Essex Police,0.420942,51.571332,On or near ASTON ROAD,E01021275,Basildon 014B,Investigation complete; no suspect identified
2727bb72c73ecf6441506b873f55db68e20d3c54cc9065515a85d000094b2cfc,2017-02,Essex Police,Essex Police,0.678142,51.736249,On or near Supermarket,E01021890,Maldon 004B,Investigation complete; no suspect identified
e2c98e8cffec3449ca0c87f863df48cf4e3a84146b7e033ca91874c4c76121ee,2017-02,Essex Police,Essex Police,0.720604,51.671240,On or near THE STREET,E01021874,Maldon 007B,Investigation complete; no suspect identified
2213324a6833764ab3b524304763b0df3f0eea03b1ce604124bf932c33c23d4a,2017-02,Essex Police,Essex Police,0.083451,51.758813,On or near TYLNEY CROFT,E01021833,Harlow 009D,Investigation complete; no suspect identified
00b81d413bb66b64933de3eec50c2b213b9bb3f375820c1b86710f340c2042bc,2017-02,Essex Police,Essex Police,0.562547,51.555689,On or near DOWNESWAY,E01021524,Castle Point 007E,Investigation complete; no suspect identified
9d5f59e7b84b15134af4f4e5a0c21ed7c0f6886d1bf0ff641adee848f935b58a,2017-02,Essex Police,Essex Police,0.278597,51.508552,On or near DALROY CLOSE,E01015972,Thurrock 006C,Investigation complete; no suspect identified
6356f1d8e69ca1e7aaadc522715a4886daa061ec1674f96d75e46ff1ce3d2c73,2017-02,Essex Police,Essex Police,0.231185,51.486442,On or near RAPIER CLOSE,E01016014,Thurrock 015E,Investigation complete; no suspect identified
a4b6c9a73f1a8b5b1dd7f33d9c50973f36cbae2624f87363c2db845dd50b5d1c,2017-02,Essex Police,Essex Police,0.935438,51.891493,On or near TAMARISK WAY,E01021696,Colchester 008A,Investigation complete; no suspect identified
480a591b6b79a41a6c6c4e568116a0a9a04c3cdc076dec6446e8d11a3cc032e1,2017-02,Essex Police,Essex Police,0.412079,51.485405,On or near PINEWOOD CLOSE,E01015948,Thurrock 013B,Investigation complete; no suspect identified
8a0ecb6f45d3bbcbb93c93143121128cf24ce8137e143d625a293d7fd34745b2,2017-02,Essex Police,Essex Police,0.899209,51.924796,On or near Parking Area,E01021682,Colchester 004D,Investigation complete; no suspect identified
2d1497745821d39d8c093237fa56a9c11446acae4f7f1ef9338bc5dcba62982e,2017-02,Essex Police,Essex Police,0.473762,51.577191,On or near ORSETT END,E01021265,Basildon 012A,Investigation complete; no suspect identified
f6772acff1c34781e171157adf3056dafd9aa4d46d3bc4d2b9d0e02f493de861,2017-02,Essex Police,Essex Police,0.292530,51.508200,On or near VERBENA CLOSE,E01015932,Thurrock 006A,Investigation complete; no suspect identified
e87a461f89d7dc759c84935e942a0d47d672a96b9a301a6a2504a0eee1377efa,2017-02,Essex Police,Essex Police,0.895004,51.886362,On or near BUTT ROAD,E01021683,Colchester 011A,Investigation complete; no suspect identified
56ff9305941b6236b616911e5af3bd0b6c1d62fab1dbc4d3a9d176fae7c69ef9,2017-02,Essex Police,Essex Police,0.693247,51.544045,On or near WEST ROAD,E01015900,Southend-on-Sea 010F,Investigation complete; no suspect identified
203bfe1bf82dfb6bfe027faa991bae97a032cee4dbc40eb455433c6ef5b5cd77,2017-02,Essex Police,Essex Police,0.287136,51.510131,On or near DART GREEN,E01015976,Thurrock 007F,Investigation complete; no suspect identified
06c6d4d225e49f77502206ea1b25758249cecdc90ee33cd5b949f307d8660fda,2017-02,Essex Police,Essex Police,0.089752,51.777585,On or near RIVERMILL,E01021843,Harlow 004E,Investigation complete; no suspect identified
ad0d01a632f5c114c4d3d9399246860a86f6649d3db328c71e5b81dfb7c6cda4,2017-02,Essex Police,Essex Police,0.786205,51.545876,On or near KINGSTON AVENUE,E01015878,Southend-on-Sea 013C,Investigation complete; no suspect identified
042e94f75fdf7cf2fed2356c26f874729575a7e3c158b14a3306ca59dafb7fde,2017-02,Essex Police,Essex Police,0.906126,51.897672,On or near COWDRAY AVENUE,E01021647,Colchester 007B,Investigation complete; no suspect identified
d0b3afb013647e256cf0d901eabc86bec409f873ba20be4c13338e6dfd451545,2017-02,Essex Police,Essex Police,1.117110,51.775993,On or near MEADOW WAY,E01021990,Tendring 018C,Investigation complete; no suspect identified
4f75960ce22ab01319ea1c1f16764de6e89f595ba8e4abdd580dba91643994ab,2017-02,Essex Police,Essex Police,0.427435,51.613835,On or near HICKSTARS LANE,E01021258,Basildon 004E,Investigation complete; no suspect identified
1b604344fdb73ae7eae5e2588014fa4dc43e7d9331ac5b4c672ff339b64e285f,2017-02,Essex Police,Essex Police,0.318297,51.611725,On or near Parking Area,E01021474,Brentwood 008E,Investigation complete; no suspect identified
6638337620eff79252eba622e839db56695e677af33be834bb5e0359e1d9af9d,2017-02,Essex Police,Essex Police,0.616080,51.636482,On or near THE SPINNAKER,E01021609,Chelmsford 020E,Investigation complete; no suspect identified
fbd9d7720bced7c5811b6e5d64d349ed3272d43c315954b38c2efd9e2070e1cf,2017-02,Essex Police,Essex Police,0.114717,51.768956,On or near ROSELYN GARDENS,E01021852,Harlow 003D,Investigation complete; no suspect identified
ac5a337c2ae1702dd3881ee63fa31bcc414fa8fc4f6383e2545961e411fad1a9,2017-02,Essex Police,Essex Police,0.417980,51.619659,On or near SCHOOL ROAD,E01021255,Basildon 004C,Investigation complete; no suspect identified
51de9ca95e0e4ec8059f74325afca39938a49dab2d046cd465f38bd92679bec2,2017-02,Essex Police,Essex Police,0.378398,51.463178,On or near SANDHURST ROAD,E01016005,Thurrock 018C,Investigation complete; no suspect identified
3e32d8241a9eaa84095e3e20f3057a1f7abb07af9c4f793a2c143b1053190eff,2017-02,Essex Police,Essex Police,0.426559,51.724854,On or near HUNT'S DRIVE,E01021636,Chelmsford 011F,Investigation complete; no suspect identified
9aba12b181bde298b328b92598bef848e3481757d5b065b8fd88918866887a13,2017-02,Essex Police,Essex Police,0.388403,51.756437,On or near A1060,E01021550,Chelmsford 003A,Investigation complete; no suspect identified
934ffdc809ab30baa87c7992147359c94ac21222e3ec3e0e0ec0a62e84933f4d,2017-02,Essex Police,Essex Police,0.374230,51.466365,On or near KIPLING AVENUE,E01016008,Thurrock 018F,Investigation complete; no suspect identified
d8d10337b8b1c1990de63c5ea0b542f1e867ecdd3c4eefb6cdf7013359919d5f,2017-02,Essex Police,Essex Police,0.318857,51.630356,On or near LEWIS CLOSE,E01021465,Brentwood 005D,Investigation complete; no suspect identified
6997af336d6fd34ccd6b736ffe19df58d3760d786ca0f1cf469f33b065ff2b34,2017-02,Essex Police,Essex Police,0.931393,51.888761,On or near SHERWOOD CLOSE,E01021699,Colchester 008D,Investigation complete; no suspect identified
6bbe58e4f007d793af962464f882f1c4942c246674e640e9352a2e46682fbac6,2017-02,Essex Police,Essex Police,0.252071,51.510117,On or near RAVEL GARDENS,E01015924,Thurrock 008C,Investigation complete; no suspect identified
d52e2563c2f80e26dad763b0900358eeb2cc678e1a64154d2ae203dd2f8324e5,2017-02,Essex Police,Essex Police,0.838907,51.807516,On or near Parking Area,E01021643,Colchester 019A,Investigation complete; no suspect identified
4427097da4dde7302a02b009f7dcc2a8fd8a92f8146e11eb3f222823631d8b4e,2017-02,Essex Police,Essex Police,0.241187,51.482753,On or near BOTANY WAY,E01016013,Thurrock 015D,Investigation complete; no suspect identified
0f09816f2a06e6fc601ba95b14cde98b9a79a8b2d6206cd8685040e076107040,2017-02,Essex Police,Essex Police,0.747554,51.860257,On or near LONDON ROAD,E01021678,Colchester 010E,Investigation complete; no suspect identified
711784f0674eba632a74a7f241f396fdd176c8ea71e89518e570b852910b69e0,2017-02,Essex Police,Essex Police,0.116132,51.762941,On or near TUMBLER ROAD,E01021819,Harlow 006A,Investigation complete; no suspect identified
c0c39cb86afc86ec8f5c488f86b0810133d273c009270d33b0476bc14f7a3e6b,2017-02,Essex Police,Essex Police,0.931829,51.878938,On or near BALLANTYNE DRIVE,E01033719,Colchester 008G,Investigation complete; no suspect identified
3aba450d5934d53b0be9ea11e2992fead2d42c7a6e1b46be021fde5cb014ff52,2017-02,Essex Police,Essex Police,0.284490,51.487772,On or near Shopping Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
03cbb7a8477bf9a109bab7a6e4dd032002400ecd1e24dc320560c85e83967df5,2017-02,Essex Police,Essex Police,1.065615,51.857484,On or near MOORS CLOSE,E01021993,Tendring 009C,Investigation complete; no suspect identified
957ea44bb339ccde48af34191389f8f31d2a6354be107a715b19ed114bb08d72,2017-02,Essex Police,Essex Police,0.278597,51.508552,On or near DALROY CLOSE,E01015972,Thurrock 006C,Investigation complete; no suspect identified
7f6474a12c9b397c835118ec521950bee6c3b9b89884541aafdb2820b6656cac,2017-02,Essex Police,Essex Police,0.319222,51.481001,On or near Petrol Station,E01015956,Thurrock 016B,Investigation complete; no suspect identified
5c0a9513f2d686780f5cc47886320f8e085a20c386fb5a65695806698f5ac586,2017-02,Essex Police,Essex Police,0.468394,51.576944,On or near FALKENHAM END,E01021268,Basildon 015B,Investigation complete; no suspect identified
