Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2b52b53b4eae9c3c16cb0d6f012481e83a65ad75386038284c6ac49e52eebfdd,2017-02,Gwent Police,Gwent Police,-2.941077,51.593910,On or near BISHPOOL GARDENS,W01001665,Newport 008D,Unable to prosecute suspect
106eaf5bd90596253f250299ad02d5b135db4e84fdd688a1266d1cfbad28f6cd,2017-02,Gwent Police,Gwent Police,-3.217140,51.661732,On or near WARNE STREET,W01001389,Caerphilly 007E,Unable to prosecute suspect
5fbbaecc7f31ebe002ceac70248842e363e8531246ae5f2ce28aa461e75f98d6,2017-02,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Unable to prosecute suspect
61eecfa963c3ab2223393a819e5807d2eaf601ec5a9161fcaffb6e20c6df9b5d,2017-02,Gwent Police,Gwent Police,-3.055079,51.713922,On or near HEOL RHYDD-DAL,W01001529,Torfaen 003B,Unable to prosecute suspect
46d9c8f4ec9fe3367e918acfdfb05468d5a372829a1ae0338bab2c89e1a0ffef,2017-02,Gwent Police,Gwent Police,-3.043442,51.699505,On or near CRUMLIN STREET,W01001491,Torfaen 004A,Suspect charged
1bba82c55c918b0d8040c2de2bd3550f951999b15c88f9815d491b442d8b3633,2017-02,Gwent Police,Gwent Police,-3.026929,51.551622,On or near BRONLLYS MEWS,W01001913,Newport 020F,Unable to prosecute suspect
8e48a9f2c390a0099cf94f8ab9c84fa63f8769b72528365f8cbd9d193b860141,2017-02,Gwent Police,Gwent Police,-2.973966,51.580550,On or near ST JOHNS ROAD,W01001644,Newport 013C,Offender given a caution
05aa7e82c5e5a6873746d1e9499a9ca752858f605068b9986b588b6829ca4ccf,2017-02,Gwent Police,Gwent Police,-3.002113,51.595832,On or near POWER STREET,W01001684,Newport 006E,Unable to prosecute suspect
e785231b4e7843d10a68d8e59936d909affe141ea43cedf2057dfbb4dd497267,2017-02,Gwent Police,Gwent Police,-3.270230,51.592940,On or near CEFN ILAN ROAD,W01001330,Caerphilly 018A,Unable to prosecute suspect
379e69a28097b5ff2b1a9fc7bfa2d27e50dd38a2192ec86ffb9c29ce755a455b,2017-02,Gwent Police,Gwent Police,-2.951186,51.578156,On or near FALLOWFIELD DRIVE,W01001646,Newport 015E,Investigation complete; no suspect identified
