Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
678daf1a737c9414fc12e0e30d5ead30c4fe437c3da932206d68621a496c01bc,2017-02,Humberside Police,Humberside Police,-0.613958,53.563404,On or near GADWALL WAY,E01013240,North Lincolnshire 015B,Unable to prosecute suspect
3d2afc463c1fc84fc5e9ffa28ff82cc68cb72dcf68201e429fa48ba2f51767c5,2017-02,Humberside Police,Humberside Police,-0.686483,53.591018,On or near WILKIE CLOSE,E01013286,North Lincolnshire 005A,Investigation complete; no suspect identified
678c2911e7687cab2edfec9184fea4d96d5ef1d0f2241974f15c2b9454a20e86,2017-02,Humberside Police,Humberside Police,-0.436877,53.719637,On or near ALL SAINTS CLOSE,E01013009,East Riding of Yorkshire 034B,Investigation complete; no suspect identified
54c2e6fafe310c132fd03903d6e1e28f8d19390d6dd3f7e8bd76f7aaa1237e37,2017-02,Humberside Police,Humberside Police,-0.593947,53.759984,On or near Petrol Station,E01012969,East Riding of Yorkshire 024E,Investigation complete; no suspect identified
d4b0c5629f2287e4a4f1e8e8de92421fdf5c245a78e899cbb9ee3ef9808fd73e,2017-02,Humberside Police,Humberside Police,-0.643794,53.576133,On or near SHIRLEY CRESCENT,E01013314,North Lincolnshire 010D,Investigation complete; no suspect identified
64cc658a717bde97cae9f9dac537172dd8e0d0f43e90834b4e91f1ce77228d53,2017-02,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Investigation complete; no suspect identified
9cfd5a70368a12b77729bd6f40c9ab772927701df8f7bef9aeb4e81bc4e7788a,2017-02,Humberside Police,Humberside Police,-0.348587,53.796443,On or near BROADWATERS,E01033105,Kingston upon Hull 001F,Investigation complete; no suspect identified
dfdca15fa0b010ab853eba2ebd6f97c387771afb694f5506ac3f915e574db226,2017-02,Humberside Police,Humberside Police,-0.099044,53.565228,On or near HAYCROFT AVENUE,E01013187,North East Lincolnshire 008A,Investigation complete; no suspect identified
5a3b75775f09c4699a695e5ff1a25d2870f8c7801ccd547dadc41aa5da251487,2017-02,Humberside Police,Humberside Police,-0.095858,53.569924,On or near HAVEN AVENUE,E01013220,North East Lincolnshire 003C,Investigation complete; no suspect identified
a2d3f314c45b116faee6f21f1955b9956651f8c354dc99ebbc8b9daa6c8863a8,2017-02,Humberside Police,Humberside Police,-0.295357,53.759328,On or near BOULTON GROVE,E01012901,Kingston upon Hull 020E,Investigation complete; no suspect identified
99ec99c5bcaa61c6742ac8493efe197288cf855f1473df5208ac86e63a7d2782,2017-02,Humberside Police,Humberside Police,-0.658476,53.561278,On or near BROCKLESBY ROAD,E01013284,North Lincolnshire 017D,Investigation complete; no suspect identified
de5830aa2039090765a169271961f3ead566c83a6db4f2e46b9427aad28317c8,2017-02,Humberside Police,Humberside Police,-0.023695,53.553462,On or near OXFORD STREET,E01013152,North East Lincolnshire 017C,Investigation complete; no suspect identified
141560b2a8928948aeee136f7c71039b340e3a67a98e3f63d7af2fb7d92ba6ee,2017-02,Humberside Police,Humberside Police,-0.376215,53.788334,On or near Parking Area,E01012875,Kingston upon Hull 003A,Investigation complete; no suspect identified
06479327d48fc9aa06b39690388f6b1a935e4db4a449cc432d40d427630f3f12,2017-02,Humberside Police,Humberside Police,-0.356413,53.800155,On or near THE PINES,E01033106,Kingston upon Hull 001G,Investigation complete; no suspect identified
249600bd3551a46d3321face62eb40f245cb1fd3f371000a990086af4ef245d9,2017-02,Humberside Police,Humberside Police,-0.635398,53.561996,On or near MARSHFIELD ROAD,E01013237,North Lincolnshire 018B,Investigation complete; no suspect identified
01aeff580a3b0cadc82b565d8d4a1b0819f19f13982b8092aa6f6733cbd0c099,2017-02,Humberside Police,Humberside Police,-0.413759,53.782212,On or near KING STREET,E01012960,East Riding of Yorkshire 025B,Investigation complete; no suspect identified
62c1747b0b1d9e9ef17cbff79335ac1a242d8521f7fa743b8802d9d6c05a1e94,2017-02,Humberside Police,Humberside Police,-0.313861,53.752578,On or near Parking Area,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
33792453f816d9dbfd548630c25ddfe16cbfbf639249a745fdb9b86c9fd4adad,2017-02,Humberside Police,Humberside Police,-0.250260,53.753779,On or near BAMFORD AVENUE,E01012845,Kingston upon Hull 021C,Investigation complete; no suspect identified
