Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
16a34b552ee9e5886657ee48fcd0ab6460fc30c1a1242d56136cab3c7f6e7950,2017-02,Lincolnshire Police,Lincolnshire Police,-0.761672,53.397190,On or near CLAYTHORNE DRIVE,E01026377,West Lindsey 006D,Unable to prosecute suspect
9237b0566c5e93321dd04a26a54f08681b241d69d9dd266b5ee9fa8eecf7e0bd,2017-02,Lincolnshire Police,Lincolnshire Police,-0.525845,53.229005,On or near NAPIER STREET,E01026126,Lincoln 004D,Investigation complete; no suspect identified
2e520e9783174ef9a12c8773212deff72cea18565b3a27cc8fd33fd0d1a93d98,2017-02,Lincolnshire Police,Lincolnshire Police,-0.544887,53.230299,On or near NEWLAND,E01026143,Lincoln 005B,Investigation complete; no suspect identified
1e38e6dc7e67e3b31ad615d22cb391dd3954d7dfa28bb825b9108f0dbee71e81,2017-02,Lincolnshire Police,Lincolnshire Police,-0.150063,52.788429,On or near Further/Higher Educational Building,E01032995,South Holland 006F,Unable to prosecute suspect
8f560d9cc85e52b01ca9f2ca3ab1a50261e9913663e68dc83100c2c22d1988d7,2017-02,Lincolnshire Police,Lincolnshire Police,-0.485337,52.653283,On or near Petrol Station,E01026349,South Kesteven 016A,Investigation complete; no suspect identified
a209a02e2bc71f45be1b110c4def2af035e6b8fe2b3b80f3ee836b23c4c7ed24,2017-02,Lincolnshire Police,Lincolnshire Police,-0.330161,53.382792,On or near HUNT CLOSE,E01026389,West Lindsey 003A,Investigation complete; no suspect identified
1d27a5f1644e002c9bcaabe48c0393405247a9f9bf38135198b69b0c897e1fbf,2017-02,Lincolnshire Police,Lincolnshire Police,-0.150855,52.935034,On or near ABBEY LANE,E01026034,Boston 006C,Local resolution
fb38596fac661f19ffc727b92f5f0e91422fcc6503abddd0b799d048f282b066,2017-02,Lincolnshire Police,Lincolnshire Police,-0.003143,53.366127,On or near SPRING GARDENS,E01026081,East Lindsey 004A,Unable to prosecute suspect
00aa0a0bdac02ee3f648e27b7e014592227e9dc5e866421baee9a67b3b0757f2,2017-02,Lincolnshire Police,Lincolnshire Police,-0.110328,52.761505,On or near ST JOHN'S ROAD,E01026284,South Holland 011C,Unable to prosecute suspect
24c597eb0223610d33464f07c0a4e7482d2dc70f381a7a4e57b9fe94d2084f54,2017-02,Lincolnshire Police,Lincolnshire Police,-0.546250,53.237382,On or near UPPER LONG LEYS ROAD,E01026145,Lincoln 005C,Investigation complete; no suspect identified
14ca0bfa5f7588ea3b6e4859313d9a2e095dca8909643b1b12f06f0a5847dec8,2017-02,Lincolnshire Police,Lincolnshire Police,-0.424712,52.993406,On or near CURLEW WAY,E01026228,North Kesteven 011A,Investigation complete; no suspect identified
1e38e6dc7e67e3b31ad615d22cb391dd3954d7dfa28bb825b9108f0dbee71e81,2017-02,Lincolnshire Police,Lincolnshire Police,-0.150063,52.788429,On or near Further/Higher Educational Building,E01032995,South Holland 006F,Unable to prosecute suspect
de886cd9ffb5ddd5203b3d1f29bf2c0f36d133db8931bed1b3526a955322b133,2017-02,Lincolnshire Police,Lincolnshire Police,-0.559151,53.182054,On or near VALLEY ROAD,E01026238,North Kesteven 004F,Investigation complete; no suspect identified
0e09ecdad4c193d25bd121fdb7ccfec9c8eb5f8ab5000dcb03ca132daa655ec3,2017-02,Lincolnshire Police,Lincolnshire Police,-0.539101,53.229519,On or near Nightclub,E01026122,Lincoln 004A,Offender given a caution
9adbbe36fd7b5ed2b40f6082058aa849a08f6794daadb48fad220ca447a73d02,2017-02,Lincolnshire Police,Lincolnshire Police,0.084750,53.007187,On or near MEADOW BANK,E01026009,Boston 001C,Investigation complete; no suspect identified
0382490201aa818fd14337c35975b95526689472d34a4f3a1f8fe2ccde3dbc61,2017-02,Lincolnshire Police,Lincolnshire Police,-0.040485,52.981203,On or near ARGYLE STREET,E01026011,Boston 002B,Suspect charged
d1eec709ed1ee9c8d395f14ea2d45fa528410c89af0044c7400a478486552156,2017-02,Lincolnshire Police,Lincolnshire Police,-0.515642,53.250264,On or near Supermarket,E01026157,Lincoln 002C,Investigation complete; no suspect identified
0690226954a7fe13b2a6e4f073eb6f1989d57af5758716054d32e946da7d23e1,2017-02,Lincolnshire Police,Lincolnshire Police,-0.627335,52.807865,On or near Sports/Recreation Area,E01026331,South Kesteven 009B,Offender given a caution
2c593d7f7199160e170643b6c5acb81afe0cb2f59c164beea972c6b7967b5e60,2017-02,Lincolnshire Police,Lincolnshire Police,0.330767,53.156860,On or near CHURCHILL AVENUE,E01026085,East Lindsey 012B,Unable to prosecute suspect
ecef92a9aed013546cfc7733931d68b31acd888dd1ee407bd4b17bf0cac87683,2017-02,Lincolnshire Police,Lincolnshire Police,-0.772426,53.399773,On or near SPRING GARDENS,E01026384,West Lindsey 004F,Suspect charged
6d61cf84c1fc8530215fd04cd7ea27fb750ba8bafdc8ead74392c8d96eb1cf98,2017-02,Lincolnshire Police,Lincolnshire Police,-0.028179,52.973375,On or near NELSON WAY,E01026006,Boston 003A,Unable to prosecute suspect
a42b691fe5b5067c328c2eb0d68b0ca1652f85b498e76ae39d78df79830019a4,2017-02,Lincolnshire Police,Lincolnshire Police,-0.097699,52.778898,On or near AUSTENDIKE ROAD,E01026281,South Holland 004A,Investigation complete; no suspect identified
2c593d7f7199160e170643b6c5acb81afe0cb2f59c164beea972c6b7967b5e60,2017-02,Lincolnshire Police,Lincolnshire Police,0.330767,53.156860,On or near CHURCHILL AVENUE,E01026085,East Lindsey 012B,Unable to prosecute suspect
839cb372463a46f7f7201962e1eaf760c8802c8188ec3a65fa6b73c4b5fe9b94,2017-02,Lincolnshire Police,Lincolnshire Police,-0.746037,53.275096,On or near A1133,E01026409,West Lindsey 007C,Investigation complete; no suspect identified
6f170f17454e06c3157cba03fd4e24ecdc0890281d379ba19d76be16fc664a8f,2017-02,Lincolnshire Police,Lincolnshire Police,-0.602425,53.217602,On or near OAKWOOD AVENUE,E01026131,Lincoln 007D,Investigation complete; no suspect identified
8c28db83446cdf3e3694b8065f7391e1097e0ca8089904462ee2caa8043db014,2017-02,Lincolnshire Police,Lincolnshire Police,-0.555470,53.224342,On or near Petrol Station,E01026133,Lincoln 008A,Investigation complete; no suspect identified
8bfc6c326b8fd0048993fc257d0e102bb21ea944b892b6e301277cbbcb42294d,2017-02,Lincolnshire Police,Lincolnshire Police,-0.409556,52.999560,On or near Parking Area,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
aa04a2eae02052bfa10039a678842a3e087ff973232f1837c6bd748bf8726e1c,2017-02,Lincolnshire Police,Lincolnshire Police,-0.576140,53.212644,On or near SKELLINGTHORPE ROAD,E01026161,Lincoln 010A,Investigation complete; no suspect identified
c562867275e7c43cd93f09e040b3a7fe709c1ffd5fd993a01d630e13c0071f03,2017-02,Lincolnshire Police,Lincolnshire Police,-0.112447,53.209833,On or near LINDEN ROAD,E01026065,East Lindsey 011B,Investigation complete; no suspect identified
d1b5a8032668a66dbc6ccc0506eace2378c14fe19f9f60f06e6fa99cd1a7600f,2017-02,Lincolnshire Police,Lincolnshire Police,-0.772632,53.392610,On or near A631,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
18180ed59565fc7a536f64acebfda479ba5679360a6a0ae97a66f39843dd2811,2017-02,Lincolnshire Police,Lincolnshire Police,-0.411735,53.002709,On or near NORTH GATE,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
9f2d82fbb249516037ad4ad9074ec0d4381f6778bff07fcb5888687f79067e3c,2017-02,Lincolnshire Police,Lincolnshire Police,-0.540401,53.166157,On or near BAR LANE,E01026185,North Kesteven 004B,Local resolution
42870b378f89fd660db52c5182b7e568ed0d63cca3b247845554945fa6aff1d7,2017-02,Lincolnshire Police,Lincolnshire Police,-0.542977,53.227435,On or near BRAYFORD STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
998fe9497cdaa64cc8c344089b6266a928fbafcc29e872b161728cfb061c600b,2017-02,Lincolnshire Police,Lincolnshire Police,-0.152759,52.786070,On or near FOUNDRY LANE,E01026266,South Holland 006B,Investigation complete; no suspect identified
fb2e5e59d999193d0883753676b67ca315057ed1675fec2963b049795fc6131a,2017-02,Lincolnshire Police,Lincolnshire Police,-0.543119,53.217953,On or near KNIGHT PLACE,E01026178,Lincoln 006D,Unable to prosecute suspect
40ce07b32e89df6cb7c837d4de7616b8298748469b4ca99571ac3a7ec16a6e5d,2017-02,Lincolnshire Police,Lincolnshire Police,-0.535691,53.220568,On or near ARTHUR STREET,E01026177,Lincoln 006C,Unable to prosecute suspect
c849b2177ae46f0faed4138f5341f36640e801f1b94c2a93794fe12c87009348,2017-02,Lincolnshire Police,Lincolnshire Police,-0.777163,53.399794,On or near LORD STREET,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
6e356f693abea68464fc2150bd5f4dcfaf3e7b86d5b41e7a8214b59ecb2a5b5f,2017-02,Lincolnshire Police,Lincolnshire Police,0.328012,53.154873,On or near MANOR DRIVE,E01026084,East Lindsey 012A,Investigation complete; no suspect identified
843f1a894cb7df773ce189ddb00cddfdbe174e4f9f05c6ad62ad33f282e8b9eb,2017-02,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Unable to prosecute suspect
5f5317f2eb17b58c07ed7ea8ae45500c70946add3a37bac0ceb1e47ebf27ae73,2017-02,Lincolnshire Police,Lincolnshire Police,-0.609261,53.214177,On or near LYNEHAM CLOSE,E01026129,Lincoln 007C,Investigation complete; no suspect identified
cdbb032049ce71be06de3aa1e544443625adec6c0bb1c640fe0e342be6abf61d,2017-02,Lincolnshire Police,Lincolnshire Police,-0.153807,52.787238,On or near Parking Area,E01026266,South Holland 006B,Investigation complete; no suspect identified
5a3ddab624422cf507315f305c61796e528e48589a970fdd73d0902ff221e51c,2017-02,Lincolnshire Police,Lincolnshire Police,-0.750448,53.391670,On or near KEELBY ROAD,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
a91f481f3dcce8ae0ec5a7f43cb15d4822e3409e1d1283e488de3263903e568d,2017-02,Lincolnshire Police,Lincolnshire Police,-0.587777,53.183458,On or near Parking Area,E01026218,North Kesteven 014C,Investigation complete; no suspect identified
4cbbeb8778ed26474aaf72c604b76bf5f62b80bbd595f049c69bce30b2db38a1,2017-02,Lincolnshire Police,Lincolnshire Police,-0.568824,53.201193,On or near THE COTTAGE PADDOCK,E01026170,Lincoln 010B,Investigation complete; no suspect identified
3388a2247b97a9a60d64de7f21b18ee36535a3377aec95226246b5620b6ad759,2017-02,Lincolnshire Police,Lincolnshire Police,-0.482673,52.651235,On or near ST PETER'S HILL,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
45e6b9540478f5b6a0f73a44f11c51203aef2f51505ce744d743420136c1bb28,2017-02,Lincolnshire Police,Lincolnshire Police,-0.590325,53.188370,On or near Supermarket,E01026218,North Kesteven 014C,Unable to prosecute suspect
c55140c6b1ded948ac7500b2e6e17f95b4bd39a23e3fc8fe5c032790bd63b16f,2017-02,Lincolnshire Police,Lincolnshire Police,-0.547843,53.393378,On or near Petrol Station,E01026386,West Lindsey 005B,Investigation complete; no suspect identified
