Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e350a35d5d4aab5c334416111cf3a1c0fa0b86c44db354030db7bfdb1c2be7c0,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
674f3c94ee709ad976fbe0f82f215cae3bf020528c209dc0dc93167f4ad121f0,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c8a739856cdae638a3a7f7598523e30fbc862aa01bacfe29e4e8847f11fcc431,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
2f9a5d613cbb5dc5e6936324db79a5d942888b7221a5b80c3b81ee7ae5aa7262,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
3c25ebd96e82600bc8c625c7cff4ba53ed6ab329dda319e15559c1760b64b984,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c00679778c79456af7a3ddc72122d6b8336b380558e45e456cc92090b4ea549c,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
1bf518385c06034e10f917d98200268133136dc4d908f69243f76a92c782d199,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
b95af003929e50d63b0909bc89afbf800f24cd135b7ccd328a8ef9e82633c51c,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
31648e47150baf338224fc3e813f56abf9773d69f101f4c725d0a6545dd3a22b,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
7b0dce7259c096a747b5ec20a38baf677452b13358f235e181240395fbfc4aba,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
9dde0c8008af19316643050c596903092abe41265e281bceb78799d758a9d410,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
cfec7358e152c371f380b635e03183863b1d0cde049c6a33541dee4350362651,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
da3b6b12f4d4721cf8c0e5ca7c991597b706a4cf3d6d2eeb76109f1dc68fefc8,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
5e8b742ddcef23e71f55e2bd1361ffc944f1fcc33f6543a1eb401780827cadf4,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
026d990ae9ae2b1fa20460d2ec9d67ec4f3d8b28173d7afd5ef61dea13ed34b1,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
026d990ae9ae2b1fa20460d2ec9d67ec4f3d8b28173d7afd5ef61dea13ed34b1,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
6633f13fb05c698259bfb7cf1cd2bb4a2895da0b988455704db846c9014d3e8b,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
cef40cf9c47f4824a69e4d27530763a8580cfa7adc465c27849cb80ae4b88458,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
7223e49125d5fe7dbbbd56faecb99bb0119ec087a5c8bea05385ef87cfa3f99d,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c134b1dbd684856599d738ec15c5466f2e4d8dec007b35f626242e7783dd6571,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e79ce4279dc49f568ecb24d3f53e8120f5599f8b381b40c161c059538ca30a92,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
600fb1b683fe7294a92b63b627c9cc45a94af73e2f3f03862f3a3b55b689dd27,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
cefbb1071685878c922f59f79d319cd77b1a7386dfc2958708d40b9bebdacc70,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
3138873be67cb631b3b4b113ca167207cef296c432d9c9d40e458c450ed9ca53,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
5bf8e55beb1a69dccb084b44eb560bf7992ebfb84a68db44eaafa7407f9f984b,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
9d8329439ed0077370c0e60121bb442af7c48da55ea2ecb82da69f67e37ab570,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b8b290046d62bc79a837da118205c39902e31f90319adc9989048fbb94a7a879,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
4d41d707d7e373bcaf87262c2664e74d466a53b6753247edf8344ce891118072,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
7b4d57c547df9f258bc6a92726388bc87a000db2f8b835f8393853e7b3000fde,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
281fee55bbcf2b35511c2b1653dc79cbad6196cc07f49e86a32ba22fc89cbdb6,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
957451932a43aaf7d759f72f9e8a9293afbcfa25b39acf8a12c7b4c6e341eb2a,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
92c528b2f98ed85e3cb1dd6d1c8b7046270304a1b03065e832fe6cad58d128b9,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
fba40bb02af978b8bd8713cbbf70c441e4a5b0dcbf37ae8b97ae279e0edc06ed,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
65718461383fc5dde54e72b2056a01411445afd830bb1735649cfce8a260b833,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e686cc9357e8bbfefe5ff170338bc4e3db52ffc386bed7a0d790ff7cc05c44e5,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e3e91583011f9cf7ba6b796a01d1e58525fbf58bf5975ff35b640cb8f58cce4e,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
58a2193197f631f73797ff978a163bc983510c171536126044ccb103ac07af0d,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
88017cb37ffbd28d022c73a50b40b239df98455857ad443172717a1be42014ba,2017-02,Staffordshire Police,Staffordshire Police,-1.935702,52.762403,On or near ANSON STREET,E01029404,Cannock Chase 002E,Suspect charged
90f4a72fca5c731c8def8f38182e81f2ca1735ebe01df1b3827dfff0780dd133,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
888ecd74eab866cc2d4fb6eb94937390f6c5dd994133417b524a3964e52fc778,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
1fb0cb0979e960d290b9e1ad2ca8fd600e0cc489ca0e9c6768bef472e0bc8922,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
f11d2b84be54a27edf964d21c457db583e0225fd97ea6b470cadfe959c2de657,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
bf269619db5e937c3b4ac73df94606fb8c25d8b7751288314d0a8b73862892fe,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e19dc51642851f4764194469d54e69bdd23c204e5391a8607874993271937963,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
bf507b50fcdc1b11d2b2697448a4c9f88f55c0cf6016e6ad857d85c4613220b7,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
35ba68fc3fbbfe6389455fcea37d77626eba97adfa27a6f24227bd2959bf4125,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
6e32b0613f3f8f1b0078c2782fe01fc14483eb8afa773b03c48a59c3202eb9fc,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
6f79bf36c968b9d1b4a3f5547bc6a3307cdfcf014bb2602d9132350c9523a36a,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e46fe5d1981171b5feba7b6de1c65af40e96a3b0749d05ed1107b4a28711d8e3,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f2c88a66da706cce4dce284ce496ff29f0d8fbd07f96ba325fd044dbf3195522,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
14e7ab43eb8001d2460e18b49ae3a47ff9408d111a69be0881e9d96f48612be0,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
98afa5a6a0c129de12d9b95e2146d4a1f20c54c9ebcf1d16383e41d30673abb7,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
5fba2c9a6cc8e6f35c89f6040930c3c4d613f94e6bb1ca4eaadc2ffdc9985881,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
32b258d74291c0106dfacddea2eb00d17af41c7274426a74e3c109ba0641148f,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b3bb13d79720519b9422c6a06299971f2f06b4849be66df5193915597f047a0d,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
84374b8c013d7bae3e0df34de2952596ecdcae001284042339fa4665b60104f7,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fd99985f07c4d6a2841440b75c4a34cc1d810d10f178b2270ec734b4137a17ff,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
c1f4c3c4c5237e9b48267bda4990bd77e8f2d31b580a4b5ae99d1791807c7233,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
ff94dc0385a4021162b65c1df44d61bdb6cccba61c6edf16243ba9a2cab46901,2017-02,Staffordshire Police,Staffordshire Police,-2.159497,52.983712,On or near ASH GROVE,E01014240,Stoke-on-Trent 026D,Unable to prosecute suspect
6bc3f0aa595f6b55521443cf88f43d22313e6efbb86bd02baa957e4f7d5ab951,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
288ce55b5e5c6b95be72cef6b64cde430d906bacef353cff2e3c0005c1bfb782,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
90b2d7b25c68c739ef2412375c54a1a4b9ac951f99b1a56d408a2c0fa16a56d6,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
9a13f88370e4a00c0576727db978dc978ab169f7e1b01a1161bec9d57475a722,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
93a500d31380955882dc03e44e73a06f0ae1a979bf6dbb51de32ca904dad488c,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
fd4631f6df1933c50a5932fb2450a73a206019a408df48abb5cd57139e73f6dc,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
ecbba17a37160e8c725044423cb6d4d207dd875376fdad674b4eafdcf6a122dc,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged as part of another case
576acff6be9083d9385a4afd193c67d0f0f73f0a7dd8dc8b1b341bda60df9da5,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
9d90d3905d71bbcd0ec57ee738ec59480e382ddbb358ce6acf3cdc47ad565518,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
1bf518385c06034e10f917d98200268133136dc4d908f69243f76a92c782d199,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
af10e609ee14be409a543f804307af7dc1c3de5c949d522135688c404895338f,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
92973626bcc5710f684d7be8d5c7bda7e41af63f651cb8c6c59d1c535dcf80b7,2017-02,Staffordshire Police,Staffordshire Police,-2.180744,53.024627,On or near PARKER STREET,E01014287,Stoke-on-Trent 015D,Formal action is not in the public interest
28fb20850ffcd72b2c1df2efe9d3e1a1fc378c19901004ed780548c68d47358a,2017-02,Staffordshire Police,Staffordshire Police,-2.175805,53.027295,On or near Shopping Area,E01014287,Stoke-on-Trent 015D,Formal action is not in the public interest
dd9ca8af8251daa7c053f0523b75ef4aff5da4ca254e8151edc562b047e57c42,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
1cdf15f8c9924f47e5becd9a7433de1a17093f9cffa0d1f217b307ea0608dbd9,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
99cf0bacbc642338cd6dbc2fd854e2cf8dc107dbb33b5e108d0c5d811d5422b0,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
7e50d98e44290d03bcfc4f7f39caeb6c09e9573bf65d35249c3f566f84ab1b78,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f9b134ca4c87a90212d0208a0fdc1c672b685ee7ca6dd6ce756bfcef8c4879da,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b7e57703e6dc34e4bb1343db1e06d6917da2104e9844da19fd2da6c33488b878,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
303baff468f24933cb57a993a16964ae58782b4fb4d3bbc55c263309bdf06b7f,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
6e09f1be8431101aa5373a7b2105d3785d32719f7e8307b2624985a0ff7f180a,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b0ccce8dd391884591031f38bae67e5d5d5eafde10f2295fb924b4208bbf3941,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
8b5973e8fa5e1feb2b73ea847fb2fdeedadf46c1e8c7c1c105b855078daf54bd,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
8f080998e34ab38da472c94c3389fa0d412ed88fbe6cc7fd12134981f29a44d1,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
0653915b51e5df4c0c4896a9e4b187b41e0d29d3bf4da4ead37c8606ae34a374,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
00e60596cbe992ed1e1c4a83cce34f2b246956e2265cbf379c6f92c4f4137b77,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
25eec46a8c799bf8a7690fd272a346b757aaf8a646342ad8f7f04723a802fa13,2017-02,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
