Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67b4ae70d9b5bf74054659ab16ee9d61a6fba31efe03060bcd156070d2f6b67e,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
52d5e563ec9d5a7433ed16f6f8c2fbbc0bb03b115dde45ebc02cbcbf1b318d08,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
a717251d148c0cb0ebeffcfaec06566cc3b5d564b7f5a196b046d2097449a79d,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
c7a65cbd2dd3ec41ac72c35c5c6bf8a0d9a1d507c7851955be5805f1b15efd9c,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
432756bac3bcb123a8a9431e71bde2c0be774ac768364cdc9b5d1b4b7117fd88,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2c47614c853b321746e95c54d4c311f777c15b1ad378928dd5dd44fe8aabe249,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
d1165c8eab92da31eef4c2dac2f6eb96a3484b7729fed522fbb77358eb68cf48,2017-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ac8e0e34aa3819a27cfd480f1ae82d61ab3e63cf00bc047862a7324dfe009c96,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.125498,52.045680,On or near PELICAN CLOSE,E01030012,Ipswich 013A,Investigation complete; no suspect identified
df8ebbc85f4abf2de571be4badb3637bb98d460c237f2b48295f8aaa4dea5036,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.151394,52.062330,On or near HENLEY ROAD,E01030025,Ipswich 006D,Investigation complete; no suspect identified
51849f7064499b08f9ff844d727e80936fe7f7051dcdd595c232be49e0fcbb46,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.557397,52.254134,On or near THE STREET,E01030222,Suffolk Coastal 001C,Investigation complete; no suspect identified
8bc2ba49b7a3b23c23e62eb4a9d96d1349b93fb5f36854a535432da6405aef99,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.143325,52.061503,On or near B1067,E01030024,Ipswich 006C,Investigation complete; no suspect identified
9a918915c7fa72d8750143fd7f772f2b8552b92a32be524052557ea894499eb6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.755927,52.484664,On or near Petrol Station,E01030247,Waveney 007A,Investigation complete; no suspect identified
91427e6a4ea47cf9c6e2338c95a2021fc1aa2628ab8e7c112c1f5f430cb20f93,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.138244,52.064372,On or near CHEVALLIER STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
953bfbace008c0371dfff209ee2ac46e86878805c447c60dbf806bcc11ccea70,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.424896,52.082737,On or near CASTLE AVENUE,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
d57397dffc1c8683ca61d78a49ede48301d7f9d14249b06fe45d937df8b82aef,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.739758,52.485284,On or near LARCH ROAD,E01030262,Waveney 002B,Investigation complete; no suspect identified
aeb08c45a43ac6e1baa114c8d090af8c79c93e0d35f054ddc614945f510b02ca,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.156285,52.057621,On or near NORTHGATE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
e0c4b62e52005e653ec35117b26fa539ad53d4676aff7edc2f408ccb8f834ee2,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.408367,52.245884,On or near EXETER ROAD,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
6f70473210d96ebae26e3b2ee971a393298b52f8b40fc8241b6a329f00cc4f60,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.705256,52.457498,On or near ASHBURNHAM WAY,E01030238,Waveney 009D,Investigation complete; no suspect identified
ca693a708e61e346483c5270639ec869d2c747fbbe83aa68a31dfa255bffe05c,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.441898,52.082152,On or near LORDSCROFT LANE,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
b2c88ae4fd3a4b7897859c86713b03d6130b7049167fa99f5749aa4cbce2e65f,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.709160,52.245835,On or near Sports/Recreation Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
f635a89031e3e10abe9a9de5f757671c4aabf39363aabb911b75061d2d62f2a2,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.140834,52.062810,On or near BEAUFORT STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
7f6ccfbf2e2f3088977dd2600718ce84f3d15a62b1815745b02d1f455618424d,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.160413,52.060703,On or near WITHIPOLL STREET,E01030010,Ipswich 005D,Investigation complete; no suspect identified
e0ff6cb7ce69e8dc4e8eef46e3d8f6eea047f51d8c03f4bb61ab0d9a548159c8,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.506926,52.342909,On or near CHURCH WALK,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
2f46c8b27747e2224631abe2cf0b09918439b37aa870708b3ae48f7b04e5cdad,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.133893,52.066836,On or near RICHMOND ROAD,E01030026,Ipswich 006E,Investigation complete; no suspect identified
e935b891cbaaf0b8f4981f866f263735096db868e22e8a66066acb7ce649328e,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.164741,52.052574,On or near A1156,E01033123,Ipswich 011E,Investigation complete; no suspect identified
894116a6ecbce2f9a4fc2e45e4b8a396a506b67e96153f80d095195fb60af4c6,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.563470,52.457776,On or near Supermarket,E01030225,Waveney 010C,Investigation complete; no suspect identified
343c861394c30468df8e966d5ff6bc16270ace7967def3fb6b94ed55f2d04e60,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.340484,51.954276,On or near Parking Area,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
bb89e1f8f400a2655ca58de0a6e6f4a0f7192ce662845cd20b34c8b742f523c1,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.144308,52.061584,On or near Parking Area,E01030024,Ipswich 006C,Investigation complete; no suspect identified
da185955a5fbadede431b0d230b63f752a2f05a45413f137466933c168e6a886,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.715791,52.075995,On or near THE SPINNEY,E01029901,Babergh 003B,Investigation complete; no suspect identified
2b83e9b7cfb3b59f5bdf381b9ace9ea2fbfbd4df02b7aa562f08e575f2246df2,2017-02,Suffolk Constabulary,Suffolk Constabulary,1.114632,52.083203,On or near GODDARD ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
7e89a2cdc341ff53973c164c3d4f158d837f5ea08da3b9b19d5396df0de11404,2017-02,Suffolk Constabulary,Suffolk Constabulary,0.759128,52.026857,On or near LIONEL HURST CLOSE,E01029890,Babergh 008E,Investigation complete; no suspect identified
