Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2017-02-01T00:35:00+00:00,False,,,,Male,18-24,White - Any other White ethnic background (W9),White,,Stolen goods,Suspect arrested,,False
Person and Vehicle search,2017-02-01T09:21:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-01T11:30:00+00:00,False,,,,Male,10-17,Asian or Asian British - Bangladeshi (A3),Asian,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T11:35:00+00:00,False,,,,Male,18-24,White - Any other White ethnic background (W9),White,,Controlled drugs,Offender given drugs possession warning,,False
Person and Vehicle search,2017-02-01T11:43:00+00:00,False,,,,Male,18-24,White - Any other White ethnic background (W9),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T12:00:00+00:00,False,,,,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-01T12:00:00+00:00,False,,,,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-01T14:55:00+00:00,False,,,,Female,over 34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T14:56:00+00:00,False,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T15:00:00+00:00,False,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T16:20:00+00:00,False,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T16:20:00+00:00,False,,,,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T16:25:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T17:00:00+00:00,False,,,,Male,18-24,White - Any other White ethnic background (W9),White,,Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T17:00:00+00:00,False,,,,Male,25-34,White - Any other White ethnic background (W9),White,,Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T21:14:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-01T22:46:00+00:00,False,,,,Male,25-34,Not Stated (NS),Black,,Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2017-02-01T23:50:00+00:00,False,,,,Male,18-24,Black or Black British - African (B2),Black,,Controlled drugs,Offender given drugs possession warning,,False
Person and Vehicle search,2017-02-02T00:25:00+00:00,False,,,,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-02-02T01:31:00+00:00,False,,,,Male,18-24,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,False
Person and Vehicle search,2017-02-02T11:40:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,Stolen goods,Suspect arrested,,False
Person and Vehicle search,2017-02-02T15:10:00+00:00,False,,,,Male,18-24,Black or Black British - Caribbean (B1),Black,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-02T15:10:00+00:00,False,,,,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,,Controlled drugs,Suspect arrested,,False
Person and Vehicle search,2017-02-02T15:25:00+00:00,False,,,,Female,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,False
