Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
754ab7c55fafec78bfdba4fa5f3ecc291fe8dbf07cae9a42eb93e626ea49fca4,2017-02,West Midlands Police,West Midlands Police,-1.800154,52.573352,On or near KEYSE ROAD,E01009446,Birmingham 005B,Investigation complete; no suspect identified
6267c24caec320b33108192690c92ada1c53fd5f06ef31b918d40e0d2e49c7cf,2017-02,West Midlands Police,West Midlands Police,-1.808599,52.501024,On or near CHATTOCK CLOSE,E01009084,Birmingham 042A,Investigation complete; no suspect identified
101c370072140ce441a6e26e9c8beeebbe5ccaeb20c2e498e57935bfa0d65354,2017-02,West Midlands Police,West Midlands Police,-1.832938,52.496251,On or near OVER POOL ROAD,E01009478,Birmingham 048A,Investigation complete; no suspect identified
3ee68bc90a96f7e2685a421bb4c93174891dde9b0af1556368eb26d387eaadc1,2017-02,West Midlands Police,West Midlands Police,-1.870552,52.407432,On or near GORLESTON GROVE,E01008946,Birmingham 122B,Unable to prosecute suspect
daccddf24ad8d5a853402b50b072d21e7ecbbea7adb3df56ef28e6397358258d,2017-02,West Midlands Police,West Midlands Police,-1.943476,52.513158,On or near UPLANDS ROAD,E01009269,Birmingham 034B,Unable to prosecute suspect
84ca62942a248330b82e74a16d366fe538b6a91658b1a1740d2bd6df74f68c27,2017-02,West Midlands Police,West Midlands Police,-1.867056,52.416472,On or near MOIRA CRESCENT,E01008941,Birmingham 115C,Investigation complete; no suspect identified
31473c0ca4bba97c0b451f2a4b68a90b27ff7a20a4ab6f1af7c50340f431e86a,2017-02,West Midlands Police,West Midlands Police,-1.931180,52.404121,On or near DOWNLAND CLOSE,E01009119,Birmingham 123C,Investigation complete; no suspect identified
2af6d33857b66279d11820bd4af29a9cccad16a5896cde9a73456226395cc29c,2017-02,West Midlands Police,West Midlands Police,-1.935417,52.512371,On or near LAUREL ROAD,E01009264,Birmingham 032D,Investigation complete; no suspect identified
d25a1a81c8862dc976c9c39b1e3996f2d4e2e18d7bf11e9b55f87ca7d5290587,2017-02,West Midlands Police,West Midlands Police,-1.548574,52.417943,On or near WESTBURY ROAD,E01009646,Coventry 022A,Offender given a caution
ac2e7426e6e2f4058370bff775efa80648a8eb8637a14778cf1e7a70e4f2d78a,2017-02,West Midlands Police,West Midlands Police,-1.572945,52.452249,On or near WALL HILL ROAD,E01009523,Coventry 010A,Investigation complete; no suspect identified
c03e611dfda78126faf1c96e0eaf552405666ccf3b9718895a4975bfc39871fc,2017-02,West Midlands Police,West Midlands Police,-1.526563,52.402888,On or near ALBANY ROAD,E01009553,Coventry 031B,Investigation complete; no suspect identified
b43dbc7cb81c8dff6814d14edbf97494e8a99f214ac92936a45ce4e8979e73ea,2017-02,West Midlands Police,West Midlands Police,-1.867402,52.497482,On or near CATTELLS GROVE,E01009201,Birmingham 043A,Suspect charged
6c8a87e8db231f6f70d187144b0c5d3df46eca0cf5d19e1eabffcadff93870f0,2017-02,West Midlands Police,West Midlands Police,-1.968215,52.391802,On or near PLYMOUTH CLOSE,E01009170,Birmingham 131C,Investigation complete; no suspect identified
ab535935f6596746873481f3ab24e5edb00da603c43578549873d19a7338c74d,2017-02,West Midlands Police,West Midlands Police,-1.890126,52.481215,On or near MASSHOUSE LANE,E01033617,Birmingham 050F,Unable to prosecute suspect
