Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a756658e16843fa1c272af157321894d537e0197f90eb8891a2f7bfa380be89,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
13e9009ece8cf989e49c5da5b3ef296db5242a5ac254600b1d3020f6d5aa00d9,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
248d6d077f662cf76c57e04b03d856faf38cb72e852e45e50991e4fb9429b01a,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
411402c72b6fbb9fcd0f14a4019951511289c8871404c6291afaf01ae5e7a49b,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
f3570f235020a3270ea328cd1eea9438c392105b3900902b05ec9285658f9409,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.032145,52.743717,On or near CHAUCER CLOSE,E01026436,Breckland 001A,Investigation complete; no suspect identified
bafeb197be03fa475da929991087a76f68714dce4eaedf91913c006ce5b7e7f9,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
9ddbc2effd791d82750ddbf433269be8f528965abe207bcbc7249e77796efdb4,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
16183f92666d7db61e10bb70612c32dec391524fefc08f432387a55dde8a44cd,2017-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
b1cb29f16cc437055f3c1c504a7aa20d74fa633fd03b1f6b10beb5ba2c444e3d,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.303543,52.631326,On or near HOOK'S WALK,E01033438,Norwich 014A,Investigation complete; no suspect identified
9d0beebfc848713c2eee38d34ed6bf59ae5caab41151359c72b1b7e1c908f228,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.284956,52.631817,On or near GRAPES HILL,E01026822,Norwich 007A,Investigation complete; no suspect identified
ec52e6d8c53df5858a77878445e2d9e7e6a218ca96521ee4e1bcefbbdf6d9b76,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.185309,52.653489,On or near WILLIAM FROST WAY,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
a692d810b0bb1a70bb93ee29987347c3b37ba09ec553a0f8dc0f0b693a85097f,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.123600,52.481652,On or near BUNWELL HILL,E01026878,South Norfolk 011B,Investigation complete; no suspect identified
d8fa9037ebc333942995fb5a99c7e02b5dc9221a5dba85de320fc6b219980336,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.292730,52.628858,On or near GAOL HILL,E01026822,Norwich 007A,Investigation complete; no suspect identified
d01106f38698d17da1405dbfdc7557b9ec1a4d1e1b7ad5b34c238fd61dab1cc9,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.938442,52.678407,On or near ROLLINGPIN LANE,E01026425,Breckland 005A,Investigation complete; no suspect identified
41c35d7173e769d98de4660cc65bfcb250dc358989dd488449e00cd5579a66b5,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.291633,52.651246,On or near Supermarket,E01026800,Norwich 001D,Investigation complete; no suspect identified
9ed2601de7a55384e01a2ae8966c2dfdfb9c81481d66a71435a084cf9c7fea4e,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.849162,52.741737,On or near STANFIELD ROAD,E01026462,Breckland 002D,Investigation complete; no suspect identified
450f521312ef990b5463cabf537395435a95cd4a6fe2a1eca07943c0387edd28,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.298887,52.404391,On or near TUDOR ROSE WAY,E01026902,South Norfolk 013D,Investigation complete; no suspect identified
