Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a0bf8be2ab2f78ea17168d905229d05371ed0023715de30633b68465cef6d11c,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
20a8bc3af2cfd35ae4d59efbd065862d15c94ccc9eb3bfbbab409f0cbb13ace6,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
c64972198cb4facf04986bb1b3f3c8c7c7c0ff922d22d79e5a2e69428f0b959b,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Offender given penalty notice
a28cf7207c9aae2482ec73cebefb5ee58a962e36630574f5f89534f539c35806,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
e888e2949ea408f475621340265e2a3e090780d7703df7c091331b37d7e6de49,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
a82b2539fae50bef6c8d8bf1dd1b4e31ecff37726602a586f8e138e39d549b68,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
a427a4e31bd41d2076723d526244d2c8bf0c53389aec2bc3843ca4c85fd02fd0,2017-03,South Yorkshire Police,South Yorkshire Police,-1.299607,53.449034,On or near PARK LANE,E01007719,Rotherham 010A,Local resolution
8ffbdd0f550928811982b970681fd20b313ecd81ca6c1d44d9d08feadf773876,2017-03,South Yorkshire Police,South Yorkshire Police,-1.458675,53.412063,On or near Parking Area,E01007947,Sheffield 013C,Local resolution
7a5dc360929bb0de1abb57346f8f26069fe27f12b9a2576d4b07d042894655c5,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
d2a5982b5e8c549936f611bad1ada3678a5e5d58ed6bb422886fdeb4b4a6b71d,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Local resolution
d34edc498f3a61226c9522c98b9be0b4b9588f6763f3c681a38a4749fbe927aa,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c06e8a0563ab9e81911dbca8e6223ac77040d51a8cf681fd6efed82c5f13f800,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
969ce15f19e546333a68f76a7e4ba924a62c1e80e24526ea6ca8c0e327f01503,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
910fc3a7c70b125a7c7d4e9ae7c424a87c7988bd8d74b4e65049e68580cfd692,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
28ba138732d4d559a8636f5f9654528e9d3817f99f4ade2c91ccdc932eaa8de1,2017-03,South Yorkshire Police,South Yorkshire Police,-1.416144,53.345095,On or near JAUNTY PLACE,E01007843,Sheffield 062C,Unable to prosecute suspect
a1b2e7164ef32017e7fe37500b9f23e54d48f0682716be2927f376cb19bcd8bd,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
ee4548f908a43b487d10b9bc8ae3f2005f3dab30f5dcb631767ed3406f2560d7,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4bba1c26418aeec77ce1d994adaaaca72fdd2e34aa4d0c774c60462eda68d133,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
70c9064e6a44735e01ca8b2738e19d3ddd4b1eb8d12265f32373ef49c8a51c51,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
b8afd1b89b8d776c840e8ed510baa2b19ce3368baba2c8aa6d2f8b34a141f990,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
129c5995ebe321198e399d31818b51010e7103a3b3a9ddc1185b50ed2ec78707,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
828efde5ea8e6e9edf01b815da0cd5a9fa84a8d0df18b3b919432328a5ee1870,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
0b7135c0222b2beaad3d8234484e6443092b975204e647af2b52f41937e4b451,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
4672c3a124f48d9b09f0e1882b1e166e36f3d2434eb7214b9d158125ed21a06b,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7403b25aafd929e1dbeeea256fdf51b0fc3d3541abc8567924977284def70c57,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
f205dcd8dfdd830a45c1c050211cc4f99ac4e21622e1d736ef8617b4ac88865f,2017-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
