Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64322aa33b1329f78a9a3f7018dd7679de509fbb76de740cf6cbaf47967bdde1,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
7bd6669d8bfc0906ddf9d6dd28bd15cbc3dc638071f70e153382d41c41eb41ea,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.415312,52.090946,On or near BAINES CONEY,E01030117,St Edmundsbury 013C,Investigation complete; no suspect identified
d99a670024e03252f9e20991e816ebef68f176e42b43e9cd8cf7d3a0f2ef20cd,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
0a7a6566ade66a954a7164182ef34a4c4c083c4520dafa29666b382c7f1dc6a3,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.502150,52.345048,On or near BRIDGE STREET,E01030244,Waveney 015C,Investigation complete; no suspect identified
69c9271937561d77ddd33772dd330befff639ad4a8251554fd5359a4ebe06641,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.126437,52.067690,On or near PITCAIRN ROAD,E01030027,Ipswich 003A,Investigation complete; no suspect identified
3ad88cfcbabe834c6fe74931c38e692b2ed12a81d368e23891b0e595f5d65e27,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.165575,52.056320,On or near REGENT STREET,E01029962,Ipswich 007E,Investigation complete; no suspect identified
6d7e68ed8cf87d8546f3655a4f93f74cea7bdc2a67c24e770b83a60fd271e878,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.143667,52.053705,On or near RUSSELL ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
6ad597fde9ecba4e9a111c08e23dcf5c025e5d0c16183231ae90f995de2cbc02,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.136573,52.066144,On or near ALL SAINTS' ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
7dfb058588fc5fc7b74b9686d042659f6048590bbed252bbe64478a9fa83f747,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.316390,51.979872,On or near ST MARY'S CLOSE,E01030215,Suffolk Coastal 012C,Investigation complete; no suspect identified
9bd42df8c31352d6553bd1a2dcee769eaad811d9630fcc9f0db509ba5ab69c30,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.884923,52.130341,On or near BURY ROAD,E01029876,Babergh 001A,Investigation complete; no suspect identified
b7cc9e152db1c9529b353bb1ed71bee4bb3ba287a413a1f2e5ddb2d384d64fe3,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.331252,51.963856,On or near GRANGE ROAD,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
96b03c753ac48811c380d8104d7f513bf7f21632cfacdb262233c6ce0f100e50,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.334074,51.965386,On or near SELVALE WAY,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
6a88723fe11f4ffd77f61dfe211fc848266165b6d68364dfbd517cd75d020316,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.742299,52.492130,On or near MYLODON ROAD,E01030277,Waveney 002C,Investigation complete; no suspect identified
1e922ba2c5cc8c96e03a6de62845bed357a46c69706eb79c4fd5af90fd558fac,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.394106,52.082918,On or near Sports/Recreation Area,E01033443,Suffolk Coastal 007F,Investigation complete; no suspect identified
fa4ef3fdf8f2f6663c4321627d7fa0ffc46c6a3adc3d890e826a6ec9da81fb8d,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.394106,52.082918,On or near Sports/Recreation Area,E01033443,Suffolk Coastal 007F,Investigation complete; no suspect identified
6042a502fc65d6b0f0e79e970541fe71a30c89b7ae707f860929c48a5581dec3,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.115214,52.070191,On or near ELDRED CLOSE,E01030028,Ipswich 003B,Investigation complete; no suspect identified
dd5fff59b6a254f3aa8ceb9e1336ded39ba738a4c2b515c8994c2c7da41c9eaa,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.741084,52.490145,On or near HOLLINGSWORTH ROAD,E01030277,Waveney 002C,Investigation complete; no suspect identified
1ab50c002d203a6ecc8121dab60a8812553a8a0dcb3e6723d913be96aea34055,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.384573,52.266802,On or near MILL ROAD,E01030174,Suffolk Coastal 002D,Investigation complete; no suspect identified
6796fde981d6f69f2a5e22fc2216f639fcfb3fc319e322f88686201a4c06bee6,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.335043,51.973327,On or near LONGCROFT,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
6191cbfb407f776b63f996456b9367b5759624d0a3740ea6e1b2b07235edfc60,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.340496,51.972633,On or near ST MARY'S CRESCENT,E01030160,Suffolk Coastal 014A,Investigation complete; no suspect identified
48d88a662693b2fcd42c9279fca8632518f2c3dc990136c0f4b64c859bb7141f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.164253,52.056193,On or near DOVE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
26a7f7341b29a62af802b38209004973e05b6fced09400e1730e429970fbc6c3,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.728089,52.038093,On or near GAINSBOROUGH STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
0336fcec7d70febcc91f16db075d62aaf25d32df08239abfa4d8cfacddded177,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.697745,52.255207,On or near TREVETHAN CLOSE,E01030140,St Edmundsbury 003D,Investigation complete; no suspect identified
7684374a3bfa4af5706c570a6217f7d51cc422d8cac1cc390eb69f28329ec7b5,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.147461,52.071142,On or near COTSWOLD AVENUE,E01029973,Ipswich 002A,Investigation complete; no suspect identified
41f043f01a0d6b788600be5da065e9978d3c7274055d226b7d4109594215231f,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.910142,52.360559,On or near THE STREET,E01030097,St Edmundsbury 001C,Investigation complete; no suspect identified
b147639289f4f138c28e5832284108c2e8fc17403778706a8e2b2d8cc1c5d8fb,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.023528,52.136561,On or near BARKING ROAD,E01030041,Mid Suffolk 011A,Investigation complete; no suspect identified
bbb76d0fd168d5d05c38364ad9d6d9a94b50d22e7ce4664e3fdf93240f786012,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.049013,52.157669,On or near LUFF MEADOW,E01030060,Mid Suffolk 010A,Investigation complete; no suspect identified
aa2e2a461c3bdbf1430df2680c2e3e6d638d2b81d7b868fd0c883efef8a15a01,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.144937,52.321640,On or near TACON CLOSE,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
1e007c72d41b40bf7e3059c4b3970a02919c2ebd57f030f4f93dd0aea647fa00,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.754126,52.477876,On or near LONDON ROAD NORTH,E01030247,Waveney 007A,Investigation complete; no suspect identified
df5c4202ab660cf081fe26b662284fd914488127972f5bc4d6c98b1469fa07d2,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.669530,52.103941,On or near BROADWAY,E01029885,Babergh 002C,Investigation complete; no suspect identified
8e910c872a3a71d4c778fc5a17ded2aa2950e3b8e0cba9a0d0b8ce5183c56b53,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.191949,52.070367,On or near MOFFAT AVENUE,E01029998,Ipswich 004B,Investigation complete; no suspect identified
b7eaa319c14d6ad3d465df7e1a393be19eac0add489b920fca3f5758a09932e4,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.750285,52.485023,On or near OXFORD ROAD,E01030248,Waveney 004B,Investigation complete; no suspect identified
500553f4297241f93f4b50bb7560ff7288c2ec7734d564e0828a51f5668a6a59,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.967202,52.163193,On or near COMBS GREEN,E01030069,Mid Suffolk 009B,Investigation complete; no suspect identified
d2426bcdb1cf552c48b2dd9df88c0fc47da52ce2deac19b5ac1518ef9b5977c8,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.169946,52.057677,On or near NOTTIDGE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
91566c555555134f61e5522c2edf1db5a37390574f4562c699b35fbb7ef1a15c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.707739,52.247523,On or near RISBYGATE STREET,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
c39bc3b2365a8c25f9060add9f9344ddc7eb82746f16120ff63f91421e398694,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.718746,52.249500,On or near BOUGHTON WAY,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
