Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d84e664f3d5da2ebfb4c0ada89a0c39449f2b79578b286e4e899597837dcfe0,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.485360,52.901901,On or near Supermarket,E01013570,Derby 023A,Unable to prosecute suspect
a61e442d7f61275d22253c8a20a7a4d9a2a2b7d70ea9877510712fac74a13cc8,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.980444,53.322448,On or near CRAIG DRIVE,E01019765,High Peak 008D,Investigation complete; no suspect identified
0ed4ed0891f3ef54d84ccf729a68c0f1bcdc475bce254ef2dbafa64847b9375f,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.932196,53.444649,On or near SHEFFIELD ROAD,E01019749,High Peak 004B,Investigation complete; no suspect identified
f0c477a071e6362241a6e3e0b1efe1edbd52131cc42fc1b1cb355888b96fc89b,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.432366,52.928727,On or near RAINIER DRIVE,E01013506,Derby 006B,Investigation complete; no suspect identified
6aa3730005ae885cbb73ead7023bae747b9543b33f146d7698c62555f28b86bd,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.328200,53.270375,On or near CRANLEIGH ROAD,E01019564,Chesterfield 002B,Investigation complete; no suspect identified
a2047d8802180f2d64a39e17f913c7a5830ecb4bb725096d37e01af54e0b957f,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.433061,53.237103,On or near ROSE HILL WEST,E01019538,Chesterfield 010A,Investigation complete; no suspect identified
3c112ee65a427a52c49aedcbae77b9fcf96353383cd87981e3f7218bc5bf7274,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.514439,52.928542,On or near BECKENHAM WAY,E01013548,Derby 009A,Investigation complete; no suspect identified
56280cc4f59f4710cf2d0ca39d94eba50dcec2e1e37896497456fbcef5427221,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.337332,53.152859,On or near CHESTERFIELD ROAD,E01019521,Bolsover 008D,Investigation complete; no suspect identified
cf7440449ce1de7dab108baf4472419b32734ef415b32ce10772ae5391862433,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.390861,52.857693,On or near YATES AVENUE,E01019833,South Derbyshire 004B,Investigation complete; no suspect identified
7ecbcb6ffe4652d564f2e611f90816cab1f79bdc5caad51239870a619bc077cd,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.537002,52.905188,On or near MARSHAW CLOSE,E01013560,Derby 019B,Unable to prosecute suspect
0e10e3bfe27aadf44b5ceb6e558ac330aa398ab2c7b946156b705c04e2be3a25,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.425763,53.241662,On or near SHIRLAND STREET,E01019579,Chesterfield 010D,Investigation complete; no suspect identified
a98fe015d1323c74f64e2e242902268e428752173e0649985425b550ea37448d,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.430268,52.886772,On or near FARM DRIVE,E01013500,Derby 028D,Investigation complete; no suspect identified
72973ec3752d6c7f69b76d6588e2a528a8a01728720097b2dae3c48cdc82abd9,2017-04,Derbyshire Constabulary,Derbyshire Constabulary,-1.397478,53.306368,On or near Sports/Recreation Area,E01019816,North East Derbyshire 002D,Further investigation is not in the public interest
