Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fcbf197f4ef276d701c228c1479b28d738cfe903565183a1d5ca38d971b8e3df,2017-04,Essex Police,Essex Police,0.095939,51.770326,On or near Parking Area,E01021872,Harlow 007E,Investigation complete; no suspect identified
16b3fe6cfe2a67584d12bb7b3d72381c2dfd2727e184406f71801fdf1241bde4,2017-04,Essex Police,Essex Police,0.897815,51.871534,On or near CHARIOT DRIVE,E01021642,Colchester 018F,Investigation complete; no suspect identified
991a80eb42a947ab800d446a59e1cb718158eac5c22d99af7253ec1a035f120b,2017-04,Essex Police,Essex Police,0.941213,51.928934,On or near TURNPIKE CLOSE,E01021971,Tendring 005A,Investigation complete; no suspect identified
53e0db0dec10e7ca18a6ec6b6bd63283bf806a6a3b394397ae070cbc5f60bb70,2017-04,Essex Police,Essex Police,0.053954,51.633357,On or near LOUGHTON WAY,E01021785,Epping Forest 014D,Investigation complete; no suspect identified
0d14204b98b1b12b5947e4ccd4d78ac8fe0441e0ea0af724da88931acfb4da4f,2017-04,Essex Police,Essex Police,0.083013,51.653842,On or near MANNOCK DRIVE,E01021777,Epping Forest 011D,Investigation complete; no suspect identified
9c427f56ed694e224f507f42e723974fa4267b9924fe423f790e6edd05b5d19d,2017-04,Essex Police,Essex Police,0.297322,51.628261,On or near ROBIN HOOD ROAD,E01021431,Brentwood 004A,Investigation complete; no suspect identified
5211e11d34be2c95c5e5cbe0de78519c3d0d2e7d3236c49f9fadd282211de6c8,2017-04,Essex Police,Essex Police,0.299706,51.619123,On or near Parking Area,E01021436,Brentwood 007B,Investigation complete; no suspect identified
8bc117c83f11d7fdea9a790f55318fc3133e94e236a0710499f7589ac0568eea,2017-04,Essex Police,Essex Police,0.328663,51.630809,On or near Supermarket,E01021465,Brentwood 005D,Investigation complete; no suspect identified
6ee6fe8d28ef821f1adcd6ad4aa8c58160a4fc90bb4d8d6dd3814d1ce6ebdab9,2017-04,Essex Police,Essex Police,0.565074,51.872393,On or near SEDGEFIELD WAY,E01021373,Braintree 011D,Investigation complete; no suspect identified
6fca86c59062a82f90790b7148e95503ef48175af3118df26102b68e181aec22,2017-04,Essex Police,Essex Police,0.530074,51.930301,On or near CODHAM LITTLE PARK DRIVE,E01021413,Braintree 005D,Investigation complete; no suspect identified
d08004b9a67179a15a013fd7e2270e61d8285a94ca101cdb4d430c124095fa4d,2017-04,Essex Police,Essex Police,0.080081,51.774718,On or near Supermarket,E01021840,Harlow 004B,Investigation complete; no suspect identified
61adc5197381f1d5fb75b03e8f0e4ca0501acda15c08bc0822de3c0589266567,2017-04,Essex Police,Essex Police,0.095357,51.767783,On or near Shopping Area,E01021872,Harlow 007E,Investigation complete; no suspect identified
a1cd47d2fdb41d4837877ce3cc0d6d2e2edf47034023b0d711ad4d3aced2db9a,2017-04,Essex Police,Essex Police,0.612689,51.625001,On or near RYDAL CLOSE,E01021942,Rochford 001A,Investigation complete; no suspect identified
a7797f99e4f3e6c7eb3a6599ccc4c10135a418736ad5711e51df9913da0bbe70,2017-04,Essex Police,Essex Police,0.648260,51.558695,On or near Supermarket,E01015819,Southend-on-Sea 003F,Investigation complete; no suspect identified
5bd9518dc5753a6cef1a02e67e886cdbe4122cb295e3191d872efab7f1dbeae8,2017-04,Essex Police,Essex Police,0.095357,51.767783,On or near Shopping Area,E01021872,Harlow 007E,Investigation complete; no suspect identified
2e0f8f64e636fd83909f43be6417a4d3a1118e2a630c605f240687af8e2d52b4,2017-04,Essex Police,Essex Police,0.691211,51.871921,On or near Sports/Recreation Area,E01021377,Braintree 014A,Investigation complete; no suspect identified
66f4cb58c2374c8bf7a86064e4a86458aa6bccb8402caa219694342d29f6b12f,2017-04,Essex Police,Essex Police,1.282074,51.938651,On or near EAST STREET,E01022001,Tendring 001D,Investigation complete; no suspect identified
2b8106b019fd3e871afda28815a7fc639fb549b573f238aef733fbca11787391,2017-04,Essex Police,Essex Police,0.585207,51.859164,On or near BRAINTREE ROAD,E01021380,Braintree 012E,Investigation complete; no suspect identified
0609057353e49a87fc84fa489a16ba23c025a52ff0aaa2681b20abf6f7c38744,2017-04,Essex Police,Essex Police,0.934635,51.919529,On or near WILLOW CLOSE,E01021971,Tendring 005A,Investigation complete; no suspect identified
b75e006f4d2b39b569f1f221417429bd13d26e63078a2a8901b0ab2b2dc42d02,2017-04,Essex Police,Essex Police,0.674261,51.554049,On or near MANNERING GARDENS,E01015822,Southend-on-Sea 005C,Investigation complete; no suspect identified
b820797413481a48a795840e974f37fc86c7785d931b4c8d0f0f3a092313377a,2017-04,Essex Police,Essex Police,0.387196,51.627682,On or near LONDON ROAD,E01021449,Brentwood 003B,Investigation complete; no suspect identified
84cecd976d0520933bc111e9a5204568957fdcf4f168c54f45055a72275cecab,2017-04,Essex Police,Essex Police,0.093027,51.753436,On or near Supermarket,E01021859,Harlow 010C,Investigation complete; no suspect identified
f9ced314e1b2ccbeb19eb397585abf31cb0b933e3c2c489ff12939acb4230f62,2017-04,Essex Police,Essex Police,0.588072,51.572530,On or near Sports/Recreation Area,E01021509,Castle Point 002A,Investigation complete; no suspect identified
053138cb91d609d1c03241d0a20f609944ec2688e511f1305c5efcfec4e93ab6,2017-04,Essex Police,Essex Police,0.635464,51.548749,On or near GORDON ROAD,E01015913,Southend-on-Sea 008F,Investigation complete; no suspect identified
70c9ca5df1eede4468c7d2bbf949ae1538d5feb04c9007956ddaca93497a011f,2017-04,Essex Police,Essex Police,0.648260,51.558695,On or near Supermarket,E01015819,Southend-on-Sea 003F,Investigation complete; no suspect identified
139da5b9e0cba137aa4367f4f0338695fe5ab7ae59aa341bb1ad4a2701f238d8,2017-04,Essex Police,Essex Police,1.151023,51.790144,On or near PIER AVENUE,E01022026,Tendring 016C,Investigation complete; no suspect identified
3e6ef862c920907a4a72e74ef065d5864d3b8483484dd7767c4d0ad48102ad0a,2017-04,Essex Police,Essex Police,0.417959,51.637187,On or near GROSVENOR GARDENS,E01021252,Basildon 002E,Investigation complete; no suspect identified
082dcc4aa96a3f242634185d7f259e854a10730ecb4c292a63afae5d777a6d37,2017-04,Essex Police,Essex Police,0.376093,51.482821,On or near LANGTON WAY,E01015933,Thurrock 012A,Investigation complete; no suspect identified
b19f59177793c94da2491410ba70b6335794a3ee9b995c7b8d0ce9fc8b3dbaed,2017-04,Essex Police,Essex Police,0.094394,51.758241,On or near OLD ORCHARD,E01021869,Harlow 007C,Investigation complete; no suspect identified
b1511dd15adf125d1bb8fc5976803ea82fbed11dcbcc06e93569d752076eb5e0,2017-04,Essex Police,Essex Police,0.703441,51.553964,On or near Parking Area,E01015861,Southend-on-Sea 004E,Investigation complete; no suspect identified
38af26d91aa02d433cf522546b90325c91e1cdbe0c7048ee3f1c36dd11378fcb,2017-04,Essex Police,Essex Police,0.465038,51.552005,On or near A176,E01021299,Basildon 020E,Investigation complete; no suspect identified
