Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b1622878ae3034e71ddd8478ed6d2dc2eebd9076e596ba79bb45f2f4446c54ed,2017-04,Northumbria Police,Northumbria Police,-1.636189,54.977768,On or near PHILIP PLACE,E01008399,Newcastle upon Tyne 024D,Investigation complete; no suspect identified
57ecd85d922b3e308a8bf2797e58807bacde0c1e995ef731c12fd885a9699e8a,2017-04,Northumbria Police,Northumbria Police,-1.398248,54.922816,On or near COLDSTREAM AVENUE,E01033075,Sunderland 005G,Local resolution
d60afaa2dfcf19ac850cbc13d0dffa801752317537fe46d90f70bc6259bd1d4b,2017-04,Northumbria Police,Northumbria Police,-1.629495,54.951400,On or near A1114,E01008259,Gateshead 007D,Suspect charged
2b5cd9c6cdead8382f26104a2d729cddbf0fd11d659362896cb991b647ae588c,2017-04,Northumbria Police,Northumbria Police,-1.439650,54.889629,On or near GILLINGHAM ROAD,E01008732,Sunderland 021D,Suspect charged
aae4cfc4613fd38ff92c510f32736a9847758b9c0b4ddc2a67fe217edee909cf,2017-04,Northumbria Police,Northumbria Police,-1.674480,54.995471,On or near WALTHAM PLACE,E01008299,Newcastle upon Tyne 011D,Suspect charged
62baf84fb0f22191c741e2790f549bfda17fe9ecd727f8b0ec68a9264b3e3305,2017-04,Northumbria Police,Northumbria Police,-1.656079,55.017868,On or near WINDSOR COURT,E01008311,Newcastle upon Tyne 001E,Investigation complete; no suspect identified
30522e142fbb5ba7c72b5303799122c2a347edcead44ff711e894e296a389b9c,2017-04,Northumbria Police,Northumbria Police,-1.434781,54.976793,On or near RICHMOND ROAD,E01008591,South Tyneside 011B,Investigation complete; no suspect identified
465764cec14e1e60f8c3ffff9b5362df14bce0cb4481c594d06bd95f7e5168da,2017-04,Northumbria Police,Northumbria Police,-1.383910,54.904331,On or near HOLMESIDE,E01008703,Sunderland 013B,Offender given a caution
f3c097db35aded12a129ac534d6513f0257b9c1b960e77410be257a04b43ade3,2017-04,Northumbria Police,Northumbria Police,-1.517559,54.973833,On or near ALN STREET,E01008640,South Tyneside 010B,Suspect charged
bf19f8514e94037ba482db90ee3c396bbf02e65b7bc7fa5b93fa2041903d2c29,2017-04,Northumbria Police,Northumbria Police,-1.636893,54.975973,On or near BEACONSFIELD STREET,E01008396,Newcastle upon Tyne 022B,Investigation complete; no suspect identified
bf19f8514e94037ba482db90ee3c396bbf02e65b7bc7fa5b93fa2041903d2c29,2017-04,Northumbria Police,Northumbria Police,-1.636893,54.975973,On or near BEACONSFIELD STREET,E01008396,Newcastle upon Tyne 022B,Investigation complete; no suspect identified
978b955c861313dea2e3550d527f9c1ae955df42a164ac202387f2f5ba0a22f0,2017-04,Northumbria Police,Northumbria Police,-1.576301,55.013600,On or near GOATHLAND AVENUE,E01008474,North Tyneside 019B,Investigation complete; no suspect identified
9c8420e18f2abb49c3a1413cea73ed9504c4adb1317210579d7a441f87e64151,2017-04,Northumbria Police,Northumbria Police,-1.383091,54.891593,On or near THE GLEN,E01008740,Sunderland 022A,Investigation complete; no suspect identified
e7aeeff8d916b91489f3381597d667423f824b7aca66f3ef0acf9a6fbdaeb0f1,2017-04,Northumbria Police,Northumbria Police,-1.760024,54.972288,On or near Supermarket,E01008249,Gateshead 001D,Investigation complete; no suspect identified
de8d341b27758458014f8730259360789a7891ad049ec092b619223198ec7478,2017-04,Northumbria Police,Northumbria Police,-1.658322,54.974813,On or near COLSTON STREET,E01008332,Newcastle upon Tyne 029B,Investigation complete; no suspect identified
6077e03f21c842e280c944a716ae9e78bb5e3ea785c8033e0111c50a810a3631,2017-04,Northumbria Police,Northumbria Police,-1.494268,54.840470,On or near THE FOLDS,E01008750,Sunderland 033A,Suspect charged
53483d92453d640cf1168ae0bd1bfa026492957402a3341575b8527f44eecead,2017-04,Northumbria Police,Northumbria Police,-1.524311,55.071315,On or near ASTLEY GARDENS,E01027432,Northumberland 032A,Investigation complete; no suspect identified
10c293dabb4096067e1d1c521dcea1d73ddca40933775f66ed453f191cf0c8c0,2017-04,Northumbria Police,Northumbria Police,-1.436163,54.997477,On or near EAST STREET,E01008667,South Tyneside 002D,Investigation complete; no suspect identified
f86ed8a7b7d920c50c510764c3351bd8623a3f2362a14d128c105a29f60e47d5,2017-04,Northumbria Police,Northumbria Police,-1.448515,54.824931,On or near CHAPEL STREET,E01008719,Sunderland 035B,Investigation complete; no suspect identified
57dcdd882736898904269dbb2e6079a2d9f65bf64ccd4606ed1b872040c50796,2017-04,Northumbria Police,Northumbria Police,-1.405164,54.872804,On or near VISCOUNT ROAD,E01008803,Sunderland 027A,Suspect charged
e9b0d70ae75545ef5e25e540559192a0ffd65950a4b162721941e93324ee0b00,2017-04,Northumbria Police,Northumbria Police,-1.704088,54.973791,On or near ST GEORGE'S TERRACE,E01008387,Newcastle upon Tyne 021G,Offender given a caution
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
63c3e96524b6091206f91299f50193678f52ee1e1f1ed8545c965a069f3035fc,2017-04,Northumbria Police,Northumbria Police,-1.454038,54.925487,On or near CLOVELLY SQUARE,E01008699,Sunderland 008F,Suspect charged
