Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3c4825d2f454799b9d86598a3e524c63045d590bc18772cf88a56edf7c8c5762,2017-04,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
c6dcbfed44e0563dfaf6b72e19d55a540976e3cc2c89ad43a8f38e9917a840f2,2017-04,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
fc6728b9329cb7c71385dbe4e0e481d62cc0097548137619a9dd521fa86a65ed,2017-04,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f7105f551ea3e89b480f53d2c36a1c916a52de726e7b482144ab120fefa03193,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.152330,52.053041,On or near GREYFRIARS ROAD,E01033124,Ipswich 007F,Investigation complete; no suspect identified
76e7ba5b1dbd2311443515948d93dd7800f068c63757964a38047f82bfee2e05,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.727506,52.037378,On or near CHRISTOPHER LANE,E01029920,Babergh 007H,Investigation complete; no suspect identified
a2e083df5191796987be88b19c7e7b2bc46bf0a692a14767f4772cfb2eba3c9a,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.496926,52.339339,On or near CONSTABLE CLOSE,E01030245,Waveney 015D,Investigation complete; no suspect identified
62a69e687af6e60e8672d179224b0eb50d40076dda59508628db47e2a2f6aff1,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.720981,52.241247,On or near RAINGATE STREET,E01030093,St Edmundsbury 006B,Investigation complete; no suspect identified
ad7188ff2e7169ce57f692afc3ecc8c49728598c78a660a49e0b0cbe28b0f3e8,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.618494,52.444639,On or near Petrol Station,E01029929,Forest Heath 001D,Investigation complete; no suspect identified
052722801967b3470fd1ac958fda102427b588642d26b825fe9375d0d5e964f6,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.242780,52.358394,On or near Park/Open Space,E01030058,Mid Suffolk 001B,Investigation complete; no suspect identified
5736a31e228bae6703809d651951d6f4c0d600a9d790b966830252784e5540d0,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.246027,52.057970,On or near QUANTRILL TERRACE,E01033444,Suffolk Coastal 010H,Investigation complete; no suspect identified
d85709a16fe21d011250021391d71db65586d94ba7a34e9af6a2864c0985a1da,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.139549,52.058635,On or near GIBBONS STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
cdfdf6a2278f4817f529844d05cafa13402d6e8bca74c58de499f729c9a7ed16,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.149178,52.059251,On or near ST MATTHEW'S STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
aac27edd70199357f6084687de019fa50abe2a43b7fa24f12411139a4082ca2c,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.153905,52.056759,On or near Shopping Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
