Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8ff5e07797da35b60c54ab8479a3c90025b9b397b7c205ff729428fb51438950,2017-05,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d31cc94536de1602629be7d3ab042c0aa33ea0892a54c0a46b965c6774f1a9ed,2017-05,Dorset Police,Dorset Police,,,No location,,,Action to be taken by another organisation
d31cc94536de1602629be7d3ab042c0aa33ea0892a54c0a46b965c6774f1a9ed,2017-05,Dorset Police,Dorset Police,,,No location,,,Action to be taken by another organisation
36ac1cca12cfe10987f9ebdeff90616507fbe67c8408e990013db369ec524ec6,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
8733117ddd71f9aa7c722f1294095dbe2a1b676aad77d559973dbf910479ee3c,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
1d54ba59f15179045f0b567785af04aeca4f95015fb0380e8d27f36040cef43a,2017-05,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
519ce439218be0a97af7e511b3d0bbf37b5436eef93517c0e4b249de0825aaf1,2017-05,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
519ce439218be0a97af7e511b3d0bbf37b5436eef93517c0e4b249de0825aaf1,2017-05,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
06549006753541a117e986c17881e5a93cacfe7a3acbd8b93c5bc9cb4ec86611,2017-05,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
1a52875254f40bef50ef34eaba1865fe4dc74154a3eff93d54f187edeeff7609,2017-05,Dorset Police,Dorset Police,-1.996432,50.761756,On or near B3074,E01015395,Poole 003A,Local resolution
fd7aa0d607bd7ea087a8f97ea0fd4609278b81f7a93100bd70eb816b5e06e975,2017-05,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
5a47b2bd111eba89b550d510fda6e90c0bb77330c17767d9e7816d1c2dbec51b,2017-05,Dorset Police,Dorset Police,,,No location,,,Action to be taken by another organisation
9f4ba2d5caf031d235bbf7df48cb56af14892f3c05d68a3842b44dca38286639,2017-05,Dorset Police,Dorset Police,,,No location,,,Further investigation is not in the public interest
a3dff65030b2f5d89e1d415fea48df97634fe3382b0b9142f97024a9f68119b3,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
30e87c8bf9de77702cdb288b274bb55301b740f50fa3957e3fbfb471c5e374dc,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
66bea94d00bb58146dc58aecc9839a0d6477bff26b82f4dd99de5673f20ee6b9,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
93ba14959ae274e1ac5bae3cd840dbc4ec1b24c51a64d88ca2cd4534933b5da7,2017-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
