Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
06666050cceffc7e384e63322b4a5a8b20a47f2ea8dbd5941cdac02f1ba03384,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
a7d4face1b4de0052c219e6482fb32a98d5c82ecb9e19183314ddd97faddc729,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Offender given penalty notice
b31383e5da24e8c3ee6a672a94812e24d537cf64a987de58f779b1eb18ffbe24,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Formal action is not in the public interest
afbae451cfb5b2a37ca2eb07e06fade491891a6f1c97e36c0dbff7044999885b,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Offender given a drugs possession warning
b2d7bfdaff6658e5fca1b791520f7759f91ed85954cc5a66f4d97be32378f128,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.678998,52.148406,On or near Parking Area,W01000471,Powys 014E,Unable to prosecute suspect
7ed8a04a57abbf2899dd89fbf3a85a44e07c6b9c27f50e8fa60c12ae70795783,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.587961,52.364682,On or near Parking Area,W01000477,Powys 012D,Investigation complete; no suspect identified
04f6675f8b802058eea52725df1100eedbc50d54113acf2d4b262df627ef515a,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.639374,52.107019,On or near VICTORIA SQUARE,W01000471,Powys 014E,Unable to prosecute suspect
50943e0cfa5d924da7ea0452db66e5b6efad4c0e17469b93bbbf23dc5bb1a670,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.298990,52.181059,On or near Parking Area,W01000459,Powys 014D,Unable to prosecute suspect
fe5ceb96eac354b68a00e259bfba3d79e963672fd03914063936affde7829c7d,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.540089,52.287606,On or near B4518,W01000487,Powys 012E,Unable to prosecute suspect
3cbff13cf37468c44a1fbcf94d6abfafe1cb430226c6e58d85ef49f8c0a885ac,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.402973,52.148228,On or near MARKET STREET,W01000431,Powys 014A,Unable to prosecute suspect
8871c128d1e54840c8594298b7951ced952620bc6ac162f74ace4874489a8ed0,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.350698,51.948694,On or near Parking Area,W01000493,Powys 017E,Investigation complete; no suspect identified
585800e7ba84c62f7aa94c0cbc74c3a31beb7c7ccb0cd7cd68e36b5624bb6758,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.402425,52.148927,On or near HIGH STREET,W01000431,Powys 014A,Unable to prosecute suspect
3b4fac53a7115b3e4e975d74b096793e856746fa8d2a0c3e90d586218b5d1a48,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.486779,52.256507,On or near Theatre/Concert Hall,W01000477,Powys 012D,Investigation complete; no suspect identified
c67f95723ac507582494474f3ee125affd005b2df8fddf8722e6df14edcf1c61,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.395239,52.150478,On or near JOSEPH'S PITCH,W01000431,Powys 014A,Investigation complete; no suspect identified
226c8594ca80b53cbf2b019e9c84bcedc73e0fdba16127f3380aa18a8c858cda,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.376951,52.241269,On or near CRAIG ROAD,W01000454,Powys 013A,Suspect charged
825a2f4039bcbe5be06bb18874615d057ec0614b358e3c9775f7f6b7f4573217,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.381612,52.239955,On or near PARK CRESCENT,W01000454,Powys 013A,Investigation complete; no suspect identified
b16d647f6d1e83bb92eade9693da42c613f668bb42d2399c18e8918a86c27799,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.375955,52.248842,On or near TREMONT ROAD,W01000455,Powys 013B,Offender given a drugs possession warning
8eb3f819bc0e20977427e6fe618de6031e4387bb8ee5366db3cd06cc856fb562,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.374005,52.238839,On or near SPA ROAD EAST,W01000456,Powys 013C,Offender given a drugs possession warning
e776df8dc79ed2a51cc9b17d502dada3c78acb94310628f4333de1cd247550a6,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.678998,52.148406,On or near Parking Area,W01000471,Powys 014E,Investigation complete; no suspect identified
78b3bcad0fb3c99d533b7dabbc738a16640243c3e98fa61dc73c35f9eeba7837,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.379045,52.240786,On or near MIDDLETON STREET,W01000454,Powys 013A,Investigation complete; no suspect identified
7918796c652f4bab6f5c431c2e70eef85f3282c50c8df7a680873388fd6154a0,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.382215,52.239112,On or near PARK TERRACE,W01000454,Powys 013A,Unable to prosecute suspect
7f437ebeb2b077c273944c9c69480d01453959665208a432bf862c55389128a9,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.380294,52.239018,On or near Conference/Exhibition Centre,W01000454,Powys 013A,Unable to prosecute suspect
ff5d45d5e5e68fcf825950de3a5a6a367dc0eabd7f52773e5e04147b1ad440dd,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.380266,52.242372,On or near LLANERCH LANE,W01000454,Powys 013A,Investigation complete; no suspect identified
06af3ed7c5965e5816f55c4190abc0ff519c3cde9b6ac6b5760fe4fe91f6fe73,2017-05,Dyfed-Powys Police,Dyfed-Powys Police,-3.378696,52.248432,On or near TROED Y RHIW,W01000455,Powys 013B,Unable to prosecute suspect
