Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
daf3bc6dae4f64a68cfdb1e4009347d14eb1bffcedb9f5eef2af30e445bf3463,2017-05,Essex Police,Essex Police,0.356213,51.463491,On or near DUNLOP CLOSE,E01016003,Thurrock 018A,Investigation complete; no suspect identified
78fde41be7ae4acdb21ae8aa3d5747e4922974b7f263be29aad4cd284d0111b2,2017-05,Essex Police,Essex Police,0.091060,51.767940,On or near Pedestrian Subway,E01021872,Harlow 007E,Investigation complete; no suspect identified
66e02a51684682431b5c8ba847240bcb7e69048ca043433fe241ea6809fc6d77,2017-05,Essex Police,Essex Police,0.884495,51.866367,On or near BARONSWOOD WAY,E01033723,Colchester 015G,Investigation complete; no suspect identified
0aa29ca80fbcbd2eb1f92114236d06ce735a55b280f91a051d0e07f2e4621f63,2017-05,Essex Police,Essex Police,0.744988,51.548646,On or near WICKMEAD CLOSE,E01015887,Southend-on-Sea 009E,Investigation complete; no suspect identified
37444fdac9277a17d080549a94b74e30de9de3b1390255769cabcc44baca298d,2017-05,Essex Police,Essex Police,0.886406,51.904354,On or near TUFNELL WAY,E01021681,Colchester 004C,Investigation complete; no suspect identified
bd16e74337354e40eec8f80e500f42868052259dc3b8378f9720ceb7ae4733d9,2017-05,Essex Police,Essex Police,0.934456,51.946217,On or near MOOR ROAD,E01021655,Colchester 001A,Investigation complete; no suspect identified
1a6d132198a07234241646a30732083da73106ed056f1bccfadf274630ed6b5b,2017-05,Essex Police,Essex Police,0.109666,51.772832,On or near PITTMAN'S FIELD,E01021850,Harlow 003B,Investigation complete; no suspect identified
e17c6ec2cd21f390e642c62228a0fbca0bac90e397ab3abc0cb6a85c49c407f0,2017-05,Essex Police,Essex Police,0.096056,51.768166,On or near SOUTH GATE,E01021868,Harlow 007B,Investigation complete; no suspect identified
1e9fe00f6705e2c6829b2c5f61e8c73fe366f5d9eb1c8733de71d7125daa24f0,2017-05,Essex Police,Essex Police,0.174281,51.977806,On or near Park/Open Space,E01022061,Uttlesford 003A,Investigation complete; no suspect identified
ca460278ee684e25047c1c473c73d582b4a8368d37cfe1ed29fae763ed694a57,2017-05,Essex Police,Essex Police,0.471687,51.773519,On or near GERNON CLOSE,E01021541,Chelmsford 001D,Investigation complete; no suspect identified
a014798ba230fe03fafd63c2d720eba8a0da22a1769a0f24bef234dd4c465c8f,2017-05,Essex Police,Essex Police,0.294127,51.491792,On or near Supermarket,E01015982,Thurrock 019A,Investigation complete; no suspect identified
02c083414e143c113fc89c93fed987f12a4c27df0227a9983a0b5a1202175a72,2017-05,Essex Police,Essex Police,0.011028,51.683145,On or near ROUNDHILLS,E01021808,Epping Forest 008B,Investigation complete; no suspect identified
c7d3471e553d952dd1c91586bdf8d920614ceb99dcf1b871073f5ec23c6d01dc,2017-05,Essex Police,Essex Police,0.424416,51.598105,On or near NOAK HILL CLOSE,E01021254,Basildon 009A,Investigation complete; no suspect identified
a922790306ff57167cac6be360d6cafccf7ebef47f9d32db625b34f348f0bca7,2017-05,Essex Police,Essex Police,0.494846,51.716112,On or near HAMPTON ROAD,E01021565,Chelmsford 014C,Investigation complete; no suspect identified
00acdfeaab177b091cb2c2133e0529bddbb57af35612bfa2a6982c32c4ad911a,2017-05,Essex Police,Essex Police,0.086144,51.607394,On or near Supermarket,E01021764,Epping Forest 017A,Investigation complete; no suspect identified
65d8cae364ac0f20a6258b07fbfb5bdcc9a5d7e626042432f00bdde7dfe9bfc4,2017-05,Essex Police,Essex Police,1.142149,51.793296,On or near Shopping Area,E01021968,Tendring 017A,Investigation complete; no suspect identified
0d9af2e963d04f949ad0144b6aa1324d739ee192f1f3de703f17d98490a4f398,2017-05,Essex Police,Essex Police,0.452440,51.747132,On or near LANGTON AVENUE,E01021596,Chelmsford 006E,Investigation complete; no suspect identified
661366dd76ea8a10b8aed918c5a3eb3113a4768cf56c13439bc33d75378ecf83,2017-05,Essex Police,Essex Police,0.605787,51.586267,On or near HIGH STREET,E01021962,Rochford 008C,Investigation complete; no suspect identified
0d2c7cfa5a37b05b50bbe8cd699eb4a8b7226dddc99f662a9e1f2ed2ed771760,2017-05,Essex Police,Essex Police,0.905184,51.896589,On or near Theatre/Concert Hall,E01021647,Colchester 007B,Investigation complete; no suspect identified
39afe3a86d6ba4ba75e15ad31b5eaf08438858c030f5909e8404e5192a58cf1a,2017-05,Essex Police,Essex Police,0.275564,51.489033,On or near Supermarket,E01016012,Thurrock 015C,Investigation complete; no suspect identified
c139b3a2d43db6e290fecd8f8443dcb6bc7b1a592d05461bffcca7801e09ce5a,2017-05,Essex Police,Essex Police,0.300936,51.611446,On or near WARLEY MOUNT,E01021475,Brentwood 007E,Investigation complete; no suspect identified
f0ec66928d16340ec34429df702e851b493dcc98126d88acc92fcc3a1f6b8d8b,2017-05,Essex Police,Essex Police,0.341638,51.491779,On or near Parking Area,E01015966,Thurrock 010D,Investigation complete; no suspect identified
1d89c3fd86b90b8325309359832b60deee85a99c87ef3d04aebfa235fb9ac38a,2017-05,Essex Police,Essex Police,0.463062,51.725074,On or near ELM ROAD,E01021578,Chelmsford 010B,Investigation complete; no suspect identified
a3ebe10b8e13bbc1ef45b0a45e13bb551ea82f6057a2f531670ff4bb8eb78bfd,2017-05,Essex Police,Essex Police,0.998448,51.879462,On or near Parking Area,E01022052,Tendring 005D,Investigation complete; no suspect identified
46d74d7d6808d218f9680fd1eab23af8f9038016558a2da7e2937d14022bb26f,2017-05,Essex Police,Essex Police,0.918308,51.780308,On or near OYSTER CLOSE,E01021732,Colchester 021B,Investigation complete; no suspect identified
2dad1715567380675632aa1f02f998965aa30b86d7aac3ffa7563c5eeae031a6,2017-05,Essex Police,Essex Police,0.765677,51.527780,On or near BARROWSAND,E01015893,Southend-on-Sea 016E,Investigation complete; no suspect identified
12b05b79886db892debdd1fbf2c96a8c5d865867ee11748afb3fc90682df9789,2017-05,Essex Police,Essex Police,0.621983,51.809220,On or near FLORA ROAD,E01021425,Braintree 016B,Investigation complete; no suspect identified
87e98bfddfa3b86cdf23919079b6fa57eca5520fd28967e236b971df965e8632,2017-05,Essex Police,Essex Police,0.424733,51.515100,On or near Supermarket,E01015989,Thurrock 005A,Investigation complete; no suspect identified
e25af3872763625751c6bcb309a0410af12a9698bf0a5ca5ad3021f2055bf8dc,2017-05,Essex Police,Essex Police,0.642286,51.800653,On or near Further/Higher Educational Building,E01021416,Braintree 017B,Investigation complete; no suspect identified
de9cc6de306cdcf24be01293890497667c991f3acdcd2756fd59989547e22ba0,2017-05,Essex Police,Essex Police,1.241736,51.829032,On or near HOLLAND ROAD,E01021986,Tendring 006B,Investigation complete; no suspect identified
b2ebb47416010b3006c2e0ebe838c32b2eb08d0824fdfb4be3d5cfdc91e4a6f5,2017-05,Essex Police,Essex Police,0.101289,51.694199,On or near HIGHFIELD PLACE,E01021763,Epping Forest 005D,Investigation complete; no suspect identified
bf9527b233d3a0b77c40f9aa96d8fea2a3634d4017617c623ae789a9c2032c7b,2017-05,Essex Police,Essex Police,0.670914,51.672120,On or near CLARKE RISE,E01021902,Maldon 007F,Investigation complete; no suspect identified
a30c0ed369e17d57569a6f2c2826e881cdb80aa230e4eb90152a90bc37ad0a58,2017-05,Essex Police,Essex Police,0.103241,51.776194,On or near SCHOOL LANE,E01021853,Harlow 003E,Investigation complete; no suspect identified
aecbe8006f1e6949451b691a9ebc71cce31e0a59da97b5464eae3f349459ca62,2017-05,Essex Police,Essex Police,0.098783,51.776013,On or near PARK LANE,E01021853,Harlow 003E,Investigation complete; no suspect identified
66003a0b48dadb83770e55c8cbee7dc1053a3393c25d24a928567830bd45d5ba,2017-05,Essex Police,Essex Police,1.039063,51.876206,On or near FURZE LANE,E01022051,Tendring 005C,Investigation complete; no suspect identified
1dee2fafbcd18cee256631b29a2b6c8513f8e7a1bf9c1b2a0ef58186c53e1d2a,2017-05,Essex Police,Essex Police,0.902329,51.902820,On or near RIDDLES DRIVE,E01021679,Colchester 004A,Investigation complete; no suspect identified
4858a31d399052b910d413b505ce62e936e9788920b41a008734eb59b641e368,2017-05,Essex Police,Essex Police,0.135652,51.704883,On or near COOPERSALE COMMON,E01021756,Epping Forest 006A,Investigation complete; no suspect identified
7580d6397d6eee9bf8a0d4507f804afc165d2a0ce43c9d75b64aca813dd5a0e3,2017-05,Essex Police,Essex Police,1.085847,51.803548,On or near BYPASS ROAD,E01022047,Tendring 018E,Investigation complete; no suspect identified
1c1837490852ce1b29936adf9998cea89f59db6b6638a98ff3443abcd70dbc86,2017-05,Essex Police,Essex Police,0.599190,51.576161,On or near Petrol Station,E01021531,Castle Point 002E,Investigation complete; no suspect identified
f19d54ea9a6be034ba0d7362f4e84028869d4d72aea68b65ecdaa723cfb56376,2017-05,Essex Police,Essex Police,0.715320,51.534677,On or near Shopping Area,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
328a0d7d9c89cd74650fe189ce728c0850b56701727c138a61b40605177abba3,2017-05,Essex Police,Essex Police,0.651533,51.942969,On or near FENN ROAD,E01021388,Braintree 004B,Investigation complete; no suspect identified
fc25f71d684c55dcf5f45e3adc7e0d683b6e12f81e9443d4c40e08d35276ee76,2017-05,Essex Police,Essex Police,0.913692,51.882942,On or near WIMPOLE ROAD,E01021687,Colchester 011E,Investigation complete; no suspect identified
6abd8ab1a4989c2dc2f48d7cc490e9a8bbe37b54d6e2da10cc0092c3a6423b79,2017-05,Essex Police,Essex Police,0.566320,51.537385,On or near Parking Area,E01021503,Castle Point 010D,Investigation complete; no suspect identified
7e34685cc184ced3a0efa79935baf6da05aa0ba2c8dc18ffc1491e628c6e0fcb,2017-05,Essex Police,Essex Police,1.152215,51.788718,On or near Shopping Area,E01022025,Tendring 016B,Investigation complete; no suspect identified
be46b8a97169bada1918adf043775cce7f2b9b01152fd3b9d37e5ac9bef558e9,2017-05,Essex Police,Essex Police,0.440436,51.569399,On or near TRINDEHAY,E01021287,Basildon 017A,Investigation complete; no suspect identified
7c8e90cc8d5870493fd792b8279af004c62043934a71d5c18fdf4975330d5187,2017-05,Essex Police,Essex Police,0.625050,51.791345,On or near AUGUSTUS WAY,E01033460,Braintree 017F,Investigation complete; no suspect identified
e5e36ecb7319f37c70173b67b66b53102423a623250ca067de1f9cef2ffdbb60,2017-05,Essex Police,Essex Police,0.599190,51.576161,On or near Petrol Station,E01021531,Castle Point 002E,Investigation complete; no suspect identified
5b437f36540133c8be40719ffe00b57a91a8f2eb207324b1e0c377def87ad16c,2017-05,Essex Police,Essex Police,0.353142,51.488293,On or near GRANGEWOOD AVENUE,E01015965,Thurrock 010C,Investigation complete; no suspect identified
89182e87ed6e1a3a92f26f996edb546deaa5bd76940b9c12ba5aae90f08acd6f,2017-05,Essex Police,Essex Police,0.188635,51.779697,On or near CLIFFORD CLOSE,E01021768,Epping Forest 001A,Investigation complete; no suspect identified
62970d26212029eb6e6d5e6a77c5f92f5db434bcc58118f29bcde89cbc85033a,2017-05,Essex Police,Essex Police,0.505657,51.565066,On or near HIGH ROAD,E01021316,Basildon 018D,Investigation complete; no suspect identified
30db35248422378fb613190d45d4b482e3f93fc88e40ad72f5f691d32b852746,2017-05,Essex Police,Essex Police,0.664324,51.720250,On or near Supermarket,E01021896,Maldon 005D,Investigation complete; no suspect identified
071296edd56dcc671090f93862b99aeb5b128848f9e6cc153d958abb475e8f52,2017-05,Essex Police,Essex Police,0.271332,51.491121,On or near Petrol Station,E01016012,Thurrock 015C,Investigation complete; no suspect identified
6e7856f0a43344cf401e28fe1f43d410595b6e0dc714c37d4789cfd38aceddcd,2017-05,Essex Police,Essex Police,0.447074,51.522631,On or near ALLISTONWAY,E01015983,Thurrock 002B,Investigation complete; no suspect identified
83d6d5b6ce974da188500444c2742bd57479810ca48ec7b5a11505d2d5700af3,2017-05,Essex Police,Essex Police,0.556018,51.558646,On or near SOUTH VIEW ROAD,E01021479,Castle Point 004A,Investigation complete; no suspect identified
9687abda8afac718596b963e0d22762feda0902887a3d6563dca15ce6f1c5b04,2017-05,Essex Police,Essex Police,0.904184,51.861709,On or near INWORTH WALK,E01021639,Colchester 018C,Investigation complete; no suspect identified
cd809941c0c5bcd03ce5bdada19368736fc69fb0389e42b9d421599d8cb3b4d9,2017-05,Essex Police,Essex Police,1.148149,51.793234,On or near OLD ROAD,E01022026,Tendring 016C,Investigation complete; no suspect identified
6b7125069a2097dc86847d08ef5f4f57aed492bda22aa7d43ee95d34a3d0a787,2017-05,Essex Police,Essex Police,0.255054,52.017517,On or near MONKS HILL,E01022081,Uttlesford 002F,Investigation complete; no suspect identified
84e839fb5a074c7baf303304e2a34ea14be837b4a9afe27eb0b8d86e630c8b20,2017-05,Essex Police,Essex Police,0.898530,51.887615,On or near ST JOHN'S STREET,E01021649,Colchester 007D,Investigation complete; no suspect identified
b692220a0c193ac6f38b06c208487d60c0712dc8a0b97847dcd88dc9dfcc9f55,2017-05,Essex Police,Essex Police,0.590181,51.559614,On or near MALYON COURT CLOSE,E01021482,Castle Point 006A,Investigation complete; no suspect identified
865bd4abef4c13702ff0229f4d07c7d728b6292366fb014a496e130e74b5d5a0,2017-05,Essex Police,Essex Police,0.473482,51.731591,On or near BARRACK SQUARE,E01033140,Chelmsford 010F,Investigation complete; no suspect identified
92318ba23c5565e6d2ffe81c05c22b01b391cfcdead07e774a957136f5f70353,2017-05,Essex Police,Essex Police,1.230915,51.926783,On or near DAVALL CLOSE,E01022028,Tendring 004F,Investigation complete; no suspect identified
0ea052afe05516d97a2950d62646a51c3c3a51feb264bd7980a3e2d3a6036dac,2017-05,Essex Police,Essex Police,0.479067,51.566467,On or near SUNNEDON,E01021324,Basildon 019C,Investigation complete; no suspect identified
57fd0aa0d1da5131cdd977c5d55a4c574f64104934be6ee6bb295bc97283d5fc,2017-05,Essex Police,Essex Police,0.423167,51.556187,On or near WESTLEY ROAD,E01021282,Basildon 021C,Investigation complete; no suspect identified
ee0788d4b0dcab996afc801d5d54d2b29a6124ce524981dc05f359fff0f13c4c,2017-05,Essex Police,Essex Police,0.492169,51.574364,On or near KENNET WAY,E01021271,Basildon 013A,Investigation complete; no suspect identified
a30effe574019a4695449d1ae4a59c6cca4c765b19d96a25c847e8ebb4d742a0,2017-05,Essex Police,Essex Police,0.488654,51.756775,On or near KNAPTON CLOSE,E01021617,Chelmsford 004B,Investigation complete; no suspect identified
f846c00939cd8fb2f0381af4ccd9d1c66d663dd59e7c0ded09758c9fca0966e2,2017-05,Essex Police,Essex Police,0.491946,51.723143,On or near SPRING POND CLOSE,E01021564,Chelmsford 013D,Investigation complete; no suspect identified
914c642b24a59cb4cd5f0283c4bd1cd8b6b189122249332aac36237a999b44ba,2017-05,Essex Police,Essex Police,0.259224,51.712058,On or near Conference/Exhibition Centre,E01021769,Epping Forest 003A,Investigation complete; no suspect identified
