Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9af3201218ea0d5355cd666312fb5bc73311cf9c27f1366e455cd438345fe275,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.161853,51.872024,On or near LINK ROAD,E01023449,East Hertfordshire 004A,Unable to prosecute suspect
bd79dc0a810a73478efe5377c3ac067b1315cc639a175255af2aae08606271e1,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.206795,51.946074,On or near B197,E01033026,North Hertfordshire 005J,Suspect charged
f874f1898087ec33d93a45aa2465045bd60161f4c8f442997a521256ac06cd2e,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.206795,51.946074,On or near B197,E01033026,North Hertfordshire 005J,Suspect charged
c3a75eadbb2d32645ac4f1d3a2dffa301829fa60e786e62816769aeda73a6d51,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.206795,51.946074,On or near B197,E01033026,North Hertfordshire 005J,Suspect charged
c723242fb910cd9196a2d073719d22fe29c6397639de59a6a814e670d5440948,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.243019,51.754966,On or near COLLEGE LANE,E01023938,Welwyn Hatfield 010D,Offender given a drugs possession warning
3cdbd6a3e85b37e098b9238d29c590a05c3182e91de775b10d27d60b64e81ba7,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.449338,51.714286,On or near THE NAP,E01023406,Dacorum 022A,Local resolution
157ca707f873b1cc98c2f9e8abf93e09d918039098e44e41d9517a69c82f565e,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.587945,51.768464,On or near THE MEADS,E01023417,Dacorum 006D,Suspect charged
e63890af127750b0a94c20472fa392d8c5420c84662d13339db79df8254f5222,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.472544,51.754172,On or near MARLOWES,E01023398,Dacorum 015D,Suspect charged
d7fdba692a0f168af43c1c7633def1aa59c25b562038c7d2f30c90e29905fe96,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.161853,51.872024,On or near LINK ROAD,E01023449,East Hertfordshire 004A,Offender given a drugs possession warning
ce88843c4f513658a549df2ced893f9cccd8ce20cb5b19637ce60b1298790707,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.187813,51.977677,On or near ASHTON'S LANE,E01023593,North Hertfordshire 004G,Offender given a drugs possession warning
f7fd35d523c31e33ba19872fbc7a44674fb9d671bee79152c23b5729337512fd,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.083799,51.796423,On or near NEAL COURT,E01023470,East Hertfordshire 014A,Offender given a caution
ababe7c69b2f3c6cb276182cd9d972dc656c08fdb3d37e04587dc2cbc3db3e43,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.174568,51.885656,On or near THE ASPENS,E01023450,East Hertfordshire 004B,Offender given a caution
827cab5596d356e77fa12096342a9db0ee9b677fd6a91c0467df9eeac9f64d0f,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.158202,51.869816,On or near Parking Area,E01023446,East Hertfordshire 007D,Offender given penalty notice
024040850355c9be9fb0b2b64806758e7c014dfdcb79c587e4461253a368ca03,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.163545,51.868846,On or near DANE STREET,E01023450,East Hertfordshire 004B,Offender given a drugs possession warning
bc2b23683a9b214efce0f0041036275579d4b35291446d077c7dba9dce6dbdc8,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.612799,51.783110,On or near A4251,E01023416,Dacorum 006C,Offender given a caution
1124910b6015a82ab4005bc2346cbe39eaa17d3de9f202ca1aae1227989dda8c,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.181598,51.692625,On or near MUTTON LANE,E01023573,Hertsmere 003C,Offender given a drugs possession warning
d4c98bedd9b9337033d664cb114f9fa1d9e2210e617939be61dad459a84689d7,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.443649,51.751824,On or near FARLAND ROAD,E01023348,Dacorum 013D,Offender given a drugs possession warning
4bfc3985fb34a0aa7c4ab215fa7741bc67e70d1d72b83913feb927d9c0e770dc,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.612799,51.783110,On or near A4251,E01023416,Dacorum 006C,Investigation complete; no suspect identified
3f879a2886d25937e514f4bd87df13552faa3044c639d8d4eb48c1e8f1c231b9,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.339554,51.930227,On or near HIGH STREET,E01023653,North Hertfordshire 014F,Offender given penalty notice
8daabacf89f6d2d2398e37c2fdb235241b1c347cba0086a945842a5ecec3ef33,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.339554,51.930227,On or near HIGH STREET,E01023653,North Hertfordshire 014F,Offender given penalty notice
16827478addb09373d022aa763effd79eca6cf45b2600ebb60c1d769ca9c18db,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400658,51.683088,On or near WEST DRIVE,E01023890,Watford 002A,Suspect charged
5c2b31d87b708fb3b2a0ee7cf1a608eac76cc855fbc013b92275be816efb0f53,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400658,51.683088,On or near WEST DRIVE,E01023890,Watford 002A,Offender given a drugs possession warning
17b7a43fb5fd0140f217aa1fdb813576925f9a2211885ce563b0a6e4510869b0,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.525924,51.740655,On or near A41,E01023377,Dacorum 021E,Investigation complete; no suspect identified
5023d4a2e7354cbb1fdb81f934418846c42ce79ebc333c0f4e0a0b3e26cd0745,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.190545,51.904058,On or near LINKWAYS WEST,E01023757,Stevenage 008C,Suspect charged
fa3c6817b6182589c8547f33d34256dd6f57182ae091aaa0b4c0490c609fad27,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.386917,51.648433,On or near BRIDGE PLACE,E01023862,Watford 009D,Local resolution
087fb1b74534affd29b11f418128e8ce38cbe02bf118e55dca2d0c1714ec09b4,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.405073,51.652925,On or near PRETORIA ROAD,E01023901,Watford 010C,Suspect charged
6bed0faf84442b6f1cc75435d6df4cff561f526a857fb80b3e61256e6d35710c,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
737d7537d2b33b4bd444ecb0ca0916f2fe6bfc790c0c8bddc5f8563432d2146c,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035386,51.691682,On or near Parking Area,E01023332,Broxbourne 012A,Offender given a drugs possession warning
f2d87cc1e4f13419029494bfd9f3d205c09c420a8b8f4a91c81fb86e9a036261,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035386,51.691682,On or near Parking Area,E01023332,Broxbourne 012A,Offender given a drugs possession warning
9cb9d26eb140cab5e86caf83edc9e2de828fca9b1a298c8abce2108a0a6de85b,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253023,51.658612,On or near Petrol Station,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
b7170c99d8cc776508f38a3d803c0baede3cac6e8335b3402e59909236c4f38c,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.215323,52.028820,On or near Petrol Station,E01017447,Central Bedfordshire 014B,Investigation complete; no suspect identified
d0d64c281620c74812bca7c6808465cdd3e6e538cfbf1737ab1abe71c269e430,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013120,51.760647,On or near Parking Area,E01023320,Broxbourne 003A,Offender given a caution
6287554a996ccc4d4c75793e9d295196f4cea295756030b0127ca99698376999,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013120,51.760647,On or near Parking Area,E01023320,Broxbourne 003A,Offender given a caution
e4f9de96fdc32510b1294b97c62774e1386c104cc73b6c41afc5b46bef534557,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.280573,51.654217,On or near Parking Area,E01023532,Hertsmere 007D,Local resolution
2902be08bbd073aeaa458865491bc69552e8de63a0c3141892353adc313eec79,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.285010,51.669550,On or near ALLERTON CLOSE,E01023536,Hertsmere 006C,Suspect charged
3c5646b24bf69d4e3b0a17c4ba2149256c8c8ffa4d5cbc20bcaf50c086181df4,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.176366,51.882645,On or near BURYDALE,E01023784,Stevenage 011B,Suspect charged
a570ff7bcf40e2c6aca60461ef876c7d37537669e2df9ee4af97b0e03eeff2f9,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.163825,51.902673,On or near Pedestrian Subway,E01023760,Stevenage 007B,Suspect charged
4a7dd04579af312eaf21033794a240de81a2e3ea5f63cb705e57d382cd9a1662,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.204608,51.899535,On or near Police Station,E01023758,Stevenage 008D,Suspect charged
2f0b5983fdf41a506b47fde0397075d7808b54685bd1089752caad544fe17165,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394857,51.655268,On or near Shopping Area,E01023860,Watford 009B,Local resolution
6a8eb022a11fa491346c121b8c6d651518755f8de6a0a0645b532aa5291bd719,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394857,51.655268,On or near Shopping Area,E01023860,Watford 009B,Local resolution
7a82dd0f69c4922659fbbe8cd957772aebd313c9707336c04f4c73ab638a3126,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.392193,51.659053,On or near QUEEN'S ROAD,E01023859,Watford 009A,Suspect charged
4ef9864e77dcdd316ea0b76a3dbb2b46d9b4beb66249c4228846c831d4d65856,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400207,51.658506,On or near Nightclub,E01023861,Watford 009C,Suspect charged
8e4be9b69584d62195ccbdd737c1b92375501fc0a3b31a026e0c29a833dbb459,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.149262,51.812680,On or near BELL STREET,E01023502,East Hertfordshire 011D,Suspect charged
8fd5e6d2635e48a65456feee331af78a730eab49680a54b2520547759b155e6a,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
e77a8741dbb4b70df44be1576dbc9e14e93e21d5fcd012886b8b609733f0a1f2,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.275516,51.948350,On or near Parking Area,E01023616,North Hertfordshire 012F,Offender given a caution
3c39419909c6b2f91e02d8adbf8b46dd5384a5bdda3682216633aaefeacc29f9,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.306889,51.764158,On or near Supermarket,E01023712,St Albans 008D,Suspect charged
744a4ac88542258fd9e3e7fa7d22771d6116ab02dfe251099b425e5d333ebec8,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.564127,51.760452,On or near Shopping Area,E01023361,Dacorum 009A,Suspect charged
29c0dec7d882845d1ed72ab6782b1d542c5c026ea7b7228a301aaee940e22af6,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043279,51.712307,On or near CHADWELL AVENUE,E01023310,Broxbourne 006D,Unable to prosecute suspect
9cd3b9e8f8b828e2f4d5ab58c3ad769c588222ec82e34efdd020ee501dbc0a00,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.178687,51.690538,On or near Petrol Station,E01023573,Hertsmere 003C,Investigation complete; no suspect identified
f3882f1fc1d9b58fe6e2348d2ab286abcae2c7f0af55f26cfab208793454d438,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.249840,51.952665,On or near SANFOINE CLOSE,E01023620,North Hertfordshire 011D,Suspect charged
7b5a948faadede4ae5529b9af598fcc4fc1286e0bffa5068e726ec59cbf15e8d,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.309736,51.676248,On or near Sports/Recreation Area,E01023525,Hertsmere 005C,Unable to prosecute suspect
9b62a8b8ac28daff96296689c0f8283ca31c8fc72872ee3107c2456985de316e,2017-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.665337,51.792917,On or near B4635,E01023426,Dacorum 002D,Investigation complete; no suspect identified
