Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9bbcb385beee70b9aa3d1c6e36b3a9ef4abc0085194cb3b5ec0c134a97447546,2017-05,North Yorkshire Police,North Yorkshire Police,-0.418012,54.278856,On or near HAMPTON ROAD,E01027861,Scarborough 009D,Offender given a drugs possession warning
c69a56e57c383bfd88b6efc27f0a6a54ad2e9338921a128ccc52d0c64b879aaf,2017-05,North Yorkshire Police,North Yorkshire Police,-2.014595,53.916553,On or near CROSSHILLS ROAD,E01027556,Craven 007A,Investigation complete; no suspect identified
dbaceb1e2131621d488f038f207d7f8e6bb5f28fb8b6c49be416a270648b3481,2017-05,North Yorkshire Police,North Yorkshire Police,-1.714368,53.993779,On or near Parking Area,E01027735,Harrogate 018D,Unable to prosecute suspect
39075c2f45079ac191eb9e63efc55ba1612e778176e8656dc15c781d053594e7,2017-05,North Yorkshire Police,North Yorkshire Police,-2.103003,53.983495,On or near IVY HOUSE GARDENS,E01027563,Craven 007C,Investigation complete; no suspect identified
100f80c2f3f8b01a7c9b120a09971579beb54eeaba072297d366d2411db93ea9,2017-05,North Yorkshire Police,North Yorkshire Police,-1.060491,53.999337,On or near HERON RISE,E01013407,York 004B,Investigation complete; no suspect identified
2a8f14124038a119d0ef0d85f6332cca2217c6a105191e62dffc017d4e392ba2,2017-05,North Yorkshire Police,North Yorkshire Police,-1.064190,54.296449,On or near COWHOUSE BANK,E01027780,Ryedale 003B,Investigation complete; no suspect identified
86b74c03d021dd927e6012227441d78a572cebcc83c9490c157d62d673cf00ce,2017-05,North Yorkshire Police,North Yorkshire Police,-0.410898,54.287679,On or near THE DENE,E01027851,Scarborough 008D,Unable to prosecute suspect
86b74c03d021dd927e6012227441d78a572cebcc83c9490c157d62d673cf00ce,2017-05,North Yorkshire Police,North Yorkshire Police,-0.410898,54.287679,On or near THE DENE,E01027851,Scarborough 008D,Unable to prosecute suspect
11fe27408e711248049b253e259fdecc7051eb27704e3d036b8b3b34aed8a24f,2017-05,North Yorkshire Police,North Yorkshire Police,-1.087865,53.957178,On or near Nightclub,E01033068,York 013G,Suspect charged
11fe27408e711248049b253e259fdecc7051eb27704e3d036b8b3b34aed8a24f,2017-05,North Yorkshire Police,North Yorkshire Police,-1.087865,53.957178,On or near Nightclub,E01033068,York 013G,Suspect charged
39b6b28990b9716722664fc29f6f170ade0766f088f715459600043d33715aff,2017-05,North Yorkshire Police,North Yorkshire Police,-1.059414,53.776044,On or near PETRE AVENUE,E01027910,Selby 005F,Unable to prosecute suspect
2fbfef38762743f636ff152ce73c20d3f5a8cfe931b4e3d4ccc9dc56f478e238,2017-05,North Yorkshire Police,North Yorkshire Police,-1.015838,53.725862,On or near CROFT ROAD,E01027884,Selby 008B,Unable to prosecute suspect
6ec7ab940c4a8fe96a219b55c41b64536f0407e7d1d57d1c935c55882d2cde64,2017-05,North Yorkshire Police,North Yorkshire Police,-1.087865,53.957178,On or near Nightclub,E01033068,York 013G,Suspect charged
