Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4801c861a243c333cba5c0e3d5cb3ce1306ab059c06ca1fbd8379c66468c3f7a,2017-08,Cleveland Police,Cleveland Police,-1.221511,54.559303,On or near Supermarket,E01012027,Middlesbrough 006B,Suspect charged
a2e2676251c618f62ab70ab6453df91ec704f4cfa3050464226fcaff0e16993d,2017-08,Cleveland Police,Cleveland Police,-1.235453,54.575335,On or near Parking Area,E01012068,Middlesbrough 001A,Suspect charged
da72a0d79b90d145f5e56b088b63c8f3357efee6c8a0ef22e97b91c1d7d4b243,2017-08,Cleveland Police,Cleveland Police,-1.299002,54.554627,On or near Supermarket,E01012286,Stockton-on-Tees 017A,Suspect charged
4801c861a243c333cba5c0e3d5cb3ce1306ab059c06ca1fbd8379c66468c3f7a,2017-08,Cleveland Police,Cleveland Police,-1.221511,54.559303,On or near Supermarket,E01012027,Middlesbrough 006B,Suspect charged
f799c9a69e3200557c7d00009d91f5c00c14a4abe5361dd2677913091329f00a,2017-08,Cleveland Police,Cleveland Police,-1.207445,54.681749,On or near STAINDROP STREET,E01012000,Hartlepool 007E,Suspect charged
a6b785125566fa61d29a704dca69e162fdb734d60d0b24d0759fae9a0114d899,2017-08,Cleveland Police,Cleveland Police,-1.215706,54.682063,On or near Parking Area,E01011999,Hartlepool 007D,Suspect charged
3bd5256f75c6bccd56bb6eba02abc38adcd431b06ae7c46d0e907dc3d6c2043f,2017-08,Cleveland Police,Cleveland Police,-1.320450,54.547973,On or near NAVIGATOR COURT,E01012264,Stockton-on-Tees 014C,Suspect charged
49ede8638d1a536a8dcfb3301d95d215bcd933b5beaa99e2505c7120a33dbefa,2017-08,Cleveland Police,Cleveland Police,-1.235959,54.574736,On or near Supermarket,E01012068,Middlesbrough 001A,Suspect charged
2e8bf545b7c0bf73f9dd823aa23dc0ea9a3b3ddd49c60f3b359d301b1c650a7a,2017-08,Cleveland Police,Cleveland Police,-1.228923,54.559871,On or near ROSEDALE AVENUE,E01033469,Middlesbrough 006E,Suspect charged
bfab01f5b43a4e30c4f852f8463e88c35b0996587e571d02affab9c626bf7f35,2017-08,Cleveland Police,Cleveland Police,-1.226647,54.553467,On or near THORNDYKE AVENUE,E01012020,Middlesbrough 011C,Suspect charged
be813aca7d52bf90abc3a4d0f78cdcfd9507dfd9e580c71c4da58191979cc413,2017-08,Cleveland Police,Cleveland Police,-1.221511,54.559303,On or near Supermarket,E01012027,Middlesbrough 006B,Formal action is not in the public interest
