Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6945b3c5a28075d9dc64d3a8aa7470d0e39fe01585b02ab8a81c24ffb0757248,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
65092bb78f8cc5d91ed49c4056b4349133a4a9a2fc63233dd5c46de1880ca229,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
0e7cc104a6cf86d7570fa1f25f1eb4794decbb64888e1c7d6e64747e23b0e48d,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
9c1186ff263b4fe6abf5c2003ea65a6907a71cb7c52b75ec0410d8776d5c801f,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
db9d7c12d9f56871dfd495390e3d9e311ef04cae5caf0053cec8a0d9648cb303,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
331b6eefb86f79d726a98f1d903305f34504fe320406f5183001734465e6f933,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
ed1635254f19e1a8acd64d82704b19cb3d362b30d9bb587b0561340971e0c6f9,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
135b7859147942cbce38add7f9a407cbac60246f56c4d558da036a7828b2cb2e,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
556e9544f7f5b78c2f48a36a7dca8a865fbaf7d8d1416c1598c05630e78f109e,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
1c3ecac483b4b789a6ef5680ed2e65632390dfb23ba661808840eb3673211bfe,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Offender given a caution
7a659c333e0ef940e18284515029d75d5b3e7384650df9a3e8d39497c8cb8341,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
b63dbea338626f674665bc47a4771a810b567d39d3a93e9ad315947cf4fe9753,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
6ae72456cfde26b0a26af88a403f50c21c1f0f923aeaa07b82b4c509adfe8152,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
a349d2589c0c876d78bdf930e8d91562a8fa2b20ea81291ecc6d9fefa0968e6c,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.217269,51.696539,On or near GEORGE STREET,E01022386,Stroud 013B,Investigation complete; no suspect identified
1572b8183bd20d1b2c080927d669ad0f5cc6335ddbf2e42b590d3405a731c15c,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
573e637507c031b08347b1f617dd888fa4c6445a21fba8c2bfbde9fd840f8aca,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
19124d00b436e095988826e4bd1fadc09315faf55923b81918dfd27a111bfdf8,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
cfe651dd485ec427a5fed1c87627970a5732696b375661fdc979add4e7f101b9,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
46c49a8a100a74fea4a638e1e3c3172670b8d4b0d3629ee4c8cd996d55264884,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
d2f29e66e7186ea2465cf83b59aad1aabe96fbab9b2f7232f2a8ee9e034a33bf,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Suspect charged
a48a2800c3d8082fc3fc5b876bc56ef5db432d29d85258d700c787f658272ea3,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Formal action is not in the public interest
221de8161bbf09dd5f141b39ee6b8d5c34177dcd198177493b75a5dc8f77d360,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
16d6278573415636c7da94ac7279c821db74a930805bc78baf225c439e0d7e26,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
3cf44222fb48553333554e463603649e67423ea9a0468c86800cd317920e6698,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
1736d38d1e7f58176af1075d38a3082ee85d827f646c24230d04f4e6221227f2,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
c390d3275eabf0d9855460d41405d52b919718ad45c7b4fa1986e2e63bd16f30,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.140625,51.750981,On or near WELLS ROAD,E01022354,Stroud 002A,Investigation complete; no suspect identified
f674b0b4e266280358964d1c9b50064b2d41d878ec03c5af0f3b1ca2b4d3c19b,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
b70a6e40e537874e70d8b938a4e3d67f228b2932ccd4a53d2f10f88b5f346992,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
1cff7d880b5e3336004663a36c30b5200e957c56b9b2056e054fbec34fac5639,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
81600bb39d779871dba4387ee271d7071c41992c5e8850161170d1d511c71f26,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.264571,51.843356,On or near BYARD ROAD,E01022333,Gloucester 009E,Investigation complete; no suspect identified
502917ff2aba4e068a9b42346584320b85905d42016d87d8faae1ac5add0c939,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
d419d003337f7850a8cd168d10b6e31d567160eaa7f97d1243f83d9ce5a4c391,2017-08,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
