Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6d624081a946c1b3f26e4db09673433a86c1d498cba566d7e30c4a1d0794c620,2017-08,Sussex Police,Sussex Police,-0.149422,50.832829,On or near HIGHDOWN ROAD,E01016875,Brighton and Hove 020C,Local resolution
d21d92ba62d87049a4e7395be71f692225a52f7f1233b53d16c417ec5aa8bf3b,2017-08,Sussex Police,Sussex Police,0.259525,50.792167,On or near PARK LANE,E01020945,Eastbourne 004D,Action to be taken by another organisation
a5e233f90517db63df151b050e629c2d7a76e2b5b88dd7e175549b0b730dab3f,2017-08,Sussex Police,Sussex Police,-0.141214,50.823156,On or near NORTH STREET,E01016952,Brighton and Hove 027A,Local resolution
793b8827bdc230bb23f0169ce54864e489009f2125fb8e04a1dfbd95260341c3,2017-08,Sussex Police,Sussex Police,-0.150074,50.824952,On or near HAMPTON STREET,E01016955,Brighton and Hove 029E,Investigation complete; no suspect identified
616c522c9c609e76762e00ad8a0f4f8dc990dec4dad86a401169285221e3ebe6,2017-08,Sussex Police,Sussex Police,-0.136783,50.831746,On or near LONDON ROAD,E01016964,Brighton and Hove 027C,Offender given a drugs possession warning
20870aa6372d8dd3cc54c1163e31cf255f5a9ecd81f0c2ea864a8b414252a5b9,2017-08,Sussex Police,Sussex Police,-0.127474,50.844719,On or near STEPHENS ROAD,E01016904,Brighton and Hove 008C,Unable to prosecute suspect
b9cea91e4433e0703a51efed4141f732f1d7c78aeba93c495e389a23a1ceaa7d,2017-08,Sussex Police,Sussex Police,-0.128700,50.839279,On or near SOUTHMOUNT,E01016905,Brighton and Hove 008D,Unable to prosecute suspect
50e59257c570a472afc7e93c3a17fc0befc209e278dc54e21e1bb6d32cac44f7,2017-08,Sussex Police,Sussex Police,-0.104239,50.855810,On or near CHAILEY ROAD,E01016915,Brighton and Hove 002D,Further investigation is not in the public interest
82ce9bb59fd20a45cf864703b07ebadf7a252087ab998ba77fec710d7a38dd11,2017-08,Sussex Police,Sussex Police,-0.101944,50.853911,On or near SHORTGATE ROAD,E01016915,Brighton and Hove 002D,Investigation complete; no suspect identified
48548b7c79558709a253c56c15d3a1ad584d5aab94810ab7b69f5839ee8d9d32,2017-08,Sussex Police,Sussex Police,-0.106110,50.842260,On or near LOWER BEVENDEAN AVENUE,E01016910,Brighton and Hove 009D,Unable to prosecute suspect
4f9d9ca719df7881d7e9ad5b85099dcc5c48daba810ee7ad743e1e8c31ddd90d,2017-08,Sussex Police,Sussex Police,-0.106639,50.823904,On or near LOWER CHALVINGTON PLACE,E01016868,Brighton and Hove 025E,Unable to prosecute suspect
01b1fa913da54e5f234883598e00e7ca2e756aca2521632b88f587a034031313,2017-08,Sussex Police,Sussex Police,-0.097531,50.841536,On or near TAUNTON WAY,E01016911,Brighton and Hove 009E,Investigation complete; no suspect identified
cd17014c35df940d2aae7b09aa19bb9cf43bee5443068a8c7fbe8844fbc8b52a,2017-08,Sussex Police,Sussex Police,-0.130609,50.842323,On or near HOLLINGDEAN STREET,E01016901,Brighton and Hove 010A,Unable to prosecute suspect
