Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
686e8fc1c474d8d2686373dc7e48bb622cec3922b8bf51e34838c4db5b8e8a89,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.071979,52.333995,On or near LABURNUM WAY,E01018167,Huntingdonshire 013B,Suspect charged
c175d814284c5d91c83f04aacc85edaeb82e3fbf0de580f41534026071c4f90c,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.138803,52.205344,On or near VICARAGE TERRACE,E01017989,Cambridge 008C,Unable to prosecute suspect
6049da2171c700c3c133905cd4035d972f9dc551521e21b64c86e2b9cba17ca5,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134365,52.207115,On or near Parking Area,E01017983,Cambridge 007C,Investigation complete; no suspect identified
d409f2789fe90a8ea4d1258fa0eff48ec934d2202fa8ac4d4f80a912a3053563,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265413,52.599478,On or near Shopping Area,E01015677,Peterborough 010E,Investigation complete; no suspect identified
969ef8e7c3252219ec6165b0e8c37c4be70e3fc55c035f4ad86897f3b25a483b,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265413,52.599478,On or near Shopping Area,E01015677,Peterborough 010E,Investigation complete; no suspect identified
d68ceb990e14f182213ead01ef1416f238ef4d36078dc0ec79ae5a9841fd8993,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265413,52.599478,On or near Shopping Area,E01015677,Peterborough 010E,Investigation complete; no suspect identified
725705abae03ecd7b68b5c53044181e6bd85ce44b4e46315bd8d094e5177a9f0,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.148017,52.235542,On or near Park/Open Space,E01018274,South Cambridgeshire 007C,Investigation complete; no suspect identified
4bdb16da5405a017e47ef81083dcf439e8b56f0adcc03c6af029760c547c82bb,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.243741,52.370133,On or near Parking Area,E01018054,East Cambridgeshire 005F,Investigation complete; no suspect identified
70e7745baf722efaaed506bc1b493bdf7b5cb6f4bca2aac70be1b361310f1c91,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.036608,52.127332,On or near BOOT LANE,E01018275,South Cambridgeshire 013D,Investigation complete; no suspect identified
a9d8463745c170cb3777362bda782150a4d194967f2659a65d0b9f9e8d629bdf,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218032,52.576486,On or near ROUNDHOUSE CLOSE,E01015616,Peterborough 013F,Investigation complete; no suspect identified
f3cadf456fbd78316d38418d46bd99ec6a4e9befa583482e11acaeab53e69b3f,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.263037,52.540823,On or near Shopping Area,E01033181,Peterborough 022E,Investigation complete; no suspect identified
c6db711f92d68f56e21f09a7327941dc7509302e18daad673625defe664fa820,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224226,52.586811,On or near Petrol Station,E01015615,Peterborough 013E,Investigation complete; no suspect identified
9a9cba19ef59a2bb748dbf4906daa2d522b1b2d615176db2b05675235d4ebafe,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.221194,52.576759,On or near Petrol Station,E01015616,Peterborough 013F,Investigation complete; no suspect identified
2b8f5c927f605d09098277c285f8e8d35efaa08142929f8704a6506593ea128c,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.069826,52.561904,On or near Supermarket,E01018081,Fenland 005A,Investigation complete; no suspect identified
ed866905c296bf07f65f106af4be761bc9402969996e2e46603f7c81ab0b3efc,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.215363,52.547720,On or near OAKDALE AVENUE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
181c2b4ede68c8d20b2fe78e927b2ca1ef7c0869cc600dd52bd89bbd5ffb4c52,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.329503,52.543407,On or near A1,E01018127,Huntingdonshire 002A,Investigation complete; no suspect identified
447f9f04c92cfbf55e4f89f25feac5b676344260d05b982aab35779d7c8f13b7,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.015456,52.248050,On or near FIELD VIEW,E01018222,South Cambridgeshire 005B,Investigation complete; no suspect identified
258a2096ed15bf97bf91bce6ce2b61569c093085c69359261e8603e87a6ec3a0,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.030660,52.242548,On or near HILL VIEW,E01018223,South Cambridgeshire 005C,Investigation complete; no suspect identified
a6f6d958658fb082843e937256b10e89d0f3e39e17cdd3010a51fb543a18ab75,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.292860,52.211138,On or near FOUNDRY WAY,E01018177,Huntingdonshire 022A,Investigation complete; no suspect identified
fed567635e015e288633d09f4edda2a1db067eebed6ae7ed70b01003930e031f,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.067176,52.562022,On or near Petrol Station,E01018081,Fenland 005A,Investigation complete; no suspect identified
262a13c95e3501a134d0d2b74ca95bdda40223a669b5325c1c9da06c72e0063b,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.141405,52.651633,On or near SOUTH BRINK,E01033111,Fenland 003H,Investigation complete; no suspect identified
71481b52007a9b56e5cb13273afe35ab0976ad913728b9093e056f0864326f64,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.334377,52.547090,On or near Petrol Station,E01018127,Huntingdonshire 002A,Investigation complete; no suspect identified
bd7bfc99f5edd5d68f61dd8e0fa8c4bd04977fe0f5ada52daa8d51f215bbb411,2018-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.215363,52.547720,On or near OAKDALE AVENUE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
