Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fbaea7dac263e318d8f9cf516423bc016c9933453845a752204ca62345e6bbbb,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e0d2bdf88d4c49cfa69d88e8e7605827a122485a3a3b8482ecc55e8fe3911eb7,2018-01,South Wales Police,South Wales Police,-3.571684,51.544131,On or near THE DELL,W01000987,Bridgend 007B,Investigation complete; no suspect identified
950fcecb9413e4a5ffe822ca91a677992d86892f50dfeb960127efdfda5fe9ea,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
721089c1ed69c9b0c1c41992268287a60311ba0ff70a060028fcef261658eb74,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
46003c7bb138ac05e625d825b8301e89c3ba79d3e935cff6d2d3388ed5dd9101,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4149c74144ea89e4b004e82ebd45f788355eea118fe8c6d2f48590b49416de0d,2018-01,South Wales Police,South Wales Police,-3.806133,51.664138,On or near CROFT ROAD,W01000939,Neath Port Talbot 008D,Investigation complete; no suspect identified
8d2fad1e549ceefce07b85ea64e02f5b589d7ffa11692217b8a01ce70e981f32,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
59375d381ba30c8344b1a2b69312953310233394725c7d1d6bec824c73a66647,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
325409f186c808faf35ecaad7efed4c717f70571ec64065a2a7ca93af08948c6,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d4bf8e6f0f808f176c862f437021bce7212bfadb4fba815e5e988cf55c54eb3b,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2f50c285b0c24a9cba6a3ec788cc90d4e6ab50d819aa0ee332a05f258e2a6df0,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
debca674f463b3931e2a5e23f4c7bef3b26edd01314761da0f92e3d240cb0536,2018-01,South Wales Police,South Wales Police,-3.945650,51.620094,On or near Parking Area,W01000745,Swansea 025B,Investigation complete; no suspect identified
cea6eb7b5fa9b30ef2b5c3a924bea938277c9120f231a6261bad743c58ae5ca9,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cf904a6ce1329c1044d5ebad4741231547c3d7d0c4cc572567e867d5757399f2,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7c9e518b807f50309b93e1f91655adfe5209a28eb2441b69d59d19358ebed106,2018-01,South Wales Police,South Wales Police,-3.280650,51.410928,On or near NORTH WALK,W01001093,The Vale of Glamorgan 013C,Investigation complete; no suspect identified
2e968b2cc063b7d51e254f963380e012526de7c8848ccf901b771c792f9376b9,2018-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
