Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0fe82370c05cb30488c9c6d5df8ed60b3707e8353329292f83320f0cbfa83aa,2018-01,Warwickshire Police,Warwickshire Police,-1.465221,52.522330,On or near Nightclub,E01031043,Nuneaton and Bedworth 005A,Formal action is not in the public interest
2b2375dea127ee128d0f8cc69bd22a798cc26a8f9b35f792c71288aee8f1a979,2018-01,Warwickshire Police,Warwickshire Police,-1.253001,52.388387,On or near PEMBREY ROAD,E01031141,Rugby 002E,Suspect charged
1bca0df7b42e55d46bb4e1e60e068a39868780f4ec9249876a6915bee7b5d3e4,2018-01,Warwickshire Police,Warwickshire Police,,,No location,,,Suspect charged
3e1a7e25a09fc3afccc7b2b8fb051377fca7039069bb90a3a6de903403d80837,2018-01,Warwickshire Police,Warwickshire Police,-1.593457,52.293897,On or near HARMAR CLOSE,E01031312,Warwick 008D,Investigation complete; no suspect identified
3cf99960e5142bed1c5c51d5c98534d652b83cf583983d26e7fd4aa8e46c6a07,2018-01,Warwickshire Police,Warwickshire Police,-1.722726,52.194199,On or near DARLOW DRIVE,E01031232,Stratford-on-Avon 011A,Investigation complete; no suspect identified
bfb058a1da228f181eaeedaadcf64084f2e16531a31b2de2de4408ad73ba700b,2018-01,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
491dd230cf1df55ad9e500569382e9c4f33e1f2fdc2e5547505bd45cc1c2027a,2018-01,Warwickshire Police,Warwickshire Police,-1.563829,52.288900,On or near HILL STREET,E01031309,Warwick 008A,Investigation complete; no suspect identified
74f781b06b805e868e6083cfa91ca59ea35811fbf67209dfaaf8d5dde17ad109,2018-01,Warwickshire Police,Warwickshire Police,-1.388040,52.255279,On or near COVENTRY STREET,E01031220,Stratford-on-Avon 004B,Investigation complete; no suspect identified
f4ef4c1f45e23cb36fd46fda0ab83ebc08bc6d05f57e1dc6312633428820f1b3,2018-01,Warwickshire Police,Warwickshire Police,-1.281657,52.390057,On or near Supermarket,E01031172,Rugby 003B,Investigation complete; no suspect identified
49c121c5000b48ac5f536d574e2096c42a90f164ebcc7d29faf1698f37ff2231,2018-01,Warwickshire Police,Warwickshire Police,-1.530243,52.281777,On or near RANELAGH STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
d28c7a9388747e98f96798572e15dcacbe43f6ac25d3c57fa848e17916004d9a,2018-01,Warwickshire Police,Warwickshire Police,-1.776759,52.289413,On or near RIVERSIDE GARDENS,E01031203,Stratford-on-Avon 002C,Investigation complete; no suspect identified
05ef3a26fbbe9787ea943f3fd6c1e8893e1700531a7e29bb10d6ba752620bf78,2018-01,Warwickshire Police,Warwickshire Police,-1.242504,52.391332,On or near Parking Area,E01031137,Rugby 002A,Investigation complete; no suspect identified
335e8fd32134931347d7c1dd34c0eb7fc9906bf5a9d0f9fc1041036916fbe88a,2018-01,Warwickshire Police,Warwickshire Police,-1.260664,52.378303,On or near SYCAMORE GROVE,E01031174,Rugby 003D,Investigation complete; no suspect identified
86cc45a3e7e08e2039da4e89fae951abced1882d372c57ab2b581135c9576354,2018-01,Warwickshire Police,Warwickshire Police,-1.283373,52.384772,On or near LEA CRESCENT,E01031172,Rugby 003B,Investigation complete; no suspect identified
