Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b228e63d659dc3bde1f97ed8a5e5cf0db8174f2e84ddf65aefeb8b710e828827,2018-02,Leicestershire Police,Leicestershire Police,-0.882487,52.746694,On or near SANDY LANE,E01025907,Melton 005D,Local resolution
8479fd4ac6670cb4a94ecfb333838a868682066bfcafd46898c223355981fe6b,2018-02,Leicestershire Police,Leicestershire Police,-1.110283,52.642136,On or near OAK STREET,E01013654,Leicester 017A,Suspect charged as part of another case
8b6d56447e50895d21e270afb7e34f28328935fff6aa445078694a515ab83c67,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
6af5ea326e366294fda3a7d9b07d5ac0632659f6530a526ad82d8cdb3c4ee94d,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
77cda586393800bf99b46b5dcc57ecd009606f2926aa3a4ad6a8a3fce3de5efc,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
7d5dfed894e8c7f6288f88df8d25b061efd9ddc230d1eb8c87e9369b88892f19,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
31b19b2ff89599ca8fdfd41bfe61cec4206bb021fae6371b07a8cd1cfeb098f8,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
0195b20dbf345200a841f6d332eaf06d0affa39ad5cb81082eb8f88691b1554f,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
90c1843fe2e65f73179084456a526366c37b4303cda5456ff7f5e3a72e3e3df2,2018-02,Leicestershire Police,Leicestershire Police,-1.345133,52.630307,On or near CHURCH VIEW,E01025875,Hinckley and Bosworth 005D,Unable to prosecute suspect
e1b4a29688f44c4a47b263720634bcef72219a5db11724b6e50f5140ce74d1d6,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
62497c7499371675a15a27a03583198816f211442fe5977d3198003e7a1ba095,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
594f3cfefa6d3810ea2ae0015053784ea50ce425ae517ad6fbc42ef827e4c892,2018-02,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
