Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a1558f8a09c3b18c17d810158d43b167fe9d686364206dac13969d23171a3d2a,2018-04,Cheshire Constabulary,Cheshire Constabulary,-3.081396,53.298445,On or near HAWTHORN ROAD,E01018536,Cheshire West and Chester 001C,Suspect charged
409edb93bf5a291b57a67023d4caaa1be5d6617b28d1c3e872750def88429e62,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.923868,53.170748,On or near WEYBOURNE CLOSE,E01018352,Cheshire West and Chester 044B,Unable to prosecute suspect
0f89ffcf4827c5fc9f1932213867694085ea17bc97fa6f0c0179249c9845f440,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.522049,53.419293,On or near LINNET GROVE,E01012466,Warrington 005D,Investigation complete; no suspect identified
0baaec978a7e96e68ed17044d629431f2a186a322ca786addab199e806cebb60,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.453904,53.102490,On or near GROSVENOR STREET,E01018467,Cheshire East 036E,Investigation complete; no suspect identified
04973ea15a90631cd3327c5950edd8248008190d6048e52c6235361bd7e785d4,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.892790,53.189925,On or near Nightclub,E01018326,Cheshire West and Chester 034A,Offender given a caution
6ca238895fd274ccb8859a0c2d446732259234c5e7987c93b3c7ae373b583df6,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.511180,53.259439,On or near HEBER WALK,E01018714,Cheshire West and Chester 018B,Suspect charged
2720ae576294b0a7e6edfcabcde5bb871e2a5d4d4d77f8f01ef306570bc0e9d2,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.551802,53.381379,On or near RICHMOND STREET,E01012504,Warrington 020A,Investigation complete; no suspect identified
0fb70ebdd58dfc5d25dded0384d85fa548c83201c8a91cce91cfdd498abf6b32,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.255075,53.313637,On or near GREEN VILLA PARK,E01018590,Cheshire East 008C,Unable to prosecute suspect
36c13a754566043cb543578704b5866ed7ff10d13df2561d0c868525f1a0dc9d,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.773715,53.371634,On or near WILSDEN ROAD,E01012377,Halton 004A,Suspect charged
29e886c62d335749cd5c077b26721e544eccdf729cf06dc44469e878eb0afebf,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.883159,53.215032,On or near GATESHEATH DRIVE,E01018379,Cheshire West and Chester 027D,Investigation complete; no suspect identified
6c1aecca5187e36f17e76fba423f088ddee5a6b08189b65defdfb49d6ba7326b,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.449311,53.065921,On or near VINE TREE AVENUE,E01018493,Cheshire East 048A,Unable to prosecute suspect
f8fd9a05e1349d413f8c13cf2ec64f914585c21e8087c546a56ae3b318a11e2b,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.381268,53.134233,On or near BROCK HOLLOW,E01018442,Cheshire East 031C,Investigation complete; no suspect identified
4e84332d5aca78b21bf9bbdc55251e5f08b11e347c286b9ab60d96f5654ccbe8,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.740749,53.343664,On or near BLANTYRE STREET,E01012430,Halton 012E,Unable to prosecute suspect
ad2353f9cc5781f13840b118941f0d31cbbc05c8f397c64ccca9ba5ccd8fc924,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.892373,53.188553,On or near WHITE FRIARS,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
7343abf43f752e656a3a1fefa7480369922d448518b5bc8a432138241a3c9643,2018-04,Cheshire Constabulary,Cheshire Constabulary,-3.081220,53.295633,On or near GRENFELL CLOSE,E01018536,Cheshire West and Chester 001C,Suspect charged
a4f583244fc938a8a52fd05e3cb45c14e928c995c952711abd402ca7d3bc1468,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.731636,53.369338,On or near SHELAGH AVENUE,E01012425,Halton 005C,Investigation complete; no suspect identified
6bf48bd237ed6efd62b2e149aac16f911b9dc932128c95655548ab9b38dacc23,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.519071,53.377463,On or near HALFACRE LANE,E01012488,Warrington 024B,Investigation complete; no suspect identified
279faf59859c9811d982c98303924f8255d3e9f19e2bcb35d83bba3c788c63cf,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.538380,53.190769,On or near HUNTERS RISE,E01018745,Cheshire West and Chester 038B,Unable to prosecute suspect
b1820a200e04e4318550e53b8b3a88693ac073b60ae73fa922fa9373212d9bd5,2018-04,Cheshire Constabulary,Cheshire Constabulary,-2.828406,53.246662,On or near INCE LANE,E01018359,Cheshire West and Chester 022F,Unable to prosecute suspect
