Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
216a0cc0ee80b495e23242151abbdf811b3d7525ae42dde2e9ec1bbe468d8fed,2018-06,Norfolk Constabulary,Norfolk Constabulary,0.946630,52.678932,On or near Petrol Station,E01026426,Breckland 005B,Formal action is not in the public interest
c62e72d069151839a1a73b2693beaa6a9dcd3bbe70a684cf01850f752f95c1cc,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
73196fe6ef637396bfb46dd48843a11188c4f9a8d38d9c1bb9b9d613baad4f15,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given penalty notice
a2e3b670bb456d45ef278e5876889c1e33dae4a90394d1c1d54aea1f7b589c0a,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
180b2fb041ee2b7ba396c8b862228521e9f01c4b450d2223097821b617c926e5,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
72fd59b7a110122864e6868b9b42d4fca32d6c607a35646ac8a56207fab1a6ca,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.196034,52.726631,On or near ABBEY LANE,E01026525,Broadland 002D,Formal action is not in the public interest
b9349eb5a423b7ae54fdb867c915fb1da9c73d37dfcd52e5fec36597729d524d,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
084ab2d49588668d5dc7acafe95bc52cf25ac0910e8995a0c01db25ff3e9a33b,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.298836,52.629857,On or near UPPER KING STREET,E01033438,Norwich 014A,Offender given a caution
33c619bd4baa9009f9ee94ef174f19fe284aed29ad29b5e778069c937953c387,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
611836cd9e603332a94ba8118d57dabe9e426e069f27d9db17f700201bdcdaa5,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.310717,52.666408,On or near LONGE ROAD,E01026541,Broadland 009B,Unable to prosecute suspect
7cdc4cd8b242cbaeb68f01de080e46e487b9d403abb1dba11afbbf75400ccf43,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.303038,52.930519,On or near THE GANGWAY,E01026735,North Norfolk 003B,Offender given penalty notice
28c28dce1ade36562e7d89eed9be0cd5cddaef6771370a487b88a9460c68fa8b,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
5114dfe67b9ad73968a707b32f4a100fb4c6a6f151d7d7bd2c35236deeaf3cc0,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Local resolution
98976b6eb75d9465f4a160f4e8f63acff8868799db17d9cc55f16d68581abeba,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged as part of another case
1f62bb565c3eef520322e3157c79d48198ef839d9645afdbe8f0a252f3e4f96f,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
0c757a2343e9fd60f5de95226a2f60e119cdc33917a31875e7c558831dc047fd,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
2b7bbfc3ab875e5446ed91ab7c607715c9dea432ba88fcf191cb5695c1c48c78,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
edb44cbcbbe0380c2c74f9a5d1f3d82124bb5173e19614b80f3159756e9e50a5,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
49e65a50ffd504746e33266a414503492a1a0523d287383fbdce4a7c8652f427,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
9713deddfaf0f734d8f8935c38b5360ecfcba368e66997d4cf6adaf841fa3666,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.551507,52.638968,On or near NEW CLOSE,E01026497,Broadland 018A,Offender given a caution
592aff6f8594bdfdd833fe7ca39eb25795f57dd1e0418782e50247fa4013718c,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.105149,52.382599,On or near STORE STREET,E01026932,South Norfolk 015F,Suspect charged
1691f508d43fc97fffcdd9d393c538b684f4a6627a0f8d05599ed0a03ed3aae8,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
f1fff75df1ba7b5992750f72a3c1d0edb28ebe84e9419b5c936bc45b2b151e3b,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
d71e3a863c40b51cc048cff9c7f407471674a3739a99d23dcd67dbf356c4f78d,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
ec04893b40368ba6303775248e390b172d52f29fd1f9693828fd8795c25c3c96,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
fe9da3cf76104bbb75385c7e7f536ac3b68b1481162ad22c2dc980793f51fd80,2018-06,Norfolk Constabulary,Norfolk Constabulary,0.734862,52.420494,On or near GUILDFORD WAY,E01026467,Breckland 015C,Suspect charged
61db6d84a5433bd30921f2d92520b0d824519f55dcff2e1a4e267a72ef487d91,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a caution
43fadc62713819a3962757d8ae00c5d99d341f8008c8cb269449dfbc97638cf7,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
c33a2bbaf2fb37e857aefee8738e7434846ebd186624df7419eff5aa91ea46ac,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
2ec554345c2762d3ed6306080cfdc2badae171250769f500237acd81d58cf134,2018-06,Norfolk Constabulary,Norfolk Constabulary,1.271204,52.587976,On or near Parking Area,E01026881,South Norfolk 002A,Suspect charged
b4f1d16719016c51736e33bc4b519898355d6843d71b22f0a015fabc546666b8,2018-06,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Formal action is not in the public interest
