Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ebaab34ef360ece1e9b4d8d646bf79063e569a00ae4ac3b7b8ee362cfbf57d6,2018-08,Surrey Police,Surrey Police,-0.602821,51.203651,On or near NORTHBOURNE,E01030913,Waverley 005C,Unable to prosecute suspect
1afbe0d86dcc56c80356e75a8649e333ea6e4e56fc2beef1e90c9794727efc1f,2018-08,Surrey Police,Surrey Police,-0.370325,51.381053,On or near FARM ROAD,E01030310,Elmbridge 013D,Unable to prosecute suspect
b1daccd1783c2094bee63d97169cfd1062bc2c1fe8fcf56be9c19d0ad211e4b7,2018-08,Surrey Police,Surrey Police,-0.601865,51.199773,On or near ORCHARDFIELD ROAD,E01030911,Waverley 005A,Investigation complete; no suspect identified
29712fea58b5373abc5748a73624460682947143f2a4a383ac36174b472f8e2e,2018-08,Surrey Police,Surrey Police,-0.567655,51.239502,On or near DENMARK ROAD,E01030457,Guildford 013F,Offender given a drugs possession warning
a36e544aaaea031531ed15ff4db5efe450140f31e65a87a70fc39d8ebfa83313,2018-08,Surrey Police,Surrey Police,-0.368193,51.397758,On or near RAY ROAD,E01030335,Elmbridge 003B,Investigation complete; no suspect identified
d1282865cf439b17c7b16c52cfc6a8189aa2c6d0deb4cf0a6f2397ed66b503bf,2018-08,Surrey Police,Surrey Police,,,No location,,,Further investigation is not in the public interest
8e9c9d93f49bd410b28077a30630bf7635493ec619df3fc324d0de9739d26f7e,2018-08,Surrey Police,Surrey Police,,,No location,,,Local resolution
98554a0aa836e5ffc2b5713773451449981e74881650e9ea562d124bc2a73f39,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
832993c16b9846962bc7597e3803bb76dee4ac2497533607186d6747eb44180b,2018-08,Surrey Police,Surrey Police,-0.056589,51.307114,On or near REDVERS ROAD,E01030856,Tandridge 002B,Local resolution
dab3bb5c4f046503c9aaa107c9d8faa18efab0193bfcdfdbe6b19fc962427b01,2018-08,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
ad91f19a32dd5535766382209a2fe3a971bc5991a77707fb87d2e4c9798486bd,2018-08,Surrey Police,Surrey Police,-0.568290,51.237037,On or near HIGH STREET,E01030455,Guildford 013E,Unable to prosecute suspect
345260891b401895fd539415cd2381334742e2ae4d3ab3b55cce60cd2020f51c,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
5f81c73d86e5fbd8511aa764df2ff4cb59a12bd87bf7b6361e69d4fa76df8e33,2018-08,Surrey Police,Surrey Police,-0.574009,51.324908,On or near SOUTH CLOSE,E01030966,Woking 003D,Unable to prosecute suspect
f28ee1bb2e60a67c373efb2a501108b2457647463255eb18ac391c53836edded,2018-08,Surrey Police,Surrey Police,-0.082900,51.300282,On or near SALMONS LANE,E01030859,Tandridge 002C,Investigation complete; no suspect identified
8015bbdfb7e677c7fd16812486b95a15806545554fffe21d88e57e7fd1e66a39,2018-08,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
2b8ac912a339e79a68d0d6ddb85a42ca81342062289394e76a5f12c54273fad1,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
fa891c1cc6ff6b7e1b63c800cc278220cd3e74cda8aed6eb8e0f4e1316518be4,2018-08,Surrey Police,Surrey Police,,,No location,,,Further investigation is not in the public interest
179dde7e047755179505b7b50853246b16bc554c0f660a5404ba1fda56cd308e,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
58a05ed785851e2fec56cf5d58845ac1047108db0f469b55d9d31a7db7c2e3e3,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
3f736b8fc79554dda5bfff1f7d59fa6cefba502416a106fd847fc4097a2b3afa,2018-08,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
baeebaedb7bb272b15563b9cf0c7a80ab10ea7468fd31968bc7eb0a196ab3a70,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
45b6f2babaa3c8a0baf8ef3c731e87bf8932cb548ac8aa668dc0e64ff5cf505d,2018-08,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
