Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
62434fc94853ab1feeb190b06b44c415d322cfe7bbbcf92b2f6eccde0687b520,2018-09,North Wales Police,North Wales Police,-4.121585,53.115485,On or near DOL EILIAN,W01000081,Gwynedd 005B,Unable to prosecute suspect
6d05b7ae15aefa4122d9a60cc2553d8724e7f4e60dc9ee6e0b11487c1dddce14,2018-09,North Wales Police,North Wales Police,-2.971353,52.997792,On or near B5426,W01000394,Wrexham 016A,Investigation complete; no suspect identified
37994e9f3ee53673206c19e6112d2094a331d19115e447ffb4331519bd3822a4,2018-09,North Wales Police,North Wales Police,-2.988430,53.040234,On or near HAIG ROAD,W01000382,Wrexham 012B,Unable to prosecute suspect
47ca5c7bcbb832501c249b5a72832125f58f1c4960d2bc4d673c02502c54e11e,2018-09,North Wales Police,North Wales Police,-3.719111,53.290308,On or near DINGLE HILL,W01000144,Conwy 007C,Suspect charged
491f28ec9f25dd40345709fac8197cfadff247b22d7c529ca5a5de3ef30f001e,2018-09,North Wales Police,North Wales Police,-3.469940,53.288876,On or near STATION ROAD,W01000225,Denbighshire 009D,Suspect charged
f9172b2edffd2ef0a2d171e31e66dcc69f57fd08a0103ef19c9cd62b4979e04e,2018-09,North Wales Police,North Wales Police,-3.834653,53.317282,On or near TRINITY COURT,W01000169,Conwy 001D,Unable to prosecute suspect
ea2640a962800ac306fd8abb2b8bd0d091c104d2fdea521a5c5b46ec9121a4ac,2018-09,North Wales Police,North Wales Police,-3.727379,53.292931,On or near CLAUGHTON ROAD,W01000143,Conwy 007B,Unable to prosecute suspect
46beac67c004b071339c7954f14392790fa9f86545aa3b857540ec146843bee4,2018-09,North Wales Police,North Wales Police,-3.134634,53.248653,On or near SYDNEY STREET,W01000288,Flintshire 004A,Unable to prosecute suspect
dc17943004619342d46b145499929147295cac35cf8033f8dce60ba950b84c4f,2018-09,North Wales Police,North Wales Police,-3.463923,53.321303,On or near LLYS ALWEN,W01000235,Denbighshire 017D,Unable to prosecute suspect
f59577a6801da96912e98fb4111134e43737e21814fbffef38de7553a4d0554a,2018-09,North Wales Police,North Wales Police,-3.692448,53.291759,On or near CLIFTON ROAD,W01000128,Conwy 009C,Unable to prosecute suspect
59ce47aadb74cab582a10bf872a97cd2994c523e66c354a94255cab30a29680f,2018-09,North Wales Police,North Wales Police,-3.084505,53.165240,On or near BRYN MAWR,W01000262,Flintshire 017C,Formal action is not in the public interest
ac1d7e85db9c9adb34a74959a131f52c95ec2641755853153e909d1d3c21d984,2018-09,North Wales Police,North Wales Police,-3.013484,53.072556,On or near MAES-Y-COED,W01000374,Wrexham 003A,Formal action is not in the public interest
b514a64bc9ad1cd3bd49fed3149cb66aa95aa01a26a79632630e53b13608a894,2018-09,North Wales Police,North Wales Police,-3.077644,52.969359,On or near HEOL CEFNYDD,W01000354,Wrexham 017A,Further investigation is not in the public interest
4d1534265979056f9df4e974bdce2c46c8f53e4ae98073f833ae13474b1ff5a3,2018-09,North Wales Police,North Wales Police,-3.025073,52.982903,On or near A539,W01000407,Wrexham 016C,Further investigation is not in the public interest
f7bbd98c4e616e6b1c7487f63d3ed23e164944a3d0f845d6cbcb1c1172bdfb8d,2018-09,North Wales Police,North Wales Police,-4.262218,53.142816,On or near MAESINCLA,W01000059,Gwynedd 006A,Suspect charged
08fed8e228d7e25209225bc56eef55ab998b9614a5b8c500457824bec5599942,2018-09,North Wales Police,North Wales Police,-3.156940,52.925462,On or near BRO-DDEWI,W01001930,Wrexham 019F,Investigation complete; no suspect identified
612cbf0b9a45d7f65d57ba9339939cc63db24523672e0cfbef5d92cc3d8c31be,2018-09,North Wales Police,North Wales Police,-3.796685,53.262941,On or near PEN Y GAER,W01001926,Conwy 011F,Unable to prosecute suspect
f2361dd0c4173f3bf03516e610d9ded410be9ecddaf3031e8e890b7b4e7878d3,2018-09,North Wales Police,North Wales Police,-3.725748,53.294536,On or near SEA VIEW ROAD,W01000144,Conwy 007C,Suspect charged
5998c18fdec9fe288f47455e4857385dfba810c32379f9e1752d40acc3cc80eb,2018-09,North Wales Police,North Wales Police,-3.028453,53.185712,On or near WOLD COURT,W01000302,Flintshire 013F,Investigation complete; no suspect identified
d093f956380b00604a58ee7f2183d76951580d4c8ac113946eb4afe91de59cef,2018-09,North Wales Police,North Wales Police,-4.112750,53.227755,On or near PLAS Y GERDDI,W01000091,Gwynedd 001D,Suspect charged
8890601b9a5db4cc1aefc6f4182cd0311f823af3110bcfdcf75973325f8abb88,2018-09,North Wales Police,North Wales Police,-3.573892,53.284034,On or near CAE STALWYN,W01000140,Conwy 010B,Investigation complete; no suspect identified
1ccbbef5577c2347c52c2eaed6acb30d550af491c70172d0e351038252dee6ae,2018-09,North Wales Police,North Wales Police,-4.258604,53.051977,On or near STATION ROAD,W01000112,Gwynedd 008D,Investigation complete; no suspect identified
d94b08ef9e800e43e87f628cf9148ccaebde3d95f0adb870a14429e647c2b0a5,2018-09,North Wales Police,North Wales Police,-4.306075,53.259899,On or near TY N COED,W01000014,Isle of Anglesey 006C,Unable to prosecute suspect
49095b587d1a1ffe55a1526e25ac36c5dc46cf2b01167c7183c764e42a3163d9,2018-09,North Wales Police,North Wales Police,-3.793044,53.265153,On or near MAES HYFRYD,W01001926,Conwy 011F,Investigation complete; no suspect identified
c885f22791a55ceef1fcf2ff4ef37fd08e870d53fc5828e78fe6058881824805,2018-09,North Wales Police,North Wales Police,-3.057308,53.062817,On or near HEOL OFFA,W01000347,Wrexham 006A,Investigation complete; no suspect identified
d5cbe115ba03f9dc746ca98dc0dc966615d8df85fb85c01631dad6855761417d,2018-09,North Wales Police,North Wales Police,-3.036388,53.206345,On or near GREEN LANE,W01000336,Flintshire 009E,Unable to prosecute suspect
1aa998186c047dfe61125f3578a228b78d8a3075daa05fd7547fcdd8b24c16ce,2018-09,North Wales Police,North Wales Police,-3.826834,53.312440,On or near MAES YR ORSEDD,W01000187,Conwy 002C,Unable to prosecute suspect
d25adc405e11a22700732c0d3a4b9faec83edd38f654ed03e79f0902a08212ff,2018-09,North Wales Police,North Wales Police,-3.358613,53.337184,On or near BRYN MOR,W01000298,Flintshire 001B,Unable to prosecute suspect
c50107558e1c68337437a17cab825390079bd64f026d81068971693ff410519e,2018-09,North Wales Police,North Wales Police,-3.062160,53.221023,On or near CHURCH HILL,W01000273,Flintshire 007A,Unable to prosecute suspect
e0abbde9168357ab9d0af3f08f82560212fb94928017d20d0ffbcbb9966493ae,2018-09,North Wales Police,North Wales Police,-4.262269,53.137250,On or near LON Y BRYN,W01000098,Gwynedd 006C,Unable to prosecute suspect
