Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
68fd2ce5410d6eb88dff812831768a784cbb98a484356add2582b0863248cb88,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
d0e292202282c0ba4105f18f40f87337bfd527fa3d8767fb7fc417a8b80ab281,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
2be066b8577e09bf4beb3cbe7aa8c1561e60c5cae64cbdcd6d41c7ba3362dfcf,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a drugs possession warning
db36c7553da960732891a2ee4087a047df15d91ce9eb869b7446d4a6c72d5411,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged as part of another case
e24a9dfdfb44da4670ee059aedc90648ea4830d76f3ac328d933f2be38f66aa6,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
11f7cb8d1a24464a8abbca3e61ef2634ab03c02e671f862c53cd71ed651a82cb,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
5680cc4a44accb3a9e669065392cbab391f5da0e6c3eff489f9a540042511799,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
44fa2f6ac3eb7f7ca29e07e4edd1b10dbf3796337cfbc5243fd9a702a910b6fe,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b49375d3aeb1b8d2457765325d5993dd697b5da648466c790ca870d9abd743e2,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
cdd0a5302a8a7fda14ec33f628e100cf08186a3d22ed1b44429c25cc3e64fd99,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
3b25ecbfd77aa6e889e6a074749c1e6a6124697d2cb8c263c5993529460383ca,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
3d7d048031196a977b12d1edd44049e831965e249333af8880fd597eb37e9c24,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
9e9c0b2facab7353a90cb884921653fd3fa654b0f567be98e445b79cf664a3f5,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
8c207f51f4bc9f48a663899f11c231d326f78d33f4f580b9a0ab7c944659af83,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
290345cb3a9ab17f225aa0766594fe7c9985b3b01d020efcdb99524a9e7b6d49,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
6ac10bff01ecea08034baf4a1291a14a7c1a1487cce5ccb4ca6783f9a1a3058f,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Further investigation is not in the public interest
927365e46199879d725d3d3bdf209a7810bda214740e276e89e367af469006da,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
ef74e950ed4680a7e207b6725631b7f7dc8e89bbfbb362dc4bb3faf409779e82,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
6376493950a58d4f76609d2664a003673076890d59dfc7f1a7a5c5b4c9353744,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
c54893042e10164779155808df71100d2ea0444aff3df0265e401790410855b7,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
ba56e586e657290082490e1586601120f6433dc9fbd0939ea9df31314c88d992,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Further investigation is not in the public interest
ebba3a0b83df5d7e1ca1c69dba22c62c0b4691d9943f7ae66a5371c5ddaab9c2,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
8f2955e5569b2ae87f5bec55ea7187f85a33f20d5a4e19d06eaff822432a22a7,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
8c32277f2b34a61c864277e186068398b0bc6ba9ab7cb4e0d1248b721f9390fa,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
4b499df102ad07983e4960e562c6cc3aebfceb53289738ede7e990e423abf3e1,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
c8f1a58c8c5bb6c207a7b9a85153398d84530c11fbd626b2f2a384bb52f5c852,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
3fb06a3f61340f4e7bcd1fe95f6927c0eecd1d4f37710a48bd7ab9723ef69627,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
4c491eaf357debf6509ea705bd7690ddde897caad3affd5adb513208c6a8dce4,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
198b658dd698c018cb2bb0a9cf262e0cd33107d0bb44330793746a955e5eafbc,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
5028e0e895dccd4ec35c047122bb40732eed3cdf99725edfb08ff009a0d44aac,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
21f604e476838a673f4c8d8ce7121127b43c72f1e7a3124939205640de24d7e8,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
2555427f0a3d300a3c5871e6a8a93ba56e7aa8b26b1caa132850aa0b5343f1aa,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
3c3c778cec0693ef212f4fffedee75135971405dc4b3567b3236bf33415bf5f8,2018-10,Thames Valley Police,Thames Valley Police,-0.742593,51.762730,On or near BACK STREET,E01017726,Aylesbury Vale 024A,Unable to prosecute suspect
36099d717cee2c521fcfea6d20b9cca4a500fbec98f940f35054ef7b0c040406,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
9460798aa300ef239ac6961ec5cb5bdf846fb9168012856a8d1eebca64aff9d1,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
2a6a441e5e4b27e970c1100d291076fc083879010ddfca435403aa947a46b90d,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
ed339447d6a9a5001108ce79f32d082e8670a10112018ab06e0e557d74f475ba,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
c97ada367e133a625210f997506d21cb46a7ab539735980ed4fd006c2ecd4f3b,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged as part of another case
1916c39e9ddb538b0b0aee83c0f86455450499a05b5af1d0b8e0ed0f8b7cb6d3,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d8520399e5785bc63b7958d2e3f7013d3f8642f99e6e7fc13ec6468e08ec037f,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
88d0fbc33b915d5a6613b3315cf95df7939a17fe61656eecf171c23af78fc304,2018-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
4da64e36474ec09cfc9dbcd23e98b7b2fcd89b48fb6d90ce8605c56f1f417738,2018-10,Thames Valley Police,Thames Valley Police,-0.762703,51.572247,On or near FIELDHOUSE WAY,E01017897,Wycombe 023C,Unable to prosecute suspect
