Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6348cd6a58e738de4faeccbeecd84edd0c0ed5e617d4e2eddfdb62fc0a96d3c4,2018-11,Essex Police,Essex Police,0.232384,51.482696,On or near CHURCH LANE,E01016014,Thurrock 015E,Suspect charged
1b2c9e4bd44b3a26128dfe8f225a814dabb7684bc6d0deb1a737983edd645ee2,2018-11,Essex Police,Essex Police,1.145785,51.794898,On or near WARWICK ROAD,E01021970,Tendring 016A,Unable to prosecute suspect
62d5b27ffc63cfded88718c43ca7a07b2f493f2321aa673fb4d7e7c2e336d618,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
e098967bc7787a7da3221b2f925379739eb131723f0b301e4a02d468cb4c7c44,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
1f11b2683140894feb5f3076880a0072c10adb651f15c83315ffe95019cb7b77,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
301592573f3b254443377a8378cbf0dde10cdd956dc945447aa8865015a2c8ad,2018-11,Essex Police,Essex Police,,,No location,,,Suspect charged
067ced1b5fdd296649068835e2f8571499c6bf21d480e96235da6fb254b15cfa,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
156baa480518da20765b662d4e0290e7678cbef0b05b8c5d36416c4e721f55d6,2018-11,Essex Police,Essex Police,,,No location,,,Suspect charged
7d49cd51702b9988d6acd92c2a8de5ab4eed04f7634205e370e4d08939005983,2018-11,Essex Police,Essex Police,0.644337,51.568676,On or near CABINET WAY,E01015834,Southend-on-Sea 001B,Unable to prosecute suspect
792378eed53a707a65af8aa0287e5c7b805537c422743d3e9d5375111008ea40,2018-11,Essex Police,Essex Police,0.528309,51.857739,On or near BRANCASTER DRIVE,E01021386,Braintree 013E,Investigation complete; no suspect identified
e58d0559d92b299e01c01b3564e70fecd98d645d3ed206c49120cdbe9a7ee7dd,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
ce8f6dd0952234a200941a7cf22a6b53ada5528df3f731fb59b20882786acb02,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
0c25dafa1efbbdcaa717c671800fd1ac3bc4f000a644811f565fd0e707c8830e,2018-11,Essex Police,Essex Police,0.111105,51.699284,On or near Nightclub,E01021762,Epping Forest 005C,Investigation complete; no suspect identified
e171e0f5f552b4352a359dbe7baf812f4fbc30aceaf6f4710a959f37f43674f3,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
12eeb3423793035e99cea4343c6dab0577e0a59f70be38d8dd5f004065726a59,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
ffb9190f9eaabe8495df0411a46622526066bef2bd8bb01af3b871534b4cabe8,2018-11,Essex Police,Essex Police,0.493487,51.577880,On or near CHICHESTER CLOSE,E01021269,Basildon 012C,Unable to prosecute suspect
7b94835360140ccb83a71e1d7da8be9ee2476cbacf468661253a4a9b7aa1416b,2018-11,Essex Police,Essex Police,0.679909,51.545583,On or near LONDON ROAD,E01015832,Southend-on-Sea 012F,Unable to prosecute suspect
74040eb40ac02749b1fb6507c431fc3af039c00edf3ee765d35aa66107e9f06e,2018-11,Essex Police,Essex Police,0.534337,51.616809,On or near SEVEN ACRES,E01021334,Basildon 005A,Unable to prosecute suspect
6f1205bbc2a8b2ef6721cada33891b62bccc891b53b3976d0268144407849cc8,2018-11,Essex Police,Essex Police,,,No location,,,Local resolution
2790e8217a3b2a63df416782c551cb620b07a2c4c11f8787f30b30ec518b4043,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
310bfc3a3368664c1623cf857ebeb64d8f0528b007ca37f11449903b1f6db783,2018-11,Essex Police,Essex Police,0.471483,51.739277,On or near MARCONI ROAD,E01021574,Chelmsford 010A,Unable to prosecute suspect
5f13c31810b7852d000c4ce10a1f20d34ccfc615d05d0b6d10a84f3e4da261c0,2018-11,Essex Police,Essex Police,,,No location,,,Offender given a caution
b3c18aaef481fcaa87791c53b1edb24b7cf12248d55dd6955afea1f74e944c2a,2018-11,Essex Police,Essex Police,0.473208,51.727370,On or near MILDMAY ROAD,E01021579,Chelmsford 012C,Unable to prosecute suspect
334e31925df0d0aab2a0885750df32f6dd5d30860879fb66a5125cba41ed1493,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
0ad7d18457e13b70f13b9bc58ca509f084a3e84c317e2160f662da19502cbcf3,2018-11,Essex Police,Essex Police,0.445269,51.519341,On or near WHYBREWS,E01015985,Thurrock 003B,Investigation complete; no suspect identified
fc6cb596d310cf718c5103820cff681612e37838d7886c87852a26318a7e1d29,2018-11,Essex Police,Essex Police,0.107473,51.770255,On or near WHITEWAITS,E01021852,Harlow 003D,Unable to prosecute suspect
f1670692a0cef79b20976c88848a2cd0728a473b80a44908062678207482c107,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
0b743b8de5b4bde14deb11d843ebbd423ea8ca7e4ffa54f43d048628c74ddfba,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
57caba1bba2e09563490ee8aa83cb4fae7a61253f044e326f6cabf807c4b9b0d,2018-11,Essex Police,Essex Police,0.914653,51.780066,On or near REYMEAD CLOSE,E01021734,Colchester 021D,Unable to prosecute suspect
533635b0c7ca1abf6d51202328b93ad5f8de087e0ae2893c4826be36aba474aa,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
8b57c34d61462dcf39c1e5e84e5ffd8d163dadef9c16b6b054b6d408601fa37b,2018-11,Essex Police,Essex Police,0.337526,51.622189,On or near WIDWORTHY HAYES,E01021456,Brentwood 009D,Local resolution
2aa587a22ef9aa17aa1f6832c53ad8740436ec2bfae401db334e21a69461a2a4,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
c9abde7b65749362bebbfaf8661b69563a7038c9fa6d61b4dd012fd69e5d8c70,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
1dbed4a21ffcf852ba3e4ef46562e189df6293daf531deeee8409e37e1ecc804,2018-11,Essex Police,Essex Police,0.593705,51.520379,On or near OAK ROAD,E01021498,Castle Point 011B,Investigation complete; no suspect identified
b58f33ecf222c332163216ed4663b34ae60f6cb51e2f839cd7a6b32fcdb7e81c,2018-11,Essex Police,Essex Police,1.019060,51.823820,On or near HYTHE GROVE,E01021983,Tendring 009B,Unable to prosecute suspect
2e275cd8ed9d31cf3032d151049732837aa2e8dbd05574d49a80e226217d6dc6,2018-11,Essex Police,Essex Police,0.681527,51.727853,On or near BARRELL CLOSE,E01021889,Maldon 004A,Unable to prosecute suspect
31a45b5427bdd403173d1a484ad3e82946f5a16e4456f0d69ee75046bb4eb1dd,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
6dd50f941493fc79edc96e9d70187874ac159c3031256fb217fd7fba88fda11e,2018-11,Essex Police,Essex Police,0.375056,51.492519,On or near RAVENCROFT,E01015938,Thurrock 012F,Unable to prosecute suspect
182726a476cb68d57ab5f348abd6092434e5e2d56f53f22470cabda7164c366d,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
da9f36c6ac507b0a55f8132f74d4bb0dec43b3385340dec5b1d94c55c5dbc197,2018-11,Essex Police,Essex Police,0.092427,51.778698,On or near Parking Area,E01021843,Harlow 004E,Unable to prosecute suspect
c5ba23c93b20f011054503c825306622acde0ccd8cbdb020847cb277b233ce81,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
d7e771634369d20153aaa29e6cd1dd1a5c1e39966915a688a6ba495f73a44b72,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
0d58cbe9301c7c91a0005cbc13601f4de66e0a7d4b2dbf083b9cc22265f61ec6,2018-11,Essex Police,Essex Police,,,No location,,,Suspect charged
ba681eef0f78416edf0492d1e30780eebf4c76bf1ddc9a02deded26d60ef616c,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
84d5058adcd54497163f50687685235ee75b6e19325a5a7b15c2c737c5a9dfe0,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
bd3527341b4842f769f69b0cc611c59bd02065302a12e63a054370f4ad7dc8b6,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
8f535a2c514f69cfef9a45407ec39096ca4de59bb66ff0ce4949e5f2a85ae306,2018-11,Essex Police,Essex Police,0.422057,51.693723,On or near A12,E01021602,Chelmsford 018B,Investigation complete; no suspect identified
7998e092f831d4fbe612a76ef3227290462fa6b35b53dada3f6af7ae9d249c3b,2018-11,Essex Police,Essex Police,0.039203,51.617634,On or near FARM WAY,E01021748,Epping Forest 015G,Investigation complete; no suspect identified
417045eb388e1075055bd59946a8510917d25cfb6b3be0fa7b73bc37f9034e04,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
f83e590a5dfcd022cb3d09fb27ca90d745d52d862aa483608ae20b4f40276ecf,2018-11,Essex Police,Essex Police,0.932614,51.876931,On or near HAVEN ROAD,E01021664,Colchester 016C,Investigation complete; no suspect identified
14c9f318c9a0a75da36559053c4d2b031c22ff708cd5642e17bdfb4ed7cd28cc,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
e99d326116b7e360149d579fa82b0b060f45c2626096f266cb3fcaca66075d82,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
58e137ccc1a7958206009e8940cad032109deaca19cbbb8d54f1ee3a47baf4e3,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
ffcc6377c35268dcfb294a004af75ddc723ed251aa7824b4f364bee6f4cbef63,2018-11,Essex Police,Essex Police,0.703342,51.540125,On or near LONDON ROAD,E01015896,Southend-on-Sea 010B,Offender given a drugs possession warning
861d461a708c4c877e370441a84d32180bbe8fb532b15fb56d273d0df767e2f0,2018-11,Essex Police,Essex Police,,,No location,,,Local resolution
1432c38184042fb1fb4cf1e8045e7b1c8a0d0ea5bf14114477569a9486b394fc,2018-11,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
ce5dbe83d4a2d9a094dfad17273171367b669748f81303b42087453a0e532fda,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
21ccb3c901914b93218526d6f5db842b3c25bd3ac4e1bb4515be47ea4fdb04ce,2018-11,Essex Police,Essex Police,0.410154,51.634173,On or near WICK GLEN,E01021246,Basildon 002B,Unable to prosecute suspect
5b10c64a25c2f54e849f6761567d0e4c5b8d40447d71e554fce714ad158c5679,2018-11,Essex Police,Essex Police,,,No location,,,Local resolution
5dd8d8ab2a215f25a23b425b9b6b5af9ccc1a57456e62af618b6ea638f5bd61c,2018-11,Essex Police,Essex Police,0.597239,51.559152,On or near KILN ROAD,E01021529,Castle Point 006D,Local resolution
0491d8e99e2f8abafb8f7b45448de474f55658380dbe6abea19e02de956d15a2,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
441c18c514d448d3c3f417bad9b6c156b28ba5a8a8a0e6087987300bd30c124a,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
87581a5613849dae896a93e020a3aa8fcd480eaed608cafdd06f5a32f91fa42a,2018-11,Essex Police,Essex Police,0.502257,51.829788,On or near SCHOOL LANE,E01021538,Chelmsford 001A,Unable to prosecute suspect
7be5bea437af02028879e358106403ce2ab556bfc61bfcba80a5b2760664a95c,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
d49f1ad51f97ee6d95930fb620dfd1c702b80b7da1118e07ea1611725f1710ac,2018-11,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
580ddb3e8b08233fcdf52ee869c9bdc04c0dbcdc5b444f47b889fc08e0194372,2018-11,Essex Police,Essex Police,0.293549,51.489465,On or near GILBERT ROAD,E01015982,Thurrock 019A,Investigation complete; no suspect identified
75ba8481b16eca58f8a77c9529848e306fc4936285003dc865c2a3c1b3a053f0,2018-11,Essex Police,Essex Police,0.388403,51.756437,On or near A1060,E01021550,Chelmsford 003A,Unable to prosecute suspect
d4bb5cd418ce88f8808e5b3ef6eaa019f382139ef02c6905a2640dffe1bc2333,2018-11,Essex Police,Essex Police,,,No location,,,Local resolution
7a82c349f553845872e424a2789d5ee3ae7684366dfc110772bac4a07c1ee3e4,2018-11,Essex Police,Essex Police,0.351940,51.464935,On or near RUSSELL ROAD,E01016003,Thurrock 018A,Unable to prosecute suspect
