Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
732cf399032ad6d8df0f0cb1e8fecbfc0e4629c9ee85c143cbaa19165ddca943,2019-02,Durham Constabulary,Durham Constabulary,-1.322758,54.788222,On or near B1283,E01020752,County Durham 025B,Unable to prosecute suspect
3d8b54fb142f8fdcee2a5a3d9d47639339ef0e2a57de41d0fe4889845a245275,2019-02,Durham Constabulary,Durham Constabulary,-1.591623,54.615694,On or near LINDEN PLACE,E01020846,County Durham 063E,Local resolution
af85b90938dbe95fff3a5122931c0791c2255e033a3dbff3af1f99f9a75e9530,2019-02,Durham Constabulary,Durham Constabulary,-1.559597,54.659060,On or near DURHAM ROAD,E01020803,County Durham 053B,Suspect charged
f454d252ac9fdceb9c55f967d7888dc55ddebb9ca4973f93e1cfcab19038eac6,2019-02,Durham Constabulary,Durham Constabulary,-1.538770,54.525492,On or near RENNIE CLOSE,E01012342,Darlington 009C,Investigation complete; no suspect identified
ec065920f2a7cdff6dbacd7971a61f2d3235cf7ddeb145ed2cd7e132553cdfac,2019-02,Durham Constabulary,Durham Constabulary,-1.589364,54.704718,On or near WESTMORLAND CLOSE,E01020818,County Durham 047B,Unable to prosecute suspect
329c8f0441b8875942a6e45183683562119b6d044a69f42025c418df6e7f6a63,2019-02,Durham Constabulary,Durham Constabulary,-1.291831,54.749726,On or near EIGHTH STREET,E01020739,County Durham 039D,Unable to prosecute suspect
01aa60b1b9c8a5ff95131355f3d9a82fada2eab12c1167abffc8bc5dd0881461,2019-02,Durham Constabulary,Durham Constabulary,-1.557816,54.545972,On or near LONGFIELD ROAD,E01012352,Darlington 004D,Investigation complete; no suspect identified
b3f636555b98e7a7910e9ca2dfb8194fbfa9c8d1c6ab1fc01de00e968e647e56,2019-02,Durham Constabulary,Durham Constabulary,-1.291831,54.749726,On or near EIGHTH STREET,E01020739,County Durham 039D,Investigation complete; no suspect identified
2ead10a586568161c3a621bbd3f5b8eb7e9aea3d2e080baf492f720bcf398e0b,2019-02,Durham Constabulary,Durham Constabulary,-1.521632,54.788558,On or near POPLAR ROAD,E01020691,County Durham 028D,Investigation complete; no suspect identified
81fd283d8ecd014e2adc2a89bc1265b230b512e3918f26534aed88fc97da585b,2019-02,Durham Constabulary,Durham Constabulary,-1.817510,54.841179,On or near DELVES LANE,E01020651,County Durham 012B,Investigation complete; no suspect identified
938e33125dddce8fe6b21780e35423f831ae841a7e951f78d4598484b265f498,2019-02,Durham Constabulary,Durham Constabulary,-1.286921,54.747118,On or near CORRY CLOSE,E01020738,County Durham 039C,Investigation complete; no suspect identified
5a6552ac9d1fd6f68a8277f4e080439495e1ba7a5f353c67b610a55d29e53855,2019-02,Durham Constabulary,Durham Constabulary,-1.342064,54.768576,On or near BRUCE PLACE,E01020759,County Durham 032E,Investigation complete; no suspect identified
a8fef3bc8f6a96885caea66a3f5bc5e9f3c9b204f3198eec34cd7b34f408ce64,2019-02,Durham Constabulary,Durham Constabulary,-1.575167,54.777236,On or near SILVER STREET,E01033164,County Durham 030D,Investigation complete; no suspect identified
0c28e672cb493fae0ae7f432c4322ef7d7ab5c34e5b69b128a1d9f72459bc335,2019-02,Durham Constabulary,Durham Constabulary,-1.573835,54.852242,On or near Petrol Station,E01020593,County Durham 011B,Suspect charged as part of another case
88ca4f7634245a8ce681dc235688717cabb1fadefb7532a5aaa7ebebf40e350a,2019-02,Durham Constabulary,Durham Constabulary,-1.579469,54.779138,On or near FRAMWELGATE,E01020702,County Durham 033B,Investigation complete; no suspect identified
49cd0a91b08505901bec4b4453d761c3f313227c8ad80350f0e3d759568f8285,2019-02,Durham Constabulary,Durham Constabulary,-1.324003,54.773248,On or near THORPE ROAD,E01020765,County Durham 032F,Unable to prosecute suspect
8e61017b5499617ef06b297c8e4a303c86b1d825957a291030cb91e091af0950,2019-02,Durham Constabulary,Durham Constabulary,-1.591419,54.617482,On or near WHINLATTER PLACE,E01020844,County Durham 061B,Investigation complete; no suspect identified
2230f15ef1f8133a3ac3ccb1a4917949a98ac3d2bbc54c8a03f589180bf4d7ec,2019-02,Durham Constabulary,Durham Constabulary,-1.513409,54.554627,On or near BARMPTON LANE,E01012366,Darlington 001D,Unable to prosecute suspect
3efba3953a6ec03220d3abfea3438f18f389ab95b5db28404848da10acfba6bd,2019-02,Durham Constabulary,Durham Constabulary,-1.521043,54.540458,On or near FRYER CRESCENT,E01012326,Darlington 005B,Investigation complete; no suspect identified
a3bd7285c155ae3d1700e0a37fa4f4115a16ae9b8c9d0e2fa7f39bfcfb3be02d,2019-02,Durham Constabulary,Durham Constabulary,-1.846898,54.798525,On or near WEST LANE,E01020646,County Durham 024A,Investigation complete; no suspect identified
e5a3befd68753bf7158a0447c6a3f6d49901ff884c13684df4a8bb8bb16ccd7d,2019-02,Durham Constabulary,Durham Constabulary,-1.602368,54.698390,On or near SILVER STREET,E01020836,County Durham 052E,Offender given a drugs possession warning
02f13d80801003057fa47ad4addbbad77d056ae170c51f50501afda2716a6608,2019-02,Durham Constabulary,Durham Constabulary,-1.498100,54.714655,On or near GRANGE CRESCENT,E01020699,County Durham 044C,Investigation complete; no suspect identified
062b15adcc7d833e6800a525b7273a5602de278b13dbca06e18a065b8cfea5bd,2019-02,Durham Constabulary,Durham Constabulary,-1.555164,54.526811,On or near Supermarket,E01033484,Darlington 008F,Suspect charged
45862d6fc2bc31d400a0a6a84543fbf1e607ebefff437032f87fd1049189f69b,2019-02,Durham Constabulary,Durham Constabulary,-1.315558,54.763325,On or near EIGHTH STREET,E01020764,County Durham 036A,Investigation complete; no suspect identified
cd61a505be017aedf5d2fc3c32e7bc0311cf0615784301e3e9dcdd05c366c374,2019-02,Durham Constabulary,Durham Constabulary,-1.748317,54.715298,On or near NELSON STREET,E01020877,County Durham 046A,Local resolution
e09428bc3f8e524e198363f0d5b38b6141cdd0e511af93f26dd8e7f2a8a3b233,2019-02,Durham Constabulary,Durham Constabulary,-2.017632,54.748187,On or near Hospital,E01020890,County Durham 042B,Local resolution
