Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
86dfb79dc78725cab45dd396e616833a6a886099c50662c7d4b85c59b96577e2,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
58f7f03e475bf28ac19bea882d12447ab186c67700290cedef611c7267a0b367,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
71a7edbca68dbee1418f6cbec434b5aad2890b8d36750ae7b2bfc6b0fb1e30f8,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
d793027be89052bb20469d1401543aa9bf4827272c57b0944587e84d9327a0eb,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2a3d23e62e430f16099a744f95a4986ff1df8c4d93b2c64c1af76c185e8081a1,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
ef9480ad25f6e872094a23b667f973cd41076ec573776caddac0ef65837ddf0a,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
38cb6db62372142a9dcda333a88f298fc0772165298bea2f077fafe7cb636397,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
8d959de42f2244861641b99774094abe983a8f57e14fdf673b9d5673fecbae3d,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
fcea24b603687ea743e675f74e3dbf822e8970893acce7c19741e852cadee83c,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
5adc456c58fe0a8686790a9648ff6d663068019a1be6d789e3e17529b6e47766,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
17bfad38ed6c701f3813021c8ebd18e381116c52a58dfd680b3176f69befbe7a,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f16adcb3db46b25e7bc763fde126fe9cc67d6992b66835c18559552cc5b3a63b,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
7f87de5fc1e071d45749648684838eaf7e1e68c38f3f6b357c43687190e2ca6a,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
64c5ee05c54ea4f511c9c054625f01fb0405d4a0a311aa9774468b35ac708edf,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
b51b93d8ce8d11b67a5310abc9e5b806ce0e6c04615b0c458f97d5abadb2148c,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Offender given a caution
eaae945b71793369e025039ef81e06cce12ee945d873030f811bb3a9c1cc1f53,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
04a52e40868b1271593787ae6c2e799c5cf008adc15549b06f3550a53a1730ec,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
419a2a2667c41aaec40ec4489df6f633732ab0142f0907de8d73e6676fd18399,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Action to be taken by another organisation
066da625c14d7fa4373045432363fcfb2753c847cae20f3bc388878c498d72e2,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
7381bec1e9d82df2f90ab3124080309e0598dae79550ce65a28671e5a7ea655d,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
1a00f243c99460975902c384c72f6de10d636ffd3ac7e7998fc723c488fe4334,2019-02,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
