Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
05576ba0c510ef1324eac150ef3f1d74e58c86cad16e0a7c28cc8a0847e92f05,2019-04,Humberside Police,Humberside Police,-0.434710,53.723303,On or near THE SQUARE,E01013011,East Riding of Yorkshire 036C,Investigation complete; no suspect identified
9c826d546b6225f2548faae4e7e09a1d58458cc3213b9048d5d5ff7f98e4ad07,2019-04,Humberside Police,Humberside Police,-0.359276,53.766503,On or near TORRINGTON STREET,E01012868,Kingston upon Hull 015B,Investigation complete; no suspect identified
0a0284ac86bda9bc5e706d26daf6b6e5a4fe4e4ab04ef8f5b8dbece69c5b1b77,2019-04,Humberside Police,Humberside Police,-0.049089,53.564280,On or near STANHOPE PLACE,E01013195,North East Lincolnshire 005A,Investigation complete; no suspect identified
dd3285a0ca0de03217eef413675100926cb561a10ac288067d14e35a11eebe99,2019-04,Humberside Police,Humberside Police,-0.507576,53.790661,On or near THE CLOSE,E01012965,East Riding of Yorkshire 024B,Investigation complete; no suspect identified
13143e07d328c642f77aa3b87b03364fb49d58c5117f202f67d5156d819e99a5,2019-04,Humberside Police,Humberside Police,-0.078919,53.573789,On or near LOWER SPRING STREET,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
df013e16e1dab86af0143d8c2c2134e64deaf7bfed2d1fc811b694b057b476f3,2019-04,Humberside Police,Humberside Police,-0.267376,53.777210,On or near CAM GROVE,E01012840,Kingston upon Hull 009E,Investigation complete; no suspect identified
22e3efe82361881c85b76e09809ab8f343effd06bcd3b4eed3b1ac40fdb00348,2019-04,Humberside Police,Humberside Police,-0.897099,53.816853,On or near B1228,E01013022,East Riding of Yorkshire 018A,Investigation complete; no suspect identified
4188f0085ec07fd585ef9c703b70f5a96e85e5a6fa9398586f7400d72f9ec9e8,2019-04,Humberside Police,Humberside Police,-0.434058,53.841518,On or near GRAYBURN LANE,E01013062,East Riding of Yorkshire 019E,Investigation complete; no suspect identified
540256b24ec099a30fe03b06c91ddce3f5fececacb6064c7bfad6da5e0a08240,2019-04,Humberside Police,Humberside Police,-0.397645,53.738230,On or near BOOTHFERRY ROAD,E01012771,Kingston upon Hull 028B,Investigation complete; no suspect identified
7195599196183ddc37904e44e4417cf173bebbe59a0e492b142d32531b4b8d8d,2019-04,Humberside Police,Humberside Police,-0.402341,53.735955,On or near DEWBERRY COURT,E01012886,Kingston upon Hull 031D,Investigation complete; no suspect identified
a0edc42bdb9112313bae205f617376df23b31a34e2881a15c88318474970dbbd,2019-04,Humberside Police,Humberside Police,-0.372603,53.764392,On or near CHANTERLANDS AVENUE,E01012793,Kingston upon Hull 014C,Investigation complete; no suspect identified
