Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f3a92f10dd160bb65742c48ffd95ca86d3b87af75f132f0090deab56c31b254d,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
2b2d5414dd5259f75b5d5d3cd581a2bd0cd045884eac12f38ee9f0aeaad0f664,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a3862aaa122f721f0499d72b92416acda89cb261bdfb76c1f5ff56d70aa4879f,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a164cd2aff752500f89847b1c4dbf9df0b5e88bc0495b2a2a44bf09eab3ecbb8,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
262bf4dde2be787e5d1c4bfb16f89248e7d07eb034d17893f2f09f4b9ed87e60,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
37ceabd78d4f442ae177b69167ebb0c7bb70497493deed031d380bc304c63960,2019-04,Lancashire Constabulary,Lancashire Constabulary,-2.696184,53.761008,On or near Parking Area,E01033223,Preston 017F,Suspect charged
250688503827883ce208573521761a94bd69c9c6697665eba17895b61541d25c,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
46139d0fe12ab9b0da4fa8b4780ce3edf2912183b677344a64b82efa98c6de3e,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
ac52806c93b83a896e61b0ac7969ab5d1ba41f5b3f465522f664959319261558,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Offender given a caution
3ca37b3f9e673dcd6b6cbb56b8dd41ec50af9a4d6f986d50d1df04bd9ad0a6d9,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
25f4d778861dccf817cabc6570ec0a06740c2fbc755c6d352766636630e7aac7,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
66810142f82f69a219cb6aff24bc00358778849d22825f5b48ccb1b7b5b17945,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
81674833bb7fcc35b2b0149247cce6b3fc95bffeb1cf32ae3c739ba33e0af59a,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
dad18d227eaae22060e08f160ac1f8fc4cc23ef8514a1115507def9c63ac7536,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
cf6657aaab91f763d6feedd92a3f4e7a72c3fd6d0fd273a54e5361117d4eb2bb,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
815f38731f4eda164753709a954d8db5eade0ad19f038d5641800f3236c712a2,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d291e0640852c8f3e0bf0f31c13878c1a9af548444004e34948ef376122cbea6,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
bd2d50098471bb23eb749f706428a8e7d4a06169a57d6a2406cfb2b3f80230c4,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
f8c40f4e24fe07bc1e3b002bdc0ebc969b60ce732f0871cc7f88c8bd5178fb4f,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
e9ec712f768e186fa6d466c9bb661f8c85f648ba30aed591c5723c532b49ce4c,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
6b464abfd834f0cd4af4430ceee48223be22fe2c617e850854b3a0a772df35f0,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
61bc96bb40a95989ad88820d566cf6f82cf72fd5a4f5c1d45818512400e297f1,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6360a6b57adbc71cb7f4778e243e56c9c52162bdf3ca0eb6fdcfa66a1ba76070,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Action to be taken by another organisation
2da9f5e8b2e7c4bf6842cc24edd2b6a032df9b5f4775f1cf8801a8f5f65f01f4,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
327826b73e26f33996aaca420aad2a96f9a7345eb6093a01af2c2839a5628438,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
3941e568068a0d78e7fb783ba388195c0a6da4442661c6a6e8a610c6840b02f0,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
20985bd68ee03de0e41d8da4c99989188c3a820c86116c0805414fee11958127,2019-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
