Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f332130f000695b6241101e1ddd48dd2ff2be8e43c7e9b1c48f5314da8f14d35,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f5b3e50506c7e5e425faab18e6642f63f4346836fbed62c13d8f7fcc296967e6,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
86dc09e4cd7609039c5a5be5ce776e3eb7f2252ee4094b47fffa002dc76b1e60,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
c5586f0f5dd2969b6ea01dede6ec0ff9b83b616eedbbd2f5ef54b514854db99a,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
0e757009d6959b02676091623d1042e92a82ea065ac6a265fed2a0ad9ea99020,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
e6ce3eb0770758cd0bd97fccfb7f3285d1f6c103474bec4749e5b60c8b4d3ea3,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
690e5fa8c96d279b9c84cbadd33e3d0c5711749acb28792c4090d9b6d32b3d60,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
38d2b075082616082d7dad9fd9911e1813f9fb0dba204cf92a1b50d5f6d36fca,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
1d4f39b9aecc7b299896113dc18894f51ba6e85ea7aef97c60100666acd7c79b,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e46206bb00b786d2c7e646f7dc8f2d48575762ff64cf2e08e802152caee7f378,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
7ca7dec234738d7af7a00c2abf9afcad7bababbd9d5592aa84dcfd66f49c6684,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
01065a0193464e2161a2977916b6b16b20238a11da52032d7e183b781bb92699,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
dc0bc8f495a95dedbb3cfe9bbb9747cfbca5ea9e37e2a7eacedd3e51e47d4d66,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
a234cee751827bf014c282d30b5786411cb575ffc38ab2467286b95813bb221d,2019-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
