Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
62c6990b0806b83210ebf4d245e425c14ab36127e70d18ec6e9fff6d94128383,2019-05,Kent Police,Kent Police,0.306449,51.290417,On or near ABBOTT ROAD,E01024725,Tonbridge and Malling 006C,Investigation complete; no suspect identified
d8f62c7bd1b1880b3bdb014952a931240a4da334a874f8f2d7826da666dc7b6f,2019-05,Kent Police,Kent Police,0.212909,51.443073,On or near Pedestrian Subway,E01024182,Dartford 003C,Action to be taken by another organisation
1427b4ccfaa032f24e9e64650eff3335f921545234937e6b23dd4772d3123b4f,2019-05,Kent Police,Kent Police,1.292641,51.139531,On or near CRABBLE HILL,E01024241,Dover 011G,Investigation complete; no suspect identified
44e97567ac331f8d78e6ad628891f33fee46f0dc46e46e7d9a6db4b823bb8f99,2019-05,Kent Police,Kent Police,1.086200,51.284215,On or near Parking Area,E01024093,Canterbury 014E,Local resolution
6fed9c96ca7d692e3b1916417c51a3ac546bf691abd088d6d66fe7b41313da2e,2019-05,Kent Police,Kent Police,0.528212,51.267480,On or near WATERLOO STREET,E01024372,Maidstone 009B,Investigation complete; no suspect identified
c305fa1fbf620e82d69b4b7abb05796e8cea3350d1ec7284ff7bff7e85a6de46,2019-05,Kent Police,Kent Police,0.212909,51.443073,On or near Pedestrian Subway,E01024182,Dartford 003C,Action to be taken by another organisation
b694e2500d9a7ebabf71f48668a7b9fe487bdc99d7c1dc3d61cc3e864f5a910a,2019-05,Kent Police,Kent Police,0.060747,51.193054,On or near Sports/Recreation Area,E01024430,Sevenoaks 014F,Investigation complete; no suspect identified
0ddfaebfb82f63ba6f2d844c9fac0f9167274a424a62020e1de75aedaf7a00d3,2019-05,Kent Police,Kent Police,0.938236,51.085324,On or near KILN ROAD,E01024014,Ashford 010B,Action to be taken by another organisation
18d89c5ccc2bbac8d2289cac8274443941e6a593b4193629788023ca25808c72,2019-05,Kent Police,Kent Police,0.855134,51.393856,On or near Prison,E01024618,Swale 006D,Unable to prosecute suspect
dcfae3b6a558feb20cf3a1ac7e656333ccb5c7bffbf7e12f767a9dc85435e0b2,2019-05,Kent Police,Kent Police,0.539689,51.397748,On or near CENTRAL AVENUE,E01032798,Medway 007E,Further investigation is not in the public interest
4f9bd571cd5eadd1bb338497d151b12d6d0250c4129d18987e91936ff3673858,2019-05,Kent Police,Kent Police,0.850717,51.152981,On or near CEDAR CLOSE,E01032821,Ashford 004J,Unable to prosecute suspect
2b10fe10ee90dcbadc65ba55df8d42b9ed64077cb6b5cdf75d740e5c9f30c23c,2019-05,Kent Police,Kent Police,1.404536,51.338385,On or near NURSERY CLOSE,E01024645,Thanet 015A,Unable to prosecute suspect
f1d6b31de9475d76574e2651d14e6c4ad2fb185498477346131bfd051dd97bd9,2019-05,Kent Police,Kent Police,0.399377,51.293981,On or near EWELL AVENUE,E01024783,Tonbridge and Malling 014C,Investigation complete; no suspect identified
0b03c6a235e6a17decd0b7c1f37686f0ff7e7331903a5e9841b7e62e97179f52,2019-05,Kent Police,Kent Police,0.515460,51.414180,On or near OMAHA PLACE,E01016146,Medway 004A,Unable to prosecute suspect
380685f57771e0c38d623a15bf081e6fe07363a1e634badc3db5c55294eb4c42,2019-05,Kent Police,Kent Police,0.329509,51.412089,On or near NEW BARN ROAD,E01024157,Dartford 013A,Investigation complete; no suspect identified
0249e9f72574b271c68f6122a14af4b846a73cb3807ee66bb218c243dffe9963,2019-05,Kent Police,Kent Police,0.543629,51.388938,On or near ARDEN STREET,E01016035,Medway 007A,Unable to prosecute suspect
ab0fa004b6f89a890ac0d10abda05b5e099d14f1251e20147c7b75af328752b9,2019-05,Kent Police,Kent Police,1.175434,51.079297,On or near CHERITON GARDENS,E01033212,Shepway 014C,Investigation complete; no suspect identified
78c7864ef45417c16ced1f40f539dc2051ef059997927f11859a49a1a6efd328,2019-05,Kent Police,Kent Police,1.389726,51.347091,On or near HOBART ROAD,E01024682,Thanet 013A,Investigation complete; no suspect identified
7506976ea8daf9dace40e45a4c44afb6de94b20c8bf8efc31bafab16c455ebe4,2019-05,Kent Police,Kent Police,1.406047,51.380430,On or near LYMINGE WAY,E01024662,Thanet 006C,Unable to prosecute suspect
81ea525e49db263dbd74d6d83735d173f00d02ec9f7e34873b4302c415f08ddb,2019-05,Kent Police,Kent Police,0.313566,51.395111,On or near BRICKFIELD FARM,E01024158,Dartford 013B,Investigation complete; no suspect identified
1189ba127d9f310ee16bbbf1906599af5da26f47cb6d902bcd5a561526f11956,2019-05,Kent Police,Kent Police,0.543791,51.362332,On or near Pedestrian Subway,E01016083,Medway 031D,Investigation complete; no suspect identified
192901f46a1ad1f799e9830fe25cdbfa7830470087e323a641fbe3099c7158e0,2019-05,Kent Police,Kent Police,1.253922,51.182613,On or near COLDRED ROAD,E01024203,Dover 008B,Investigation complete; no suspect identified
f60a279540138b8bfb5278eb2f6e4721c6b99ca6a01e3b6b4f0ba1fb11a82b29,2019-05,Kent Police,Kent Police,0.271160,51.439243,On or near Bluewater Complex,E01024172,Dartford 006D,Investigation complete; no suspect identified
bbe20a4c85a0243ca212e100e40ef8f4fed97ba3b93020fd22639dec1e781783,2019-05,Kent Police,Kent Police,0.870678,51.148769,On or near Parking Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
7004367744ff9f4ec8a86d826db45c4635795624674fd8584e3e0f521d71318b,2019-05,Kent Police,Kent Police,0.466481,51.434602,On or near CHURCH STREET,E01024267,Gravesham 010C,Investigation complete; no suspect identified
af5199ee8821fe28c6dfd0ccf6695e675d36ce4458cbfaf3673d6de97953cb70,2019-05,Kent Police,Kent Police,0.236154,51.437254,On or near EDGEFIELD CLOSE,E01024136,Dartford 008B,Unable to prosecute suspect
d7cd773afb4dd839ccede5b4e4d10bf3fa1cb47756bc16c1744b4e070d0ba3ac,2019-05,Kent Police,Kent Police,0.236154,51.437254,On or near EDGEFIELD CLOSE,E01024136,Dartford 008B,Investigation complete; no suspect identified
631afc01d5f742047bf04b45dbd063ba0009af37450dec8b77b04346f7b3f30f,2019-05,Kent Police,Kent Police,0.165937,51.291428,On or near PLUMMERS CROFT,E01024423,Sevenoaks 008B,Investigation complete; no suspect identified
f1060bf37c969831e82528d17bb913fa9fb1922236b7ee8b8b2eb6d7e54cf3d1,2019-05,Kent Police,Kent Police,0.269915,51.119185,On or near WYBOURNE RISE,E01024817,Tunbridge Wells 012B,Investigation complete; no suspect identified
5282c6b654713a4110a8c9197203b8c225e073fea1412964d58969bde2fda89d,2019-05,Kent Police,Kent Police,0.490644,51.172656,On or near MAYNARDS,E01024381,Maidstone 018D,Investigation complete; no suspect identified
7eddbdb3022922bd1ff8f8ae9cff40b6bacaa5c9a8ab188ad517e3c2e358f881,2019-05,Kent Police,Kent Police,1.086212,51.274986,On or near FLAGSTAFF COURT,E01024044,Canterbury 016A,Unable to prosecute suspect
6d0274d1000e95ee03c5352ea02a29516882ba2b53b21ff6f80fb62ddabc7509,2019-05,Kent Police,Kent Police,0.530556,51.376577,On or near OTWAY STREET,E01016019,Medway 015C,Unable to prosecute suspect
6f0824fef89abeb0d55424aa8b67ba389d4a54f56427895d3d0a230101416629,2019-05,Kent Police,Kent Police,0.938236,51.085324,On or near KILN ROAD,E01024014,Ashford 010B,Action to be taken by another organisation
171db3f05d255c2efd6a118f4a7ca6a15adb44ae8396e45e4a20c144037edff9,2019-05,Kent Police,Kent Police,1.406047,51.380430,On or near LYMINGE WAY,E01024662,Thanet 006C,Unable to prosecute suspect
beb94a9a60bfc6a7073cf7402388a0322f24de4f075b5deabb089a812c1dae63,2019-05,Kent Police,Kent Police,0.912254,51.399069,On or near GROVEWAY,E01024580,Swale 006A,Unable to prosecute suspect
c6668835557b373b52053da8dc45d25986066ce85fc60e76fdc26d6edf545631,2019-05,Kent Police,Kent Police,1.395271,51.212802,On or near HAMILTON ROAD,E01024252,Dover 004D,Further investigation is not in the public interest
