Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
65066aaced224d2cd0db64d40d2724b48caec0a7223b00ad6abae966afc9bacd,2019-06,Humberside Police,Humberside Police,-0.103802,53.566212,On or near A1136,E01013231,North East Lincolnshire 008C,Unable to prosecute suspect
89845056298ba2da434eb00008249747138f40f0bf96004a134777c0d0acfa3a,2019-06,Humberside Police,Humberside Police,-0.652873,53.591283,On or near CLARKE STREET,E01013330,North Lincolnshire 008D,Unable to prosecute suspect
5c583213f5d1fd6988c5783d600cccb24d32be16c91a360946502e2b7441d022,2019-06,Humberside Police,Humberside Police,-0.311174,53.756432,On or near MANET ROAD,E01012808,Kingston upon Hull 026B,Suspect charged
eb17bcd0dc55f6022707f09edc28bdae0274a8a8dd49414f30b0fd716f2f9fa6,2019-06,Humberside Police,Humberside Police,-0.344710,53.746068,On or near BROOK STREET,E01033104,Kingston upon Hull 029E,Unable to prosecute suspect
fef7800c17d448c5e223218b360fe221618ff8ddbea1b7a111cced4ac985e1c3,2019-06,Humberside Police,Humberside Police,-0.270295,53.780390,On or near EARSHAM CLOSE,E01012838,Kingston upon Hull 010E,Unable to prosecute suspect
35ca3d9aec5ee1716c937d04157754dd2ec0933c686d2cbdca23ea3b4103b0c4,2019-06,Humberside Police,Humberside Police,-0.632885,53.557518,On or near TIMBERLAND,E01033297,North Lincolnshire 018G,Suspect charged
be363ef436ca3675f0f7a39691a0dabb2dd44ad897049aad4ebeef883fc5243b,2019-06,Humberside Police,Humberside Police,-0.202388,54.088760,On or near HAVELOCK CRESCENT,E01012945,East Riding of Yorkshire 004C,Unable to prosecute suspect
66c2df16ac9048284b6f5fffe12ba85929aa3a8380fd80176988f2a377cf673c,2019-06,Humberside Police,Humberside Police,-0.658828,53.560661,On or near BIGBY GROVE,E01013284,North Lincolnshire 017D,Unable to prosecute suspect
14c353716f0d649cb01dcfe350fd43899448605662f9a1e179aea742aaf67b4c,2019-06,Humberside Police,Humberside Police,-0.321033,53.790658,On or near SHELDON CLOSE,E01012787,Kingston upon Hull 002D,Investigation complete; no suspect identified
2d5b349665371013d47b90b6e3be49a0dd87430c2900f36fdc723a88c9b9b97b,2019-06,Humberside Police,Humberside Police,-0.776900,53.927001,On or near MAY COURT,E01013054,East Riding of Yorkshire 011C,Investigation complete; no suspect identified
efbc392f972c042a04dc63681288e24f5f921445a63920e1b006de44f9fa5b19,2019-06,Humberside Police,Humberside Police,-0.670283,53.737763,On or near CARR LANE,E01013019,East Riding of Yorkshire 026B,Investigation complete; no suspect identified
36b1d784bd19ef18b6f7d50cba38ed1796bf781f74fd6baa09f11fc18f35d806,2019-06,Humberside Police,Humberside Police,-0.868610,53.985631,On or near Prison,E01013126,East Riding of Yorkshire 009E,Action to be taken by another organisation
d8548c79770bad0a80417c2cf72db1cd2c50c27f8aa607db444114349d945f81,2019-06,Humberside Police,Humberside Police,-0.064997,53.574706,On or near HUMBER STREET,E01013136,North East Lincolnshire 002A,Suspect charged
56b26948b737f6141b4fae447a1bf97f1e36e69148db43486048e6c5e56c4bef,2019-06,Humberside Police,Humberside Police,-0.341154,53.743547,On or near CARR LANE,E01033104,Kingston upon Hull 029E,Suspect charged
6415ebcb6be45f666855cecb00a49f2e09adb72e060233dd3d9f9fe54bd8ddf5,2019-06,Humberside Police,Humberside Police,-0.297704,53.753797,On or near DOVEDALE GROVE,E01012899,Kingston upon Hull 022B,Unable to prosecute suspect
