Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f6cd28a46899ef0f23c10472ac082b5478a47d1301047088870dd332974828e8,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f085aa17c01a63d7df944b5091a491aaaae63db491ce405311dc62bcd9befc27,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
832d263ba66cabef2148f8b47f431e669a2a3ede9ab3ebec0c2c6c781ab44fca,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b1d8670b4741bac2ec58748b3c64fa696d0499fc60797c59187f6bf3b78afa89,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
796cc9b95bc29f91c4a5eaf945ec4829d6500aa3ac5a6a065b842c32090c6623,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
018509ba5ef5e37fe8f9332bfda1f1f781120f7aa630d94973d4e46827e8a6ad,2019-07,South Wales Police,South Wales Police,-3.935640,51.684915,On or near Morriston Hospital,W01000816,Swansea 003F,Investigation complete; no suspect identified
de13225a58970a7da780da771bcb40682fc0ccfc740e1ddbd571c2e7c4e6ec3c,2019-07,South Wales Police,South Wales Police,-3.178811,51.489957,On or near COGAN TERRACE,W01001725,Cardiff 032D,Investigation complete; no suspect identified
05a0c5fb0f257f9d6a71b8e8d9f088f516983136b020ec95ba36d40638fd6d37,2019-07,South Wales Police,South Wales Police,-3.876323,51.664180,On or near GLANBRAN ROAD,W01000801,Swansea 006D,Investigation complete; no suspect identified
cd989001c925120d61141aecdd46d83ad72ee8a445a863658cd94ec28cb5abab,2019-07,South Wales Police,South Wales Police,-3.196308,51.499149,On or near MAELOG PLACE,W01001756,Cardiff 025B,Investigation complete; no suspect identified
75f703006a73e3a2a4b20fed6563073a86f875e71e977581c6c425fb6ebd30de,2019-07,South Wales Police,South Wales Police,-3.292214,51.674147,On or near MAEN GILFACH,W01001290,Merthyr Tydfil 007A,Investigation complete; no suspect identified
2a2a9fcea5ed4ba580967e924b740a64159749d732195a58096b59979acf2e8b,2019-07,South Wales Police,South Wales Police,-3.135988,51.528712,On or near CAXTON PLACE,W01001816,Cardiff 009B,Investigation complete; no suspect identified
b79d550c1f7301ab8003d319d6e7aca5f9179ae33507b283e1e8c84133baf559,2019-07,South Wales Police,South Wales Police,-3.235731,51.483427,On or near CHERRYDALE ROAD,W01001746,Cardiff 041D,Investigation complete; no suspect identified
26a909b1477534044ea281e0022a99197352da1209958d6568f189a254aeb66e,2019-07,South Wales Police,South Wales Police,-3.815109,51.650656,On or near HELEN'S ROAD,W01000937,Neath Port Talbot 013E,Investigation complete; no suspect identified
5e1b3c4706ccd3d4f4ff1bbe11a2620433c3f03c7108676de1a48fe9a167b822,2019-07,South Wales Police,South Wales Police,-3.575228,51.500993,On or near CAEWALLIS STREET,W01001035,Bridgend 014E,Investigation complete; no suspect identified
d0e7bc245ce8fbd25914620b96c7f9ae382cd675c9b876facf84ce794a35da30,2019-07,South Wales Police,South Wales Police,-2.995820,51.589969,On or near Pedestrian Subway,W01001685,Newport 014B,Investigation complete; no suspect identified
a62aef8e7f478a199cec71719bb6a5be16cab5e354950e2fc8f9dcd51fdaab52,2019-07,South Wales Police,South Wales Police,-3.187546,51.476336,On or near CLARE ROAD,W01001856,Cardiff 042B,Investigation complete; no suspect identified
6cffa226d8dc8047064aa19c4931fdb6b7b2bf002e4338838291b07397d24829,2019-07,South Wales Police,South Wales Police,-3.998840,51.648336,On or near DENVER ROAD,W01000760,Swansea 013A,Investigation complete; no suspect identified
19fa9189585dfb4fff6c461ed0e0a6c682b5d0f3d3dc288a5d7fd484355fced9,2019-07,South Wales Police,South Wales Police,-3.454867,51.463432,On or near WESTGATE,W01001082,The Vale of Glamorgan 002A,Investigation complete; no suspect identified
def1700169a70afcdee5c36b5fb65864fcc112274920d7acba19a950d3be3cd5,2019-07,South Wales Police,South Wales Police,-3.453168,51.719428,On or near BRONIESTYN TERRACE,W01001155,Rhondda Cynon Taf 002D,Investigation complete; no suspect identified
0dc3ab343d7a2347b4c40aab537b08582a9bacb2c4f3d7d4d088bd910f7491b1,2019-07,South Wales Police,South Wales Police,-3.466422,51.720099,On or near Sports/Recreation Area,W01001151,Rhondda Cynon Taf 003C,Investigation complete; no suspect identified
8865d2a6931dc8c0862371ed22ee1fe11490263b6700d30ba6c8b1ef73ebb618,2019-07,South Wales Police,South Wales Police,-3.179290,51.481140,On or near Shopping Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
4ec11f3adcfdf511fdf7d4c62191839bbca607bd2d61516bb82dca17e3b0a430,2019-07,South Wales Police,South Wales Police,-3.561683,51.505580,On or near CAE BRON,W01000982,Bridgend 016C,Investigation complete; no suspect identified
4235df645369434c915c229b8d67066eff372fb0441e3c06e87b5382c0982c8a,2019-07,South Wales Police,South Wales Police,-3.212808,51.486841,On or near REGINA TERRACE,W01001715,Cardiff 035B,Investigation complete; no suspect identified
ddcc9a2709c9097eea15889126a57a82a7794822570ca9cb0dfe0ea6d0d76f99,2019-07,South Wales Police,South Wales Police,-3.967106,51.640554,On or near GENDROS AVENUE EAST,W01000762,Swansea 013C,Investigation complete; no suspect identified
9d593c716cdb89beb095875b6a1f7c3e681fe0baeedf2454c0df6baeab6bb918,2019-07,South Wales Police,South Wales Police,-3.575228,51.500993,On or near CAEWALLIS STREET,W01001035,Bridgend 014E,Investigation complete; no suspect identified
ad77483106e5ae76866a59f1fef44db26ceec9245df54138d55de38a78bba0fc,2019-07,South Wales Police,South Wales Police,-3.255824,51.568367,On or near OLD NANTGARW ROAD,W01001240,Rhondda Cynon Taf 026C,Investigation complete; no suspect identified
29dc12a131b82f313bbf68b5d0b276c742957f15e9e84e18d7675982c778d3b9,2019-07,South Wales Police,South Wales Police,-4.042211,51.669037,On or near PARK LANE,W01000774,Swansea 005B,Investigation complete; no suspect identified
b7bec149ed1eda3e6be615c6a6951f69aa63cd5f12e9e032f7bdb6a277e58527,2019-07,South Wales Police,South Wales Police,-3.445970,51.742464,On or near MERTHYR ROAD,W01001152,Rhondda Cynon Taf 002B,Investigation complete; no suspect identified
1e81b90ea6834ce8afbebee5ad68947ccdf6b7a45f26147239678322382a644f,2019-07,South Wales Police,South Wales Police,-3.220335,51.514152,On or near Parking Area,W01001896,Cardiff 020E,Investigation complete; no suspect identified
d20c9908800f44761785a28a1d79cddc0c45257254bb320961ed304930ed468e,2019-07,South Wales Police,South Wales Police,-3.421077,51.466589,On or near LLANQUIAN ROAD,W01001084,The Vale of Glamorgan 002C,Investigation complete; no suspect identified
