Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3e1a2e149ff1949b2e92ff8c735946b754fcf22c3be8f14d5adc9a3b4c5c3aa0,2019-08,Merseyside Police,Merseyside Police,-2.652728,53.457463,On or near ATHOL CLOSE,E01006839,St. Helens 005B,Unable to prosecute suspect
e8738ab247a89001b69dc599fb3d885e9fd841cc07030b50ccf03df885d11383,2019-08,Merseyside Police,Merseyside Police,-2.957035,53.425066,On or near WINDERMERE STREET,E01006562,Liverpool 018E,Unable to prosecute suspect
f76aa0698f855218a74d79aac37585f282e7940442ade2ed8efa43ba7a614b05,2019-08,Merseyside Police,Merseyside Police,-2.979122,53.473274,On or near CAPTAIN'S LANE,E01007014,Sefton 033B,Suspect charged as part of another case
a45e61ec60728509c2356d6493de2a7841ab8ba018fc410b7f55d5f67236c594,2019-08,Merseyside Police,Merseyside Police,-3.006986,53.464008,On or near HAWARDEN GROVE,E01007011,Sefton 034C,Unable to prosecute suspect
d0c579976f81f36ff6b36d763e646f1e4c8f8a325b0fa2b5bf24efb1abb11c2f,2019-08,Merseyside Police,Merseyside Police,-2.952160,53.423765,On or near BELMONT ROAD,E01006563,Liverpool 024B,Unable to prosecute suspect
66fb234d600f927b0cbd5e4e4023ad6619906957f43f9fbe839a201f869cac18,2019-08,Merseyside Police,Merseyside Police,-2.868061,53.418294,On or near ALSTONFIELD ROAD,E01006643,Liverpool 025E,Unable to prosecute suspect
66fb234d600f927b0cbd5e4e4023ad6619906957f43f9fbe839a201f869cac18,2019-08,Merseyside Police,Merseyside Police,-2.868061,53.418294,On or near ALSTONFIELD ROAD,E01006643,Liverpool 025E,Unable to prosecute suspect
a11a21e78f2ad7de9fed4a653b8022044dac5593de859bbab11461a90c952d14,2019-08,Merseyside Police,Merseyside Police,-2.968496,53.442025,On or near INDEX STREET,E01006611,Liverpool 012A,Unable to prosecute suspect
5ab182799e62e5d830d137ff6e9781a1ee216ca9b5f86a646f06514cbfc02916,2019-08,Merseyside Police,Merseyside Police,-2.993175,53.462164,On or near BRABY ROAD,E01007012,Sefton 036D,Formal action is not in the public interest
5ab182799e62e5d830d137ff6e9781a1ee216ca9b5f86a646f06514cbfc02916,2019-08,Merseyside Police,Merseyside Police,-2.993175,53.462164,On or near BRABY ROAD,E01007012,Sefton 036D,Formal action is not in the public interest
dc9b7356b0c2f30f12182c77bacffce53d672d9c47b3d193803a552909032f11,2019-08,Merseyside Police,Merseyside Police,-3.009936,53.460756,On or near BELLINI CLOSE,E01007005,Sefton 034B,Formal action is not in the public interest
4a5a4d362b145641f8fe65ac11adfc43588313dedaaa9394d15f5e48e1d855a3,2019-08,Merseyside Police,Merseyside Police,-3.008270,53.462910,On or near SEAFORTH ROAD,E01007004,Sefton 034A,Formal action is not in the public interest
882b3e6aad2a002d04857ed6a952609622a6bc31d1178287a2106716671692c5,2019-08,Merseyside Police,Merseyside Police,-2.956560,53.423353,On or near TEAKWOOD CLOSE,E01006563,Liverpool 024B,Unable to prosecute suspect
9312f2f71898a73f8f88bb0b9fae1fc2a6a5c41ac923993dd024006fae23fbf5,2019-08,Merseyside Police,Merseyside Police,-2.996846,53.454898,On or near GLOVER PLACE,E01007007,Sefton 037B,Formal action is not in the public interest
333163e0f0721113bc0e2472033b01a15006b2881d5ec80b193637ad5089c189,2019-08,Merseyside Police,Merseyside Police,-2.995659,53.462126,On or near COBB AVENUE,E01007013,Sefton 036E,Formal action is not in the public interest
1e97f42ca4c291f67a3e2d9f0037cbb16fb82f99f838e2d8382bbc6a91bed992,2019-08,Merseyside Police,Merseyside Police,-2.993206,53.453166,On or near Parking Area,E01007009,Sefton 037D,Formal action is not in the public interest
1e97f42ca4c291f67a3e2d9f0037cbb16fb82f99f838e2d8382bbc6a91bed992,2019-08,Merseyside Police,Merseyside Police,-2.993206,53.453166,On or near Parking Area,E01007009,Sefton 037D,Formal action is not in the public interest
1f6e13403a26f551d5e7fde9b7bcb09f99bfa026b94fa3f93b7afbff32c90a65,2019-08,Merseyside Police,Merseyside Police,-3.006958,53.462822,On or near MAPLE CLOSE,E01007011,Sefton 034C,Formal action is not in the public interest
1f6e13403a26f551d5e7fde9b7bcb09f99bfa026b94fa3f93b7afbff32c90a65,2019-08,Merseyside Police,Merseyside Police,-3.006958,53.462822,On or near MAPLE CLOSE,E01007011,Sefton 034C,Formal action is not in the public interest
b303f968593c568289ac5ae7590064c54cdb1a99199735252df81fbc06c725a2,2019-08,Merseyside Police,Merseyside Police,-3.051906,53.569995,On or near LONGTON DRIVE,E01006987,Sefton 013C,Unable to prosecute suspect
b7a4756a41814c78779c1c76744cf1ddc284a00cdb1a5cff4ae6b03c41856b79,2019-08,Merseyside Police,Merseyside Police,-2.739002,53.454488,On or near WILLIAM STREET,E01006877,St. Helens 012C,Action to be taken by another organisation
b7a4756a41814c78779c1c76744cf1ddc284a00cdb1a5cff4ae6b03c41856b79,2019-08,Merseyside Police,Merseyside Police,-2.739002,53.454488,On or near WILLIAM STREET,E01006877,St. Helens 012C,Action to be taken by another organisation
8b33b648e538e6c87541f804814392698e40e45666922717384f30bc9a847398,2019-08,Merseyside Police,Merseyside Police,-2.951615,53.380497,On or near ALEXANDRA PARK,E01006520,Liverpool 043A,Unable to prosecute suspect
276775a630259a29f1b4d38dd34b93b481449dc0caa6670bab7d901ff97edb4c,2019-08,Merseyside Police,Merseyside Police,-3.002942,53.467557,On or near BEACH ROAD,E01007016,Sefton 034D,Formal action is not in the public interest
