Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0ccbdfa382783fca48a475b5d4808a1a02c72e080b22138898620d076cce61be,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
c8824d3098f962861ddfaae05cb85743011bec75013399be772f0ac7e13a9ddb,2019-09,Metropolitan Police Service,Metropolitan Police Service,0.160492,51.595806,On or near HOOD WALK,E01002326,Havering 005D,Local resolution
c82102afaeea83b54e8d797e91d02e23e72c72b08acff81286f968a3ee11e06c,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
24a8bf66d5e7773c64c14890929fb1ab1eecef4ee12a8b6ceca2e526342bb986,2019-09,Metropolitan Police Service,Metropolitan Police Service,-0.198485,51.514180,On or near LEDBURY MEWS NORTH,E01002886,Kensington and Chelsea 006E,Local resolution
f1ae6c341d891424da4b5838e36d7711fedccf614891c8cf0921055293459286,2019-09,Metropolitan Police Service,Metropolitan Police Service,-0.382517,51.514462,On or near DANE ROAD,E01001359,Ealing 026A,Offender given penalty notice
3235a15c95137ee487e8fd558fb312098eb2ea9bc16aff4bf369e7238f57056f,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
9e86b2f80c018731965d380f70fafd0227310f3668858e67653745f39a87d605,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
edd81a4ebbe11471491f6e7936a191ea1d0dbbd1eef9ee6bf61258cc39fe7e77,2019-09,Metropolitan Police Service,Metropolitan Police Service,0.025299,51.545394,On or near SYLVAN ROAD,E01003558,Newham 008B,Suspect charged
5192cd96f16d90db22d7c52393c96a2dbb051f22a0ce1176a30972223a6ee692,2019-09,Metropolitan Police Service,Metropolitan Police Service,0.116666,51.554725,On or near VICAR'S WALK,E01000021,Barking and Dagenham 008A,Local resolution
a189e7e436ee5f0c0df4b9154813a37a3baeca5620668f0e085e11a1c332d63d,2019-09,Metropolitan Police Service,Metropolitan Police Service,-0.107996,51.477496,On or near VASSALL ROAD,E01003183,Lambeth 005E,Local resolution
45eff3b78ab1d958812443c17cbcaf9ec08abbc9a4f34ee14bfb05296de06b1c,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
a9209f13369f981d4176874220a2e87d37c3363dddcaf0b419ea10d3a3007e22,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
aa613f93f4e7cd8ed68948a30dedda16eb809853fdf8d588c0f5d6d18a8b6257,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
8663a734b3d777515c6ea2feaf77b3606029ca2ab3c7a690d540a06abd4dd0b0,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
f0e8733bb080aef89c2b3c2f0899b8e52da5b6df665244b33895e6b66791ecde,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
5c517400b37c13aeaffb35bedbe34d4dae075882bc7cadecf8d34b66c7f6d7e4,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
300853b3d6346224af30c8b54c16dfa4ab1fdf9070518c939eb969e745215465,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
9e9956c49f598a242974a68682196201dc449f75c6ab69aa63e61b6cf195ef9f,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
4a87e3a452b43bb29c16e2ee005eac75302b2405421db81b07b55ed99aff7dad,2019-09,Metropolitan Police Service,Metropolitan Police Service,0.010663,51.403345,On or near MILL VALE,E01000677,Bromley 018C,Local resolution
fe9d4e890048e5d263ca83be5c86688f2ca6f3920c4380a51c1eaa8dffb5dca6,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
8bcca1c3354c297875a789f6a37c79669ea65a198d55b1c033e223ca29ce41a4,2019-09,Metropolitan Police Service,Metropolitan Police Service,-0.022393,51.572421,On or near ROCHDALE ROAD,E01004421,Waltham Forest 018B,Local resolution
5826f44a596d9a33ac5a6de38e89e6ff2f5e79791d51e03de6ce5b530693bbf2,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
fecd7eb84467c011060f24684c0dfbfb0627ea9fe54e22672491e5e1c1298df1,2019-09,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
