Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ff58c994dc66c1184c295d4f68cbdfffca3c94639f62a7e9a677afcec0c7ed3a,2019-10,City of London Police,City of London Police,,,No location,,,Offender given a caution
396ad83131a591c1ab5ef2d55c6c5d5072530444c04206847f26190a81f6221b,2019-10,City of London Police,City of London Police,,,No location,,,Suspect charged
5f17ed064a2992eaf6408ec8e172777728bcfdf8cd0a12b9562b5d37fdc467c5,2019-10,City of London Police,City of London Police,,,No location,,,Suspect charged
06f6b5ca0e96bd00b0d6d2e8e4729cfa99b2db847063c6f9672701c529910afe,2019-10,City of London Police,City of London Police,-0.108453,51.515173,On or near PEMBERTON ROW,E01032740,City of London 001G,Offender given a drugs possession warning
79267a149cc7640cfc845a610be426a48a354b130592a9781be143026695ac7c,2019-10,City of London Police,City of London Police,,,No location,,,Suspect charged
134178f6ed90b14bca2b7c23cd9f28827660f5bb0a7374ba1a4c70deef84df85,2019-10,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
d940f42b897f9365e2cc4d03a8d383189b187694893e3866da12d9da952c6c1b,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7b42ad2607124ac171c1627e1c269d485c05f9f69d250f11694d18d94916781c,2019-10,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
3d4174832cf7d8fef85ad85292f3619ff20f21d01552a4c4ac9e18fcfc67c65f,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
accb3a16b71d4b2d1d8cf7a7950e95f19219846d485f1f07fddee1c75cc02e67,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
682a80ca80950c1693545907545260d7790de2adf0ecee7cba1d4ee6506a80f7,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
adcadd9e98acd7c9072c7cfeaee46e5f9e4c08fbd7f7efd71676ccbd29405452,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
db4f960bc1aaef71b4cf91a8d3613e95b87cc68b75c0d55eb63af35f2229101b,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
440eeb264247e8672416cbd312f9382144b74437449d438c50361b8ab27b6d5b,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0b07a6e08dd826e1b6caadff9d54555df066e17f7c061ab50d951ccd50460e6d,2019-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
